Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,0.336702,0.00691094
2.302,0.5,0.33675,0.00691864
5.132,1.0,0.336957,0.00692546
7.926,1.5,0.337116,0.00691627
10.739,2.0,0.337179,0.00692131
13.555,2.5,0.337259,0.00691657
16.378,3.0,0.337545,0.00694145
19.174,3.5,0.337704,0.00692842
21.969,4.0,0.337863,0.00695744
24.765,4.5,0.338006,0.00693819
27.576,5.0,0.338244,0.00693167
30.389,5.5,0.338451,0.00693375
33.184,6.0,0.338705,0.00692042
35.981,6.5,0.339023,0.00692161
38.808,7.0,0.339421,0.00693167
41.605,7.5,0.33958,0.00692871
44.417,8.0,0.339834,0.00692338
47.213,8.5,0.339993,0.0069299
50.023,9.0,0.340072,0.00693286
52.820,9.5,0.340231,0.00692457
55.615,10.0,0.340358,0.00691775
58.411,10.5,0.340502,0.00692279
61.208,11.0,0.340502,0.00693197
64.018,11.5,0.340597,0.00694559
66.831,12.0,0.340613,0.00694263
69.629,12.5,0.340629,0.00694145
72.425,13.0,0.34066,0.00693227
75.235,13.5,0.34074,0.00693552
78.031,14.0,0.340676,0.00694086
80.842,14.5,0.34074,0.00695418
83.670,15.0,0.340772,0.00693641
86.481,15.5,0.340931,0.00693908
89.293,16.0,0.341185,0.00693316
92.089,16.5,0.341344,0.00695092
94.901,17.0,0.341376,0.00695566
97.729,17.5,0.341567,0.00697699
100.525,18.0,0.341487,0.00696277
103.336,18.5,0.341471,0.00697106
106.165,19.0,0.341741,0.00696307
108.994,19.5,0.341757,0.00699357
111.804,20.0,0.341328,0.00695892
114.615,20.5,0.340804,0.00697373
117.411,20.6,0.340676,0.00699239
120.224,20.700000000000003,0.340533,0.00701963
123.019,20.800000000000004,0.34066,0.00701104
125.799,20.900000000000006,0.340597,0.00699594
128.580,21.000000000000007,0.340597,0.00700186
131.359,21.10000000000001,0.34066,0.0070066
134.155,21.20000000000001,0.34066,0.00701312
136.935,21.30000000000001,0.340819,0.00701874
139.722,21.400000000000013,0.340994,0.00702259
142.529,21.500000000000014,0.34101,0.00701993
145.323,21.600000000000016,0.341265,0.00703385
148.150,21.700000000000017,0.341392,0.00704096
150.932,21.80000000000002,0.341694,0.00705932
153.726,21.90000000000002,0.342282,0.00707472
156.538,22.00000000000002,0.34287,0.00708064
159.328,22.100000000000023,0.343363,0.00708597
162.130,22.200000000000024,0.343808,0.00708775
164.926,22.300000000000026,0.344491,0.00711825
167.769,22.400000000000027,0.345048,0.00711144
170.565,22.50000000000003,0.345858,0.00712299
173.361,22.60000000000003,0.346955,0.00715379
176.173,22.70000000000003,0.348179,0.00716594
178.986,22.800000000000033,0.349244,0.00718696
181.781,22.900000000000034,0.350087,0.00719377
184.576,23.000000000000036,0.350834,0.0071991
187.357,23.100000000000037,0.351454,0.00719525
190.168,23.20000000000004,0.351931,0.00719496
192.964,23.30000000000004,0.352439,0.00721391
195.760,23.40000000000004,0.352837,0.00721599
198.556,23.500000000000043,0.352868,0.00719822
201.352,23.600000000000044,0.352598,0.00719348
204.147,23.700000000000045,0.35201,0.00718282
206.930,23.800000000000047,0.351231,0.00717008
209.724,23.90000000000005,0.350389,0.00715912
212.521,24.00000000000005,0.349324,0.00714195
215.315,24.10000000000005,0.348243,0.00712151
218.112,24.200000000000053,0.347194,0.0070919
220.906,24.300000000000054,0.346351,0.00710907
223.687,24.400000000000055,0.345588,0.00710108
226.483,24.500000000000057,0.344841,0.00707265
229.263,24.60000000000006,0.344348,0.0070531
232.058,24.70000000000006,0.343871,0.00704718
234.854,24.80000000000006,0.343426,0.00704866
237.634,24.900000000000063,0.343156,0.00706406
240.430,25.000000000000064,0.342965,0.00702289
243.226,25.100000000000065,0.342663,0.007022
246.007,25.200000000000067,0.342441,0.00703207
248.787,25.300000000000068,0.342266,0.00703503
251.582,25.40000000000007,0.342123,0.00701963
254.395,25.50000000000007,0.341789,0.00700305
257.175,25.600000000000072,0.341567,0.00701075
259.986,25.700000000000074,0.341503,0.00700808
262.797,25.800000000000075,0.34128,0.00700305
265.612,25.900000000000077,0.341169,0.00699535
268.406,26.000000000000078,0.341074,0.00700186
271.217,26.10000000000008,0.340915,0.00700186
274.014,26.20000000000008,0.340788,0.00701016
276.810,26.300000000000082,0.340692,0.00701608
279.629,26.400000000000084,0.340549,0.00699624
282.433,26.500000000000085,0.340486,0.00701164
285.254,26.600000000000087,0.340374,0.00704214
288.088,26.700000000000088,0.340279,0.00700779
290.901,26.80000000000009,0.340152,0.00702289
293.696,26.90000000000009,0.340184,0.0070066
296.477,27.000000000000092,0.339945,0.00698943
299.272,27.100000000000094,0.33985,0.00701874
302.052,27.200000000000095,0.33977,0.00702437
304.834,27.300000000000097,0.339802,0.00700098
307.627,27.400000000000098,0.339834,0.00701045
310.439,27.5000000000001,0.339659,0.00701401
313.220,27.6000000000001,0.339357,0.00701756
316.015,27.700000000000102,0.339293,0.00701341
318.827,27.800000000000104,0.339341,0.00700571
321.623,27.900000000000105,0.339309,0.00698232
324.420,28.000000000000107,0.339214,0.00701549
327.230,28.500000000000107,0.338817,0.00697847
330.027,29.000000000000107,0.338451,0.00698528
332.840,29.500000000000107,0.337911,0.0069912
335.650,30.000000000000107,0.337497,0.00699179
338.464,30.500000000000107,0.336957,0.00699535
341.275,31.000000000000107,0.336416,0.00702171
344.071,31.500000000000107,0.335526,0.00699357
346.866,32.00000000000011,0.335033,0.00698261
349.662,32.50000000000011,0.334636,0.00697462
352.489,33.00000000000011,0.334461,0.0069835
355.287,33.50000000000011,0.334191,0.00700038
358.082,34.00000000000011,0.333857,0.00699387
360.877,34.50000000000011,0.333778,0.00698943
363.673,35.00000000000011,0.333714,0.00698498
366.470,35.50000000000011,0.333507,0.00699357
369.266,36.00000000000011,0.33338,0.00699002
372.062,36.50000000000011,0.33338,0.00698824
374.858,37.00000000000011,0.333348,0.00698883
377.653,37.50000000000011,0.333237,0.00699209
380.451,38.00000000000011,0.333412,0.00701193
383.246,38.50000000000011,0.333317,0.00698143
386.058,39.00000000000011,0.333523,0.00698972
388.853,39.50000000000011,0.333491,0.00700453
391.648,40.00000000000011,0.333364,0.00697639
394.461,40.50000000000011,0.333476,0.00696662
397.256,41.00000000000011,0.333412,0.00698617
400.068,41.50000000000011,0.333523,0.0069838
402.870,42.00000000000011,0.333476,0.00699564
405.660,42.50000000000011,0.333587,0.00697639
408.472,43.00000000000011,0.33346,0.00699594
411.268,43.50000000000011,0.333476,0.00698943
414.064,44.00000000000011,0.333555,0.00698528
416.876,44.50000000000011,0.333523,0.00698735
419.673,45.00000000000011,0.333539,0.00699831
422.484,45.50000000000011,0.333571,0.00699505
425.279,46.00000000000011,0.33365,0.00700127
428.092,46.50000000000011,0.333396,0.00699712
