Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,0.285643,0.0217156
2.349,0.5,0.285693,0.0217191
5.169,1.0,0.285801,0.0217298
7.996,1.5,0.285865,0.0217227
10.791,2.0,0.285979,0.021731
13.603,2.5,0.286119,0.0217144
16.401,3.0,0.286253,0.0217221
19.210,3.5,0.286431,0.0216972
22.010,4.0,0.286558,0.0216795
24.803,4.5,0.286749,0.0216617
27.600,5.0,0.286965,0.0216369
30.395,5.5,0.287047,0.0216079
33.206,6.0,0.2872,0.0216044
36.003,6.5,0.287365,0.0215884
38.813,7.0,0.287524,0.0215831
41.610,7.5,0.287728,0.0215984
44.408,8.0,0.287944,0.0216067
47.201,8.5,0.28802,0.0216085
49.997,9.0,0.288204,0.0216055
52.793,9.5,0.288306,0.0215931
55.605,10.0,0.28837,0.021586
58.402,10.5,0.288465,0.021602
61.197,11.0,0.288567,0.0216191
64.009,11.5,0.28856,0.0216262
66.821,12.0,0.288611,0.0216387
69.649,12.5,0.28856,0.0216452
72.446,13.0,0.288516,0.0216274
75.241,13.5,0.28863,0.0216286
78.056,14.0,0.288668,0.0216322
80.864,14.5,0.288732,0.0216464
83.661,15.0,0.288764,0.0216511
86.459,15.5,0.288929,0.0216576
89.252,16.0,0.289152,0.0216558
92.066,16.5,0.289393,0.0216469
94.876,17.0,0.289565,0.0216274
97.673,17.5,0.289902,0.0216316
100.484,18.0,0.290067,0.0216292
103.279,18.5,0.290245,0.0215967
106.092,19.0,0.290607,0.0215618
108.890,19.5,0.290906,0.0215109
111.683,20.0,0.291434,0.021447
114.512,20.5,0.291605,0.0213618
117.325,20.6,0.291631,0.0213299
120.120,20.700000000000003,0.291612,0.021295
122.931,20.800000000000004,0.291485,0.0212541
125.713,20.900000000000006,0.291268,0.02124
128.508,21.000000000000007,0.291078,0.0212127
131.305,21.10000000000001,0.290976,0.0211861
134.084,21.20000000000001,0.290855,0.0211696
136.880,21.30000000000001,0.290766,0.0211583
139.708,21.400000000000013,0.290798,0.0211228
142.519,21.500000000000014,0.290715,0.0211033
145.317,21.600000000000016,0.290703,0.0210962
148.096,21.700000000000017,0.290811,0.0210654
150.892,21.80000000000002,0.290995,0.0210353
153.688,21.90000000000002,0.29123,0.021027
156.483,22.00000000000002,0.29165,0.0210459
159.296,22.100000000000023,0.292209,0.0210796
162.107,22.200000000000024,0.292762,0.0211406
164.919,22.300000000000026,0.293392,0.0211985
167.699,22.400000000000027,0.294046,0.0212506
170.510,22.50000000000003,0.294803,0.0212926
173.339,22.60000000000003,0.295629,0.0213352
176.151,22.70000000000003,0.296443,0.0213985
178.946,22.800000000000033,0.297339,0.0214695
181.726,22.900000000000034,0.298083,0.0215718
184.523,23.000000000000036,0.298859,0.0217185
187.318,23.100000000000037,0.29959,0.0218788
190.130,23.20000000000004,0.300225,0.0220179
192.911,23.30000000000004,0.300835,0.0221379
195.690,23.40000000000004,0.301109,0.0222184
198.534,23.500000000000043,0.301191,0.0222539
201.331,23.600000000000044,0.301064,0.0222847
204.126,23.700000000000045,0.300683,0.0223184
206.940,23.800000000000047,0.29999,0.0223379
209.735,23.90000000000005,0.299215,0.0223728
212.546,24.00000000000005,0.298337,0.0223947
215.358,24.10000000000005,0.29746,0.0224243
218.155,24.200000000000053,0.296646,0.022445
220.935,24.300000000000054,0.295833,0.0224722
223.746,24.400000000000055,0.295152,0.0224994
226.527,24.500000000000057,0.294529,0.0225242
229.339,24.60000000000006,0.294008,0.0225337
232.134,24.70000000000006,0.293455,0.0225461
234.914,24.80000000000006,0.293112,0.0225716
237.694,24.900000000000063,0.292654,0.022571
240.506,25.000000000000064,0.292355,0.0225716
243.287,25.100000000000065,0.292038,0.0225615
246.083,25.200000000000067,0.291739,0.0225408
248.894,25.300000000000068,0.29151,0.022539
251.690,25.40000000000007,0.291275,0.0225426
254.518,25.50000000000007,0.29104,0.0225373
257.314,25.600000000000072,0.290887,0.0225272
260.126,25.700000000000074,0.290652,0.0225106
262.948,25.800000000000075,0.290582,0.0225012
265.765,25.900000000000077,0.290391,0.0224858
268.577,26.000000000000078,0.290315,0.0224816
271.389,26.10000000000008,0.290042,0.0224799
274.185,26.20000000000008,0.289927,0.0224538
276.981,26.300000000000082,0.289813,0.0224385
279.761,26.400000000000084,0.289844,0.0224391
282.556,26.500000000000085,0.289698,0.0224065
285.385,26.600000000000087,0.289565,0.0223965
288.166,26.700000000000088,0.289355,0.0223681
290.945,26.80000000000009,0.289323,0.0223551
293.757,26.90000000000009,0.289279,0.0223278
296.552,27.000000000000092,0.289253,0.0223136
299.366,27.100000000000094,0.289152,0.022303
302.176,27.200000000000095,0.289043,0.0222835
304.975,27.300000000000097,0.288961,0.0222758
307.784,27.400000000000098,0.288916,0.0222432
310.628,27.5000000000001,0.288808,0.0222326
313.408,27.6000000000001,0.288713,0.022222
316.204,27.700000000000102,0.288707,0.0222149
318.985,27.800000000000104,0.28863,0.0221906
321.781,27.900000000000105,0.288554,0.02218
324.577,28.000000000000107,0.288548,0.0221764
327.389,28.500000000000107,0.288287,0.0221415
330.185,29.000000000000107,0.288058,0.0220942
332.997,29.500000000000107,0.287689,0.0220522
335.808,30.000000000000107,0.287461,0.0220226
338.605,30.500000000000107,0.287086,0.0219983
341.401,31.000000000000107,0.286711,0.0219646
344.212,31.500000000000107,0.286316,0.0219552
347.025,32.00000000000011,0.285801,0.0219664
349.849,32.50000000000011,0.285458,0.0219735
352.648,33.00000000000011,0.285121,0.0219534
355.444,33.50000000000011,0.28474,0.0219285
358.256,34.00000000000011,0.284435,0.0219108
361.052,34.50000000000011,0.284034,0.0218717
363.865,35.00000000000011,0.283716,0.021825
366.660,35.50000000000011,0.283462,0.0217505
369.455,36.00000000000011,0.283303,0.0216872
372.268,36.50000000000011,0.2831,0.0216316
375.079,37.00000000000011,0.282998,0.0215819
377.875,37.50000000000011,0.282839,0.0215121
380.670,38.00000000000011,0.282814,0.0214659
383.467,38.50000000000011,0.282661,0.0214009
386.279,39.00000000000011,0.282617,0.0213701
389.078,39.50000000000011,0.282629,0.0213429
391.871,40.00000000000011,0.282648,0.021321
394.667,40.50000000000011,0.282598,0.0212973
397.480,41.00000000000011,0.282636,0.0212743
400.274,41.50000000000011,0.282521,0.0212364
403.071,42.00000000000011,0.282483,0.021205
405.899,42.50000000000011,0.282426,0.0211559
408.711,43.00000000000011,0.282509,0.0211488
411.507,43.50000000000011,0.282534,0.0211335
414.382,44.00000000000011,0.282553,0.021111
417.179,44.50000000000011,0.282566,0.0211045
419.976,45.00000000000011,0.282623,0.0210974
422.788,45.50000000000011,0.282687,0.0210986
425.584,46.00000000000011,0.282725,0.0210962
428.380,46.50000000000011,0.28275,0.0211009
