Time [s],Position [mm],Power [W]
0.002,0,0.431403
2.053,0.04,0.431276
4.610,0.08,0.431085
7.168,0.12,0.431356
9.723,0.16,0.431546
12.279,0.2,0.431308
14.836,0.24000000000000002,0.431101
17.391,0.28,0.431292
19.947,0.32,0.431483
22.503,0.36,0.431499
25.060,0.39999999999999997,0.431642
27.617,0.43999999999999995,0.431546
30.173,0.4799999999999999,0.431483
32.760,0.5199999999999999,0.431419
35.334,0.5599999999999999,0.431435
37.889,0.6,0.431483
40.446,0.64,0.431324
43.001,0.68,0.431244
45.559,0.7200000000000001,0.431419
48.113,0.7600000000000001,0.430974
50.670,0.8000000000000002,0.431371
53.227,0.8400000000000002,0.431292
55.782,0.8800000000000002,0.431419
58.339,0.9200000000000003,0.431387
60.910,0.9600000000000003,0.43126
63.467,1.0000000000000002,0.431133
66.022,1.0400000000000003,0.431324
68.577,1.0800000000000003,0.431403
71.134,1.1200000000000003,0.431483
73.690,1.1600000000000004,0.431308
76.246,1.2000000000000004,0.431562
78.820,1.2400000000000004,0.431308
81.383,1.2800000000000005,0.431387
83.932,1.3200000000000005,0.431467
86.487,1.3600000000000005,0.431244
89.044,1.4000000000000006,0.431117
91.600,1.4400000000000006,0.431212
94.155,1.4800000000000006,0.431117
96.711,1.5200000000000007,0.431419
99.269,1.5600000000000007,0.431228
101.825,1.6000000000000008,0.431228
104.382,1.6400000000000008,0.431133
106.945,1.6800000000000008,0.431133
109.493,1.7200000000000009,0.431356
112.049,1.760000000000001,0.431371
114.605,1.800000000000001,0.431085
117.161,1.840000000000001,0.43126
119.717,1.880000000000001,0.431356
122.274,1.920000000000001,0.43126
124.831,1.960000000000001,0.431133
127.402,2.000000000000001,0.431546
129.958,2.040000000000001,0.431244
132.515,2.080000000000001,0.431324
135.071,2.120000000000001,0.431356
137.636,2.160000000000001,0.431451
140.181,2.200000000000001,0.431419
142.737,2.240000000000001,0.431483
145.295,2.280000000000001,0.431324
147.853,2.320000000000001,0.431419
150.407,2.360000000000001,0.431515
152.963,2.4000000000000012,0.431467
155.520,2.4400000000000013,0.431546
158.077,2.4800000000000013,0.431562
160.633,2.5200000000000014,0.431546
163.188,2.5600000000000014,0.431403
165.744,2.6000000000000014,0.431133
168.301,2.6400000000000015,0.431053
170.857,2.6800000000000015,0.431006
173.412,2.7200000000000015,0.431419
175.969,2.7600000000000016,0.431356
178.525,2.8000000000000016,0.431387
181.097,2.8400000000000016,0.431451
183.653,2.8800000000000017,0.431483
186.209,2.9200000000000017,0.431594
188.767,2.9600000000000017,0.43161
191.323,3.0000000000000018,0.431578
193.879,3.040000000000002,0.431435
196.434,3.080000000000002,0.431451
198.991,3.120000000000002,0.431324
201.595,3.160000000000002,0.431546
204.151,3.200000000000002,0.431483
206.707,3.240000000000002,0.431451
209.264,3.280000000000002,0.431674
211.822,3.320000000000002,0.431578
214.375,3.360000000000002,0.431435
216.930,3.400000000000002,0.431705
219.487,3.440000000000002,0.431562
222.044,3.480000000000002,0.431451
224.603,3.5200000000000022,0.431419
227.165,3.5600000000000023,0.431324
229.712,3.6000000000000023,0.431387
232.269,3.6400000000000023,0.431165
234.825,3.6800000000000024,0.431451
237.382,3.7200000000000024,0.431435
239.953,3.7600000000000025,0.431276
242.510,3.8000000000000025,0.431356
245.066,3.8400000000000025,0.431324
247.622,3.8800000000000026,0.431499
250.177,3.9200000000000026,0.431674
252.734,3.9600000000000026,0.43134
255.291,4.000000000000003,0.431546
257.846,4.040000000000003,0.431371
260.402,4.080000000000003,0.431403
262.958,4.120000000000003,0.43153
265.514,4.160000000000003,0.43153
268.071,4.200000000000003,0.431499
270.627,4.240000000000003,0.43126
273.199,4.280000000000003,0.431228
275.756,4.320000000000003,0.43134
278.311,4.360000000000003,0.431499
280.868,4.400000000000003,0.431626
283.425,4.440000000000003,0.431451
285.984,4.480000000000003,0.431499
288.535,4.520000000000003,0.431483
291.091,4.560000000000003,0.431515
293.647,4.600000000000003,0.431674
296.205,4.640000000000003,0.431594
298.760,4.680000000000003,0.431467
301.329,4.720000000000003,0.43153
303.873,4.760000000000003,0.431674
306.428,4.800000000000003,0.431403
308.985,4.840000000000003,0.431594
311.559,4.8800000000000034,0.431674
314.113,4.9200000000000035,0.431324
316.670,4.9600000000000035,0.431451
319.225,5.0000000000000036,0.431578
321.782,5.040000000000004,0.431467
324.337,5.080000000000004,0.431356
326.909,5.120000000000004,0.431546
329.467,5.160000000000004,0.431578
332.022,5.200000000000004,0.431371
334.579,5.240000000000004,0.431562
337.136,5.280000000000004,0.431689
339.692,5.320000000000004,0.431467
342.247,5.360000000000004,0.431737
344.803,5.400000000000004,0.43188
347.359,5.440000000000004,0.431562
349.917,5.480000000000004,0.431467
352.472,5.520000000000004,0.431419
355.028,5.560000000000004,0.431324
357.586,5.600000000000004,0.431546
360.145,5.640000000000004,0.431562
362.697,5.680000000000004,0.431594
365.252,5.720000000000004,0.43196
367.808,5.760000000000004,0.431753
370.368,5.800000000000004,0.43196
372.920,5.840000000000004,0.432135
375.476,5.880000000000004,0.432326
378.033,5.920000000000004,0.432023
