Time [s],Position [mm],Power [W]
0.002,0,0.43056
2.048,0.04,0.430401
4.605,0.08,0.43056
7.193,0.12,0.430385
9.814,0.16,0.430258
12.369,0.2,0.430656
14.927,0.24000000000000002,0.430592
17.499,0.28,0.430656
20.055,0.32,0.430433
22.619,0.36,0.430195
25.174,0.39999999999999997,0.430179
27.724,0.43999999999999995,0.430465
30.281,0.4799999999999999,0.430449
32.838,0.5199999999999999,0.430624
35.394,0.5599999999999999,0.430513
38.286,0.6,0.430529
40.848,0.64,0.430624
43.399,0.68,0.43064
45.955,0.7200000000000001,0.430751
48.512,0.7600000000000001,0.430544
51.069,0.8000000000000002,0.43064
53.624,0.8400000000000002,0.430433
56.191,0.8800000000000002,0.430751
58.738,0.9200000000000003,0.430513
61.294,0.9600000000000003,0.430481
63.873,1.0000000000000002,0.430576
66.422,1.0400000000000003,0.430688
68.980,1.0800000000000003,0.43056
71.538,1.1200000000000003,0.430529
74.091,1.1600000000000004,0.430401
76.649,1.2000000000000004,0.430544
79.204,1.2400000000000004,0.430529
81.766,1.2800000000000005,0.430417
84.334,1.3200000000000005,0.430703
86.890,1.3600000000000005,0.430799
89.448,1.4000000000000006,0.430624
92.002,1.4400000000000006,0.430703
94.639,1.4800000000000006,0.430767
97.194,1.5200000000000007,0.430688
99.751,1.5600000000000007,0.430719
102.307,1.6000000000000008,0.430688
104.864,1.6400000000000008,0.430735
107.420,1.6800000000000008,0.430894
109.977,1.7200000000000009,0.43064
112.613,1.760000000000001,0.431006
115.168,1.800000000000001,0.43099
117.727,1.840000000000001,0.430672
120.313,1.880000000000001,0.431053
122.871,1.920000000000001,0.430862
125.426,1.960000000000001,0.430958
127.984,2.000000000000001,0.430878
130.560,2.040000000000001,0.430942
133.114,2.080000000000001,0.430783
135.797,2.120000000000001,0.430831
138.354,2.160000000000001,0.430735
140.941,2.200000000000001,0.430783
143.498,2.240000000000001,0.430799
146.055,2.280000000000001,0.430958
148.610,2.320000000000001,0.430751
151.168,2.360000000000001,0.430751
153.728,2.4000000000000012,0.430847
156.281,2.4400000000000013,0.430815
158.917,2.4800000000000013,0.430862
161.474,2.5200000000000014,0.430942
164.030,2.5600000000000014,0.430847
166.588,2.6000000000000014,0.43091
169.143,2.6400000000000015,0.431069
171.700,2.6800000000000015,0.43091
174.384,2.7200000000000015,0.430799
176.939,2.7600000000000016,0.430751
179.497,2.8000000000000016,0.430719
182.053,2.8400000000000016,0.430831
184.625,2.8800000000000017,0.431006
187.245,2.9200000000000017,0.430942
189.812,2.9600000000000017,0.431053
192.359,3.0000000000000018,0.430942
194.915,3.040000000000002,0.430894
197.471,3.080000000000002,0.431181
200.028,3.120000000000002,0.43099
202.584,3.160000000000002,0.431196
205.141,3.200000000000002,0.431006
207.697,3.240000000000002,0.431085
210.252,3.280000000000002,0.431037
212.809,3.320000000000002,0.431165
215.383,3.360000000000002,0.43091
217.938,3.400000000000002,0.430974
220.560,3.440000000000002,0.431053
223.115,3.480000000000002,0.431006
225.671,3.5200000000000022,0.431196
228.227,3.5600000000000023,0.431165
230.785,3.6000000000000023,0.431292
233.340,3.6400000000000023,0.431276
235.897,3.6800000000000024,0.431562
238.454,3.7200000000000024,0.431451
241.009,3.7600000000000025,0.431324
243.566,3.8000000000000025,0.431562
246.122,3.8400000000000025,0.43134
248.678,3.8800000000000026,0.431356
251.250,3.9200000000000026,0.431403
253.807,3.9600000000000026,0.431403
256.365,4.000000000000003,0.43153
258.921,4.040000000000003,0.431483
261.588,4.080000000000003,0.43134
264.145,4.120000000000003,0.431324
266.861,4.160000000000003,0.431689
269.418,4.200000000000003,0.431371
271.991,4.240000000000003,0.431499
274.546,4.280000000000003,0.431626
277.104,4.320000000000003,0.431626
279.659,4.360000000000003,0.431467
282.217,4.400000000000003,0.431292
284.805,4.440000000000003,0.43161
287.361,4.480000000000003,0.431594
289.919,4.520000000000003,0.431674
292.473,4.560000000000003,0.431546
295.032,4.600000000000003,0.431833
297.586,4.640000000000003,0.43161
300.143,4.680000000000003,0.431546
302.701,4.720000000000003,0.431849
305.258,4.760000000000003,0.431721
307.812,4.800000000000003,0.431737
310.371,4.840000000000003,0.432103
312.925,4.8800000000000034,0.432023
315.483,4.9200000000000035,0.431833
318.648,4.9600000000000035,0.431896
321.202,5.0000000000000036,0.43188
323.759,5.040000000000004,0.431833
326.317,5.080000000000004,0.432023
328.872,5.120000000000004,0.431864
331.442,5.160000000000004,0.432262
334.000,5.200000000000004,0.432055
336.566,5.240000000000004,0.432357
339.115,5.280000000000004,0.432182
341.671,5.320000000000004,0.432389
344.226,5.360000000000004,0.432405
346.785,5.400000000000004,0.432501
349.355,5.440000000000004,0.43258
351.911,5.480000000000004,0.432898
354.467,5.520000000000004,0.432739
357.033,5.560000000000004,0.432803
359.579,5.600000000000004,0.432835
362.137,5.640000000000004,0.432612
364.693,5.680000000000004,0.432596
367.250,5.720000000000004,0.432866
369.949,5.760000000000004,0.432835
372.506,5.800000000000004,0.43266
375.062,5.840000000000004,0.432676
377.618,5.880000000000004,0.432691
380.175,5.920000000000004,0.432564
382.747,5.960000000000004,0.432914
385.305,6.000000000000004,0.432898
387.860,6.0400000000000045,0.43328
390.480,6.0800000000000045,0.433041
393.037,6.1200000000000045,0.433248
395.595,6.160000000000005,0.433248
398.151,6.200000000000005,0.433312
400.705,6.240000000000005,0.433184
403.263,6.280000000000005,0.433312
405.914,6.320000000000005,0.433534
408.472,6.360000000000005,0.433407
411.091,6.400000000000005,0.43355
413.648,6.440000000000005,0.433725
416.204,6.480000000000005,0.433805
418.856,6.520000000000005,0.433805
421.413,6.560000000000005,0.433884
423.987,6.600000000000005,0.433916
426.542,6.640000000000005,0.434314
429.162,6.680000000000005,0.434298
431.718,6.720000000000005,0.434155
434.276,6.760000000000005,0.434234
436.833,6.800000000000005,0.434488
439.389,6.840000000000005,0.43452
441.943,6.880000000000005,0.434759
444.501,6.920000000000005,0.434918
447.061,6.960000000000005,0.434838
449.693,7.000000000000005,0.435172
452.250,7.040000000000005,0.435268
454.807,7.080000000000005,0.435363
457.394,7.120000000000005,0.435188
459.951,7.1600000000000055,0.435427
462.507,7.2000000000000055,0.435506
465.064,7.2400000000000055,0.435681
467.654,7.280000000000006,0.435745
470.225,7.320000000000006,0.435872
472.789,7.360000000000006,0.435904
475.354,7.400000000000006,0.436174
477.909,7.440000000000006,0.436206
480.467,7.480000000000006,0.436397
483.023,7.520000000000006,0.43646
485.584,7.560000000000006,0.436826
488.135,7.600000000000006,0.436906
490.692,7.640000000000006,0.436842
493.248,7.680000000000006,0.437097
495.804,7.720000000000006,0.437097
498.361,7.760000000000006,0.437049
501.190,7.800000000000006,0.43724
503.745,7.840000000000006,0.437478
506.302,7.880000000000006,0.437621
508.858,7.920000000000006,0.437749
511.413,7.960000000000006,0.437987
513.969,8.000000000000005,0.438337
516.527,8.040000000000004,0.43821
519.083,8.080000000000004,0.438067
521.640,8.120000000000003,0.438401
524.198,8.160000000000002,0.438512
526.752,8.200000000000001,0.438639
529.325,8.24,0.438337
531.881,8.28,0.438114
534.439,8.319999999999999,0.438273
537.010,8.359999999999998,0.437272
539.567,8.399999999999997,0.437478
542.364,8.439999999999996,0.437876
544.919,8.479999999999995,0.43759
547.477,8.519999999999994,0.437494
550.032,8.559999999999993,0.437669
552.588,8.599999999999993,0.437621
555.255,8.639999999999992,0.437494
557.814,8.67999999999999,0.437192
560.386,8.71999999999999,0.437097
562.942,8.75999999999999,0.437494
565.499,8.799999999999988,0.437113
568.054,8.839999999999987,0.437192
570.612,8.879999999999987,0.436826
573.167,8.919999999999986,0.436731
575.725,8.959999999999985,0.436365
578.296,8.999999999999984,0.436381
580.901,9.039999999999983,0.436063
583.458,9.079999999999982,0.435777
586.011,9.119999999999981,0.435856
588.570,9.15999999999998,0.435681
591.126,9.19999999999998,0.435681
593.681,9.239999999999979,0.4353
596.237,9.279999999999978,0.435204
598.842,9.319999999999977,0.435284
601.398,9.359999999999976,0.435347
603.955,9.399999999999975,0.435093
606.608,9.439999999999975,0.43495
609.163,9.479999999999974,0.434759
611.720,9.519999999999973,0.434807
614.294,9.559999999999972,0.434568
616.849,9.599999999999971,0.434441
619.406,9.63999999999997,0.434425
621.962,9.67999999999997,0.434298
624.520,9.719999999999969,0.434409
627.076,9.759999999999968,0.434298
629.681,9.799999999999967,0.43417
632.237,9.839999999999966,0.434123
635.017,9.879999999999965,0.434329
