Time [s],Position [mm],Power [W]
0.002,0,0.434981
2.082,0.04,0.434743
4.641,0.08,0.434934
7.197,0.12,0.434886
9.752,0.16,0.434711
12.307,0.2,0.434727
14.863,0.24000000000000002,0.434822
17.419,0.28,0.434791
19.976,0.32,0.434791
22.595,0.36,0.435045
25.154,0.39999999999999997,0.435013
27.710,0.43999999999999995,0.434886
30.266,0.4799999999999999,0.435045
32.824,0.5199999999999999,0.434981
35.396,0.5599999999999999,0.43522
37.950,0.6,0.435013
40.524,0.64,0.434791
43.082,0.68,0.435093
45.638,0.7200000000000001,0.435204
48.195,0.7600000000000001,0.435252
50.748,0.8000000000000002,0.435427
53.308,0.8400000000000002,0.435252
55.863,0.8800000000000002,0.435156
58.416,0.9200000000000003,0.435093
60.974,0.9600000000000003,0.435506
63.531,1.0000000000000002,0.435395
66.087,1.0400000000000003,0.4353
68.645,1.0800000000000003,0.435363
71.200,1.1200000000000003,0.435268
73.772,1.1600000000000004,0.435236
76.329,1.2000000000000004,0.435268
78.901,1.2400000000000004,0.435268
81.474,1.2800000000000005,0.435411
84.031,1.3200000000000005,0.435379
86.587,1.3600000000000005,0.435204
89.142,1.4000000000000006,0.435474
91.699,1.4400000000000006,0.435538
94.256,1.4800000000000006,0.43549
96.811,1.5200000000000007,0.435395
99.367,1.5600000000000007,0.435808
101.925,1.6000000000000008,0.435777
104.480,1.6400000000000008,0.435681
107.036,1.6800000000000008,0.435506
109.689,1.7200000000000009,0.43557
112.246,1.760000000000001,0.435936
114.802,1.800000000000001,0.435522
117.360,1.840000000000001,0.43557
119.915,1.880000000000001,0.435697
122.471,1.920000000000001,0.43584
125.026,1.960000000000001,0.435824
127.584,2.000000000000001,0.43592
130.141,2.040000000000001,0.435824
132.696,2.080000000000001,0.435967
135.252,2.120000000000001,0.43584
137.809,2.160000000000001,0.435936
140.366,2.200000000000001,0.435649
142.923,2.240000000000001,0.436047
145.490,2.280000000000001,0.436079
148.047,2.320000000000001,0.43592
150.603,2.360000000000001,0.435888
153.158,2.4000000000000012,0.436015
155.795,2.4400000000000013,0.435952
158.352,2.4800000000000013,0.435777
160.908,2.5200000000000014,0.43592
163.465,2.5600000000000014,0.436095
166.021,2.6000000000000014,0.435983
168.578,2.6400000000000015,0.435634
171.137,2.6800000000000015,0.435681
173.690,2.7200000000000015,0.436031
176.245,2.7600000000000016,0.436079
178.803,2.8000000000000016,0.436079
181.374,2.8400000000000016,0.436015
183.933,2.8800000000000017,0.435999
186.487,2.9200000000000017,0.436142
189.107,2.9600000000000017,0.436095
191.663,3.0000000000000018,0.436142
194.221,3.040000000000002,0.435649
196.809,3.080000000000002,0.435793
199.364,3.120000000000002,0.436047
201.920,3.160000000000002,0.43619
204.479,3.200000000000002,0.435952
207.034,3.240000000000002,0.435983
209.591,3.280000000000002,0.436079
212.147,3.320000000000002,0.436254
214.704,3.360000000000002,0.43619
217.259,3.400000000000002,0.436095
219.818,3.440000000000002,0.436222
222.371,3.480000000000002,0.436317
224.929,3.5200000000000022,0.436254
227.486,3.5600000000000023,0.436349
230.041,3.6000000000000023,0.436286
232.597,3.6400000000000023,0.436174
235.154,3.6800000000000024,0.436031
237.711,3.7200000000000024,0.436397
240.268,3.7600000000000025,0.436317
242.824,3.8000000000000025,0.43619
245.381,3.8400000000000025,0.436301
247.938,3.8800000000000026,0.436031
250.492,3.9200000000000026,0.436365
253.273,3.9600000000000026,0.436111
255.829,4.000000000000003,0.436317
258.386,4.040000000000003,0.436397
260.944,4.080000000000003,0.436381
263.530,4.120000000000003,0.436333
266.087,4.160000000000003,0.436174
268.643,4.200000000000003,0.436333
271.200,4.240000000000003,0.436254
273.773,4.280000000000003,0.43592
276.343,4.320000000000003,0.436079
278.901,4.360000000000003,0.436429
281.458,4.400000000000003,0.436429
284.013,4.440000000000003,0.436238
286.569,4.480000000000003,0.436572
289.125,4.520000000000003,0.43646
291.682,4.560000000000003,0.436365
294.239,4.600000000000003,0.43627
296.794,4.640000000000003,0.436206
299.430,4.680000000000003,0.436015
301.989,4.720000000000003,0.436333
304.561,4.760000000000003,0.436301
307.119,4.800000000000003,0.436413
309.689,4.840000000000003,0.436127
312.244,4.8800000000000034,0.436317
315.024,4.9200000000000035,0.436508
317.581,4.9600000000000035,0.43654
320.138,5.0000000000000036,0.436794
322.710,5.040000000000004,0.436715
325.265,5.080000000000004,0.436508
327.823,5.120000000000004,0.436413
330.379,5.160000000000004,0.436588
332.936,5.200000000000004,0.436524
335.492,5.240000000000004,0.436635
338.047,5.280000000000004,0.436747
340.604,5.320000000000004,0.436858
343.192,5.360000000000004,0.436667
345.750,5.400000000000004,0.436699
348.306,5.440000000000004,0.436858
350.862,5.480000000000004,0.437113
353.418,5.520000000000004,0.436667
355.973,5.560000000000004,0.437065
358.532,5.600000000000004,0.436842
361.087,5.640000000000004,0.436842
363.642,5.680000000000004,0.436524
366.200,5.720000000000004,0.436619
368.756,5.760000000000004,0.436604
371.313,5.800000000000004,0.436667
373.867,5.840000000000004,0.436604
376.425,5.880000000000004,0.436651
378.980,5.920000000000004,0.436826
381.538,5.960000000000004,0.437001
384.094,6.000000000000004,0.436858
386.650,6.0400000000000045,0.436715
389.207,6.0800000000000045,0.436747
391.778,6.1200000000000045,0.436985
394.335,6.160000000000005,0.437081
396.892,6.200000000000005,0.436953
399.447,6.240000000000005,0.437017
402.003,6.280000000000005,0.437081
404.562,6.320000000000005,0.43716
407.118,6.360000000000005,0.43724
409.675,6.400000000000005,0.436938
412.229,6.440000000000005,0.437208
414.787,6.480000000000005,0.436953
417.361,6.520000000000005,0.436779
419.917,6.560000000000005,0.437113
422.472,6.600000000000005,0.437049
425.028,6.640000000000005,0.436922
427.584,6.680000000000005,0.437065
430.141,6.720000000000005,0.437097
432.697,6.760000000000005,0.437081
435.252,6.800000000000005,0.437224
437.809,6.840000000000005,0.437049
440.398,6.880000000000005,0.437287
442.955,6.920000000000005,0.436906
445.511,6.960000000000005,0.437287
448.086,7.000000000000005,0.437272
450.656,7.040000000000005,0.43724
453.373,7.080000000000005,0.437446
455.945,7.120000000000005,0.437653
458.504,7.1600000000000055,0.437621
461.059,7.2000000000000055,0.437765
463.616,7.2400000000000055,0.438051
466.171,7.280000000000006,0.437955
468.727,7.320000000000006,0.438051
471.284,7.360000000000006,0.438226
473.840,7.400000000000006,0.438242
476.396,7.440000000000006,0.438289
478.952,7.480000000000006,0.438289
481.509,7.520000000000006,0.438496
484.067,7.560000000000006,0.438146
486.621,7.600000000000006,0.438321
489.179,7.640000000000006,0.438289
491.733,7.680000000000006,0.438242
494.291,7.720000000000006,0.438448
496.848,7.760000000000006,0.438496
499.403,7.800000000000006,0.438417
501.963,7.840000000000006,0.438496
504.517,7.880000000000006,0.438782
507.072,7.920000000000006,0.438528
509.629,7.960000000000006,0.438576
512.184,8.000000000000005,0.438464
514.741,8.040000000000004,0.438305
517.298,8.080000000000004,0.438496
519.871,8.120000000000003,0.438464
522.428,8.160000000000002,0.438242
524.983,8.200000000000001,0.438401
527.620,8.24,0.438401
530.175,8.28,0.438448
532.732,8.319999999999999,0.438242
535.288,8.359999999999998,0.438035
537.846,8.399999999999997,0.438067
540.402,8.439999999999996,0.437971
542.959,8.479999999999995,0.438067
545.514,8.519999999999994,0.437939
548.071,8.559999999999993,0.437733
550.627,8.599999999999993,0.437717
553.184,8.639999999999992,0.437733
555.755,8.67999999999999,0.437526
558.313,8.71999999999999,0.43724
560.870,8.75999999999999,0.437415
563.427,8.799999999999988,0.437256
565.982,8.839999999999987,0.437065
568.540,8.879999999999987,0.437478
571.096,8.919999999999986,0.437001
573.652,8.959999999999985,0.436922
576.208,8.999999999999984,0.437065
578.765,9.039999999999983,0.437065
581.321,9.079999999999982,0.436969
583.877,9.119999999999981,0.43716
586.433,9.15999999999998,0.436794
588.989,9.19999999999998,0.437001
591.577,9.239999999999979,0.436731
594.133,9.279999999999978,0.436588
596.707,9.319999999999977,0.436604
599.279,9.359999999999976,0.436556
601.851,9.399999999999975,0.436158
604.407,9.439999999999975,0.436238
606.964,9.479999999999974,0.436222
609.519,9.519999999999973,0.435936
612.078,9.559999999999972,0.436286
614.633,9.599999999999971,0.43646
617.189,9.63999999999997,0.436095
619.746,9.67999999999997,0.436254
622.302,9.719999999999969,0.436524
624.858,9.759999999999968,0.435952
627.415,9.799999999999967,0.436317
629.988,9.839999999999966,0.436254
632.545,9.879999999999965,0.435967
635.101,9.919999999999964,0.43627
637.657,9.959999999999964,0.436158
640.213,9.999999999999963,0.436158
642.770,10.039999999999962,0.43619
645.326,10.079999999999961,0.43619
647.882,10.11999999999996,0.436079
650.438,10.15999999999996,0.436301
652.994,10.199999999999958,0.43619
655.551,10.239999999999958,0.436174
658.107,10.279999999999957,0.435888
660.663,10.319999999999956,0.436095
663.221,10.359999999999955,0.436142
665.776,10.399999999999954,0.436063
668.334,10.439999999999953,0.435936
670.889,10.479999999999952,0.436158
673.445,10.519999999999952,0.43627
676.002,10.55999999999995,0.436095
678.559,10.59999999999995,0.436015
681.115,10.639999999999949,0.436095
683.672,10.679999999999948,0.435872
686.259,10.719999999999947,0.436079
688.814,10.759999999999946,0.435983
691.372,10.799999999999946,0.436063
693.928,10.839999999999945,0.435824
696.485,10.879999999999944,0.435808
699.090,10.919999999999943,0.435745
701.647,10.959999999999942,0.435983
704.202,10.999999999999941,0.435665
706.758,11.03999999999994,0.435824
709.348,11.07999999999994,0.435649
711.904,11.119999999999939,0.435761
714.460,11.159999999999938,0.435634
717.015,11.199999999999937,0.435522
719.573,11.239999999999936,0.435713
722.130,11.279999999999935,0.435745
724.685,11.319999999999935,0.435586
727.242,11.359999999999934,0.435665
729.830,11.399999999999933,0.43557
732.403,11.439999999999932,0.43549
734.959,11.479999999999931,0.4353
737.515,11.51999999999993,0.435761
740.072,11.55999999999993,0.435236
742.627,11.599999999999929,0.435188
745.184,11.639999999999928,0.435347
747.803,11.679999999999927,0.435363
750.363,11.719999999999926,0.435013
752.917,11.759999999999925,0.435363
755.473,11.799999999999924,0.435093
758.032,11.839999999999923,0.435172
760.587,11.879999999999923,0.435172
763.144,11.919999999999922,0.435315
765.700,11.959999999999921,0.435268
768.256,11.99999999999992,0.434934
770.813,12.03999999999992,0.435029
773.369,12.079999999999918,0.435077
775.925,12.119999999999918,0.435077
778.481,12.159999999999917,0.434775
781.037,12.199999999999916,0.435109
783.593,12.239999999999915,0.435093
786.149,12.279999999999914,0.434902
788.706,12.319999999999913,0.434822
791.264,12.359999999999912,0.434966
793.818,12.399999999999912,0.434886
796.407,12.43999999999991,0.4353
798.963,12.47999999999991,0.434711
801.601,12.519999999999909,0.435029
804.156,12.559999999999908,0.435045
806.712,12.599999999999907,0.434791
809.267,12.639999999999906,0.434552
811.825,12.679999999999906,0.4346
814.382,12.719999999999905,0.434568
817.241,12.759999999999904,0.434711
819.814,12.799999999999903,0.434536
822.371,12.839999999999902,0.434377
824.926,12.879999999999901,0.434361
827.483,12.9199999999999,0.434377
830.038,12.9599999999999,0.434377
832.596,12.999999999999899,0.434361
