Time [s],Position [mm],Power [W]
0.003,0,0.421591
2.049,0.04,0.421623
4.606,0.08,0.421639
7.162,0.12,0.421384
9.720,0.16,0.421305
12.273,0.2,0.421543
14.830,0.24000000000000002,0.421416
17.386,0.28,0.421368
19.960,0.32,0.421527
22.515,0.36,0.421368
25.087,0.39999999999999997,0.421336
27.642,0.43999999999999995,0.421273
30.200,0.4799999999999999,0.421384
32.757,0.5199999999999999,0.421416
35.311,0.5599999999999999,0.421289
37.869,0.6,0.421289
40.425,0.64,0.42148
42.981,0.68,0.421448
45.536,0.7200000000000001,0.42132
48.093,0.7600000000000001,0.421225
50.648,0.8000000000000002,0.421177
53.204,0.8400000000000002,0.421177
55.779,0.8800000000000002,0.421146
58.333,0.9200000000000003,0.421114
60.889,0.9600000000000003,0.421305
63.445,1.0000000000000002,0.421225
66.002,1.0400000000000003,0.421162
68.589,1.0800000000000003,0.421209
71.145,1.1200000000000003,0.421193
73.701,1.1600000000000004,0.421162
76.257,1.2000000000000004,0.421034
78.814,1.2400000000000004,0.42132
81.370,1.2800000000000005,0.42132
83.926,1.3200000000000005,0.421193
86.482,1.3600000000000005,0.421225
89.037,1.4000000000000006,0.421114
91.593,1.4400000000000006,0.421241
94.151,1.4800000000000006,0.421241
96.706,1.5200000000000007,0.421098
99.262,1.5600000000000007,0.420987
101.850,1.6000000000000008,0.42105
104.408,1.6400000000000008,0.421289
106.963,1.6800000000000008,0.421066
109.518,1.7200000000000009,0.420971
112.074,1.760000000000001,0.420971
114.630,1.800000000000001,0.421066
117.188,1.840000000000001,0.420891
119.743,1.880000000000001,0.421066
122.298,1.920000000000001,0.420971
124.854,1.960000000000001,0.420875
127.410,2.000000000000001,0.420955
129.967,2.040000000000001,0.420891
132.523,2.080000000000001,0.420987
135.079,2.120000000000001,0.420971
137.636,2.160000000000001,0.420828
140.193,2.200000000000001,0.420971
142.752,2.240000000000001,0.420828
145.305,2.280000000000001,0.420891
147.860,2.320000000000001,0.42078
150.432,2.360000000000001,0.420541
152.990,2.4000000000000012,0.420891
155.545,2.4400000000000013,0.420684
158.101,2.4800000000000013,0.420748
160.657,2.5200000000000014,0.420684
163.214,2.5600000000000014,0.420732
165.769,2.6000000000000014,0.421114
168.326,2.6400000000000015,0.420716
170.897,2.6800000000000015,0.420684
173.453,2.7200000000000015,0.42078
176.009,2.7600000000000016,0.420605
178.566,2.8000000000000016,0.420653
181.121,2.8400000000000016,0.420764
183.677,2.8800000000000017,0.420653
186.234,2.9200000000000017,0.420748
188.790,2.9600000000000017,0.420446
191.347,3.0000000000000018,0.420748
193.903,3.040000000000002,0.42078
196.458,3.080000000000002,0.420605
199.014,3.120000000000002,0.420732
201.570,3.160000000000002,0.420748
204.126,3.200000000000002,0.420573
206.682,3.240000000000002,0.420732
209.239,3.280000000000002,0.420637
211.795,3.320000000000002,0.420764
214.352,3.360000000000002,0.420557
216.924,3.400000000000002,0.420462
219.480,3.440000000000002,0.420557
222.036,3.480000000000002,0.420621
224.594,3.5200000000000022,0.4207
227.148,3.5600000000000023,0.420398
229.705,3.6000000000000023,0.42035
232.260,3.6400000000000023,0.420525
234.817,3.6800000000000024,0.420478
237.404,3.7200000000000024,0.420748
239.970,3.7600000000000025,0.420589
242.515,3.8000000000000025,0.42043
245.072,3.8400000000000025,0.420478
247.631,3.8800000000000026,0.420303
250.184,3.9200000000000026,0.42043
252.741,3.9600000000000026,0.420446
255.297,4.000000000000003,0.420398
257.852,4.040000000000003,0.420525
260.430,4.080000000000003,0.420605
262.980,4.120000000000003,0.420335
265.538,4.160000000000003,0.420382
268.093,4.200000000000003,0.420414
270.649,4.240000000000003,0.420509
273.205,4.280000000000003,0.420271
275.761,4.320000000000003,0.420462
278.317,4.360000000000003,0.420271
280.873,4.400000000000003,0.420382
283.430,4.440000000000003,0.420509
285.985,4.480000000000003,0.420414
288.541,4.520000000000003,0.420144
291.098,4.560000000000003,0.420175
293.653,4.600000000000003,0.42008
296.210,4.640000000000003,0.42016
298.766,4.680000000000003,0.420271
301.322,4.720000000000003,0.420462
303.878,4.760000000000003,0.420287
306.435,4.800000000000003,0.420287
308.990,4.840000000000003,0.419826
311.547,4.8800000000000034,0.420128
314.103,4.9200000000000035,0.420191
316.659,4.9600000000000035,0.420128
319.214,5.0000000000000036,0.420335
321.771,5.040000000000004,0.420144
324.343,5.080000000000004,0.420398
326.899,5.120000000000004,0.420144
329.455,5.160000000000004,0.420255
332.012,5.200000000000004,0.420239
334.566,5.240000000000004,0.420255
337.142,5.280000000000004,0.420382
339.695,5.320000000000004,0.420287
342.252,5.360000000000004,0.420303
344.807,5.400000000000004,0.420271
347.363,5.440000000000004,0.420271
349.936,5.480000000000004,0.42035
352.493,5.520000000000004,0.420509
355.047,5.560000000000004,0.420382
357.603,5.600000000000004,0.420366
360.159,5.640000000000004,0.42043
362.716,5.680000000000004,0.420605
365.272,5.720000000000004,0.420637
367.828,5.760000000000004,0.420653
370.383,5.800000000000004,0.420907
372.940,5.840000000000004,0.420828
375.496,5.880000000000004,0.421082
378.053,5.920000000000004,0.421352
380.609,5.960000000000004,0.421273
383.165,6.000000000000004,0.421495
385.721,6.0400000000000045,0.421702
388.277,6.0800000000000045,0.42167
390.832,6.1200000000000045,0.421766
393.388,6.160000000000005,0.421829
395.947,6.200000000000005,0.421957
398.502,6.240000000000005,0.421877
401.061,6.280000000000005,0.422211
403.614,6.320000000000005,0.421925
406.170,6.360000000000005,0.422084
408.726,6.400000000000005,0.422004
411.282,6.440000000000005,0.422338
413.840,6.480000000000005,0.422195
416.393,6.520000000000005,0.422863
418.949,6.560000000000005,0.422911
421.505,6.600000000000005,0.423102
424.061,6.640000000000005,0.423213
426.617,6.680000000000005,0.423611
429.180,6.720000000000005,0.423801
431.731,6.760000000000005,0.424326
434.286,6.800000000000005,0.424374
436.842,6.840000000000005,0.424644
439.398,6.880000000000005,0.424756
441.956,6.920000000000005,0.424835
444.510,6.960000000000005,0.424899
447.067,7.000000000000005,0.425249
449.622,7.040000000000005,0.425233
452.178,7.080000000000005,0.425249
454.734,7.120000000000005,0.425201
457.295,7.1600000000000055,0.425233
459.847,7.2000000000000055,0.425344
462.403,7.2400000000000055,0.425599
464.975,7.280000000000006,0.425344
467.531,7.320000000000006,0.425805
470.088,7.360000000000006,0.425964
472.645,7.400000000000006,0.426203
475.201,7.440000000000006,0.426282
477.756,7.480000000000006,0.426362
480.311,7.520000000000006,0.426553
482.868,7.560000000000006,0.426569
485.425,7.600000000000006,0.426823
487.981,7.640000000000006,0.426648
490.536,7.680000000000006,0.426887
493.094,7.720000000000006,0.427237
495.650,7.760000000000006,0.427093
498.205,7.800000000000006,0.427507
500.762,7.840000000000006,0.427539
503.350,7.880000000000006,0.427936
505.907,7.920000000000006,0.428064
508.462,7.960000000000006,0.427857
511.016,8.000000000000005,0.427841
513.573,8.040000000000004,0.427602
516.129,8.080000000000004,0.427364
518.686,8.120000000000003,0.4273
521.241,8.160000000000002,0.427141
523.798,8.200000000000001,0.427014
526.354,8.24,0.426966
528.910,8.28,0.42695
531.465,8.319999999999999,0.427014
534.022,8.359999999999998,0.427046
536.579,8.399999999999997,0.427221
539.135,8.439999999999996,0.427364
541.691,8.479999999999995,0.427666
544.246,8.519999999999994,0.427539
546.802,8.559999999999993,0.4273
549.390,8.599999999999993,0.427459
551.946,8.639999999999992,0.427507
554.502,8.67999999999999,0.427523
557.058,8.71999999999999,0.427793
559.614,8.75999999999999,0.427396
562.170,8.799999999999988,0.42765
564.726,8.839999999999987,0.427586
567.282,8.879999999999987,0.427571
569.838,8.919999999999986,0.427062
572.395,8.959999999999985,0.427189
574.951,8.999999999999984,0.426696
577.506,9.039999999999983,0.426585
580.062,9.079999999999982,0.426235
582.648,9.119999999999981,0.426092
585.207,9.15999999999998,0.426155
587.763,9.19999999999998,0.425805
590.318,9.239999999999979,0.425646
592.875,9.279999999999978,0.42536
595.431,9.319999999999977,0.42501
597.987,9.359999999999976,0.424772
600.544,9.399999999999975,0.424613
603.099,9.439999999999975,0.424644
605.655,9.479999999999974,0.424422
608.212,9.519999999999973,0.424183
610.768,9.559999999999972,0.423976
613.328,9.599999999999971,0.423881
615.880,9.63999999999997,0.423833
618.435,9.67999999999997,0.42369
620.992,9.719999999999969,0.423611
623.548,9.759999999999968,0.423515
626.136,9.799999999999967,0.423388
628.693,9.839999999999966,0.423022
631.264,9.879999999999965,0.422974
633.821,9.919999999999964,0.423118
636.377,9.959999999999964,0.423006
638.932,9.999999999999963,0.422879
641.489,10.039999999999962,0.422799
644.045,10.079999999999961,0.422656
646.602,10.11999999999996,0.422497
649.156,10.15999999999996,0.422481
651.714,10.199999999999958,0.422481
654.271,10.239999999999958,0.422338
656.825,10.279999999999957,0.42245
659.414,10.319999999999956,0.422275
661.969,10.359999999999955,0.422386
664.525,10.399999999999954,0.422227
667.081,10.439999999999953,0.422084
669.638,10.479999999999952,0.422211
672.194,10.519999999999952,0.422116
674.751,10.55999999999995,0.422243
677.337,10.59999999999995,0.421829
679.895,10.639999999999949,0.421702
682.451,10.679999999999948,0.421782
685.008,10.719999999999947,0.421957
687.579,10.759999999999946,0.421607
690.136,10.799999999999946,0.421877
692.708,10.839999999999945,0.42175
695.263,10.879999999999944,0.421702
697.820,10.919999999999943,0.42175
700.375,10.959999999999942,0.421639
702.932,10.999999999999941,0.421591
705.488,11.03999999999994,0.421527
708.043,11.07999999999994,0.421623
710.601,11.119999999999939,0.421464
713.156,11.159999999999938,0.421257
715.713,11.199999999999937,0.42148
718.269,11.239999999999936,0.421527
720.825,11.279999999999935,0.421464
723.380,11.319999999999935,0.4214
725.937,11.359999999999934,0.421607
728.493,11.399999999999933,0.421591
731.049,11.439999999999932,0.421193
733.605,11.479999999999931,0.421432
736.161,11.51999999999993,0.42105
738.717,11.55999999999993,0.421146
741.277,11.599999999999929,0.421511
743.828,11.639999999999928,0.421273
746.386,11.679999999999927,0.421305
748.942,11.719999999999926,0.421416
751.499,11.759999999999925,0.42132
754.054,11.799999999999924,0.421352
756.610,11.839999999999923,0.42148
759.166,11.879999999999923,0.421257
761.722,11.919999999999922,0.421241
764.278,11.959999999999921,0.421082
766.849,11.99999999999992,0.421193
769.407,12.03999999999992,0.421209
771.962,12.079999999999918,0.421209
774.518,12.119999999999918,0.421018
777.075,12.159999999999917,0.421177
779.630,12.199999999999916,0.420923
782.187,12.239999999999915,0.42105
784.775,12.279999999999914,0.420923
787.330,12.319999999999913,0.42105
789.891,12.359999999999912,0.420828
792.442,12.399999999999912,0.420875
794.999,12.43999999999991,0.420716
797.553,12.47999999999991,0.42105
800.111,12.519999999999909,0.420796
802.666,12.559999999999908,0.420939
805.251,12.599999999999907,0.420939
807.795,12.639999999999906,0.421002
810.352,12.679999999999906,0.420796
812.909,12.719999999999905,0.42105
815.497,12.759999999999904,0.420843
818.053,12.799999999999903,0.420796
820.609,12.839999999999902,0.420764
823.164,12.879999999999901,0.420812
825.721,12.9199999999999,0.420716
828.277,12.9599999999999,0.420684
830.834,12.999999999999899,0.420939
