Time [s],Position [mm],Power [W]
0.003,0,0.418951
2.049,0.04,0.41876
4.607,0.08,0.418712
7.161,0.12,0.418887
9.717,0.16,0.418824
12.273,0.2,0.41876
14.831,0.24000000000000002,0.41884
17.386,0.28,0.418776
19.942,0.32,0.418585
22.498,0.36,0.418712
25.053,0.39999999999999997,0.418792
27.612,0.43999999999999995,0.418585
30.170,0.4799999999999999,0.418776
32.722,0.5199999999999999,0.418792
35.278,0.5599999999999999,0.418967
37.833,0.6,0.418681
40.389,0.64,0.418665
42.946,0.68,0.418935
45.502,0.7200000000000001,0.418681
48.090,0.7600000000000001,0.418871
50.646,0.8000000000000002,0.418776
53.202,0.8400000000000002,0.418824
55.776,0.8800000000000002,0.418856
58.330,0.9200000000000003,0.418871
60.889,0.9600000000000003,0.418856
63.443,1.0000000000000002,0.418696
65.998,1.0400000000000003,0.41884
68.555,1.0800000000000003,0.418665
71.111,1.1200000000000003,0.41876
73.667,1.1600000000000004,0.418824
76.224,1.2000000000000004,0.418776
78.780,1.2400000000000004,0.418808
81.336,1.2800000000000005,0.418728
83.893,1.3200000000000005,0.41903
86.448,1.3600000000000005,0.418871
89.004,1.4000000000000006,0.418919
91.560,1.4400000000000006,0.419094
94.116,1.4800000000000006,0.419269
96.674,1.5200000000000007,0.418967
99.229,1.5600000000000007,0.418983
101.785,1.6000000000000008,0.418967
104.343,1.6400000000000008,0.419078
106.900,1.6800000000000008,0.419078
109.454,1.7200000000000009,0.419046
112.010,1.760000000000001,0.418999
114.567,1.800000000000001,0.419015
117.122,1.840000000000001,0.418967
119.678,1.880000000000001,0.419046
122.235,1.920000000000001,0.419062
124.790,1.960000000000001,0.419142
127.346,2.000000000000001,0.418983
129.902,2.040000000000001,0.419237
132.458,2.080000000000001,0.419094
135.030,2.120000000000001,0.419078
137.587,2.160000000000001,0.419174
140.143,2.200000000000001,0.418951
142.700,2.240000000000001,0.418967
145.256,2.280000000000001,0.419189
147.812,2.320000000000001,0.419285
150.368,2.360000000000001,0.419015
152.924,2.4000000000000012,0.419189
155.496,2.4400000000000013,0.419348
158.052,2.4800000000000013,0.419189
160.608,2.5200000000000014,0.418999
163.164,2.5600000000000014,0.41911
165.720,2.6000000000000014,0.419094
168.276,2.6400000000000015,0.419078
170.832,2.6800000000000015,0.419142
173.389,2.7200000000000015,0.419015
175.947,2.7600000000000016,0.419078
178.502,2.8000000000000016,0.419189
181.057,2.8400000000000016,0.419189
183.613,2.8800000000000017,0.419142
186.169,2.9200000000000017,0.419285
188.725,2.9600000000000017,0.419333
191.312,3.0000000000000018,0.418967
193.886,3.040000000000002,0.419333
196.442,3.080000000000002,0.419317
198.997,3.120000000000002,0.419142
201.553,3.160000000000002,0.419126
204.111,3.200000000000002,0.419348
206.665,3.240000000000002,0.419301
209.222,3.280000000000002,0.419221
211.779,3.320000000000002,0.419317
214.334,3.360000000000002,0.419285
216.889,3.400000000000002,0.419189
219.446,3.440000000000002,0.41938
222.002,3.480000000000002,0.419046
224.561,3.5200000000000022,0.419396
227.131,3.5600000000000023,0.419396
229.687,3.6000000000000023,0.419285
232.244,3.6400000000000023,0.419189
234.799,3.6800000000000024,0.419428
237.355,3.7200000000000024,0.419428
