Time [s],Position [mm],Power [W]
0.002,0,0.440659
2.050,0.04,0.440786
4.607,0.08,0.4405
7.163,0.12,0.44042
9.720,0.16,0.44023
12.276,0.2,0.440627
14.832,0.24000000000000002,0.440595
17.388,0.28,0.440643
19.945,0.32,0.440723
22.500,0.36,0.440882
25.058,0.39999999999999997,0.440691
27.613,0.43999999999999995,0.440834
30.171,0.4799999999999999,0.440754
32.725,0.5199999999999999,0.440548
35.281,0.5599999999999999,0.440786
37.837,0.6,0.440595
40.392,0.64,0.440723
42.948,0.68,0.440341
45.506,0.7200000000000001,0.440643
48.061,0.7600000000000001,0.440913
50.649,0.8000000000000002,0.440897
53.205,0.8400000000000002,0.440611
55.762,0.8800000000000002,0.440611
58.318,0.9200000000000003,0.440707
60.874,0.9600000000000003,0.4405
63.432,1.0000000000000002,0.440691
66.002,1.0400000000000003,0.440786
68.557,1.0800000000000003,0.440675
71.115,1.1200000000000003,0.440723
73.671,1.1600000000000004,0.440595
76.226,1.2000000000000004,0.4405
78.783,1.2400000000000004,0.440643
81.338,1.2800000000000005,0.440643
83.894,1.3200000000000005,0.440579
86.451,1.3600000000000005,0.440659
89.005,1.4000000000000006,0.440866
91.562,1.4400000000000006,0.440659
94.119,1.4800000000000006,0.440579
96.675,1.5200000000000007,0.440691
99.232,1.5600000000000007,0.440707
101.804,1.6000000000000008,0.440579
104.360,1.6400000000000008,0.440786
106.932,1.6800000000000008,0.440961
109.503,1.7200000000000009,0.440866
112.060,1.760000000000001,0.440548
114.617,1.800000000000001,0.440993
117.172,1.840000000000001,0.440738
119.745,1.880000000000001,0.44077
122.300,1.920000000000001,0.440882
124.857,1.960000000000001,0.44077
127.414,2.000000000000001,0.440993
129.969,2.040000000000001,0.440929
132.530,2.080000000000001,0.440659
135.081,2.120000000000001,0.440929
137.638,2.160000000000001,0.440897
140.195,2.200000000000001,0.440707
142.751,2.240000000000001,0.44077
145.305,2.280000000000001,0.440834
147.864,2.320000000000001,0.440945
150.420,2.360000000000001,0.440754
152.974,2.4000000000000012,0.441041
155.531,2.4400000000000013,0.441072
158.087,2.4800000000000013,0.440993
160.660,2.5200000000000014,0.440659
163.215,2.5600000000000014,0.441057
165.771,2.6000000000000014,0.440993
168.327,2.6400000000000015,0.44085
170.898,2.6800000000000015,0.440691
173.455,2.7200000000000015,0.440866
176.011,2.7600000000000016,0.440993
178.566,2.8000000000000016,0.441025
181.124,2.8400000000000016,0.440945
183.680,2.8800000000000017,0.441152
186.235,2.9200000000000017,0.440834
188.792,2.9600000000000017,0.440866
191.347,3.0000000000000018,0.440866
193.905,3.040000000000002,0.440897
196.460,3.080000000000002,0.441168
199.017,3.120000000000002,0.441104
201.573,3.160000000000002,0.440993
204.129,3.200000000000002,0.441136
206.684,3.240000000000002,0.440659
209.241,3.280000000000002,0.440929
211.797,3.320000000000002,0.441152
214.354,3.360000000000002,0.440882
216.909,3.400000000000002,0.441041
219.466,3.440000000000002,0.440977
222.037,3.480000000000002,0.441088
224.594,3.5200000000000022,0.440913
227.149,3.5600000000000023,0.440961
229.705,3.6000000000000023,0.440834
232.261,3.6400000000000023,0.441295
234.835,3.6800000000000024,0.441152
237.390,3.7200000000000024,0.440929
239.946,3.7600000000000025,0.440961
242.502,3.8000000000000025,0.440897
245.058,3.8400000000000025,0.441104
247.615,3.8800000000000026,0.441295
250.171,3.9200000000000026,0.441184
252.726,3.9600000000000026,0.441152
255.283,4.000000000000003,0.441152
257.838,4.040000000000003,0.441279
260.396,4.080000000000003,0.440945
262.951,4.120000000000003,0.441009
265.506,4.160000000000003,0.440866
268.062,4.200000000000003,0.44085
270.618,4.240000000000003,0.441152
273.176,4.280000000000003,0.441152
275.730,4.320000000000003,0.441231
278.287,4.360000000000003,0.441152
280.875,4.400000000000003,0.441343
283.432,4.440000000000003,0.440723
285.987,4.480000000000003,0.441009
288.543,4.520000000000003,0.441168
291.100,4.560000000000003,0.441025
293.655,4.600000000000003,0.440913
296.211,4.640000000000003,0.440961
298.767,4.680000000000003,0.441136
301.323,4.720000000000003,0.441263
303.880,4.760000000000003,0.441295
306.437,4.800000000000003,0.441311
308.993,4.840000000000003,0.441104
311.550,4.8800000000000034,0.441359
314.105,4.9200000000000035,0.44112
316.662,4.9600000000000035,0.441231
319.233,5.0000000000000036,0.441247
321.790,5.040000000000004,0.4412
324.346,5.080000000000004,0.441231
