Time [s],Position [mm],Power [W]
0.003,0,0.444682
2.059,0.04,0.444682
4.615,0.08,0.444587
7.172,0.12,0.444842
10.016,0.16,0.444698
12.576,0.2,0.444571
15.128,0.24000000000000002,0.444746
17.685,0.28,0.444794
20.242,0.32,0.444619
22.875,0.36,0.444857
25.465,0.39999999999999997,0.444873
28.020,0.43999999999999995,0.444842
30.576,0.4799999999999999,0.444857
33.132,0.5199999999999999,0.444714
35.689,0.5599999999999999,0.44481
38.278,0.6,0.444714
40.833,0.64,0.444985
43.391,0.68,0.44473
45.946,0.7200000000000001,0.444762
48.519,0.7600000000000001,0.445032
51.075,0.8000000000000002,0.444873
53.662,0.8400000000000002,0.445112
56.275,0.8800000000000002,0.444921
58.824,0.9200000000000003,0.444714
61.427,0.9600000000000003,0.445001
64.048,1.0000000000000002,0.444826
66.667,1.0400000000000003,0.445064
69.224,1.0800000000000003,0.444969
71.987,1.1200000000000003,0.445096
74.544,1.1600000000000004,0.444969
77.101,1.2000000000000004,0.445001
79.687,1.2400000000000004,0.445319
82.243,1.2800000000000005,0.444794
84.801,1.3200000000000005,0.444921
87.374,1.3600000000000005,0.444921
89.931,1.4000000000000006,0.444857
92.485,1.4400000000000006,0.445064
95.042,1.4800000000000006,0.445032
98.221,1.5200000000000007,0.445128
100.777,1.5600000000000007,0.444857
103.334,1.6000000000000008,0.445001
105.937,1.6400000000000008,0.44508
108.544,1.6800000000000008,0.445175
111.114,1.7200000000000009,0.445112
113.669,1.760000000000001,0.445191
116.227,1.800000000000001,0.445064
118.848,1.840000000000001,0.445064
121.499,1.880000000000001,0.444921
124.053,1.920000000000001,0.445112
126.611,1.960000000000001,0.444985
129.183,2.000000000000001,0.445016
131.772,2.040000000000001,0.445032
134.330,2.080000000000001,0.445223
136.885,2.120000000000001,0.445128
139.503,2.160000000000001,0.44516
142.060,2.200000000000001,0.445128
144.618,2.240000000000001,0.445382
147.173,2.280000000000001,0.445239
149.730,2.320000000000001,0.445382
152.285,2.360000000000001,0.445557
154.947,2.4000000000000012,0.445303
157.542,2.4400000000000013,0.445223
160.098,2.4800000000000013,0.445144
162.654,2.5200000000000014,0.445191
165.211,2.5600000000000014,0.445446
167.848,2.6000000000000014,0.445509
170.409,2.6400000000000015,0.445271
172.960,2.6800000000000015,0.445335
175.528,2.7200000000000015,0.445509
178.087,2.7600000000000016,0.44508
180.643,2.8000000000000016,0.445414
183.200,2.8400000000000016,0.445446
185.757,2.8800000000000017,0.445494
188.312,2.9200000000000017,0.445462
190.869,2.9600000000000017,0.445303
193.536,3.0000000000000018,0.44543
196.092,3.040000000000002,0.445096
198.648,3.080000000000002,0.445223
201.204,3.120000000000002,0.445303
203.761,3.160000000000002,0.44516
206.317,3.200000000000002,0.445335
208.873,3.240000000000002,0.445366
211.430,3.280000000000002,0.445398
214.050,3.320000000000002,0.445509
216.606,3.360000000000002,0.445478
219.162,3.400000000000002,0.445494
221.735,3.440000000000002,0.445446
224.291,3.480000000000002,0.445303
226.847,3.5200000000000022,0.445478
229.404,3.5600000000000023,0.445382
231.960,3.6000000000000023,0.445557
234.517,3.6400000000000023,0.445637
237.232,3.6800000000000024,0.445541
239.789,3.7200000000000024,0.445605
242.345,3.7600000000000025,0.445605
244.901,3.8000000000000025,0.445557
247.457,3.8400000000000025,0.445366
250.013,3.8800000000000026,0.445557
252.569,3.9200000000000026,0.445494
255.125,3.9600000000000026,0.44543
257.681,4.000000000000003,0.445557
260.239,4.040000000000003,0.445605
262.795,4.080000000000003,0.445446
265.351,4.120000000000003,0.445589
267.906,4.160000000000003,0.445732
270.463,4.200000000000003,0.445494
273.019,4.240000000000003,0.445462
275.576,4.280000000000003,0.445478
278.133,4.320000000000003,0.445589
280.689,4.360000000000003,0.445541
283.244,4.400000000000003,0.445573
285.800,4.440000000000003,0.445446
288.357,4.480000000000003,0.445366
290.913,4.520000000000003,0.445732
293.469,4.560000000000003,0.445557
296.025,4.600000000000003,0.445716
298.582,4.640000000000003,0.445684
301.138,4.680000000000003,0.445509
303.695,4.720000000000003,0.445669
306.282,4.760000000000003,0.445366
308.837,4.800000000000003,0.445669
311.394,4.840000000000003,0.445843
313.968,4.8800000000000034,0.445621
316.524,4.9200000000000035,0.445414
319.095,4.9600000000000035,0.445684
321.652,5.0000000000000036,0.445923
324.209,5.040000000000004,0.445828
326.765,5.080000000000004,0.445541
329.321,5.120000000000004,0.445509
331.875,5.160000000000004,0.445669
334.432,5.200000000000004,0.445621
337.004,5.240000000000004,0.445335
339.577,5.280000000000004,0.445366
342.164,5.320000000000004,0.445573
344.721,5.360000000000004,0.445653
347.276,5.400000000000004,0.445796
349.834,5.440000000000004,0.445923
352.390,5.480000000000004,0.445859
354.946,5.520000000000004,0.44578
357.502,5.560000000000004,0.445812
360.058,5.600000000000004,0.445843
362.615,5.640000000000004,0.445828
365.202,5.680000000000004,0.44578
367.775,5.720000000000004,0.445828
370.428,5.760000000000004,0.445971
372.999,5.800000000000004,0.445987
375.554,5.840000000000004,0.44605
378.128,5.880000000000004,0.446193
380.731,5.920000000000004,0.446034
383.287,5.960000000000004,0.446066
385.843,6.000000000000004,0.445987
388.399,6.0400000000000045,0.445875
390.956,6.0800000000000045,0.44578
393.513,6.1200000000000045,0.445812
396.068,6.160000000000005,0.445764
398.624,6.200000000000005,0.445716
401.200,6.240000000000005,0.445669
403.751,6.280000000000005,0.445684
406.318,6.320000000000005,0.4457
408.880,6.360000000000005,0.446146
411.436,6.400000000000005,0.445955
413.993,6.440000000000005,0.446114
416.549,6.480000000000005,0.446464
419.121,6.520000000000005,0.446257
421.678,6.560000000000005,0.446098
424.234,6.600000000000005,0.44605
426.790,6.640000000000005,0.445939
429.346,6.680000000000005,0.445812
431.918,6.720000000000005,0.445828
434.474,6.760000000000005,0.445891
437.031,6.800000000000005,0.446018
439.609,6.840000000000005,0.445891
442.159,6.880000000000005,0.445939
444.718,6.920000000000005,0.445891
447.271,6.960000000000005,0.445828
449.827,7.000000000000005,0.445764
452.383,7.040000000000005,0.445764
454.940,7.080000000000005,0.445875
457.497,7.120000000000005,0.446066
460.052,7.1600000000000055,0.445843
462.609,7.2000000000000055,0.445923
465.164,7.2400000000000055,0.445875
467.831,7.280000000000006,0.446066
470.388,7.320000000000006,0.445955
473.056,7.360000000000006,0.446002
475.804,7.400000000000006,0.445939
478.360,7.440000000000006,0.445923
480.917,7.480000000000006,0.446305
483.472,7.520000000000006,0.446114
486.124,7.560000000000006,0.446098
488.681,7.600000000000006,0.446146
491.238,7.640000000000006,0.445828
493.793,7.680000000000006,0.445812
496.350,7.720000000000006,0.446066
498.906,7.760000000000006,0.446002
501.461,7.800000000000006,0.446098
504.018,7.840000000000006,0.445859
506.573,7.880000000000006,0.445891
509.132,7.920000000000006,0.44605
511.687,7.960000000000006,0.44613
514.243,8.000000000000005,0.446193
516.800,8.040000000000004,0.44613
519.355,8.080000000000004,0.445955
521.912,8.120000000000003,0.446114
524.467,8.160000000000002,0.446018
527.038,8.200000000000001,0.445939
529.596,8.24,0.446114
532.151,8.28,0.445987
534.719,8.319999999999999,0.446018
537.265,8.359999999999998,0.446289
539.821,8.399999999999997,0.445987
542.378,8.439999999999996,0.445987
544.932,8.479999999999995,0.446098
547.488,8.519999999999994,0.446034
550.045,8.559999999999993,0.446241
552.600,8.599999999999993,0.446177
555.238,8.639999999999992,0.446161
557.905,8.67999999999999,0.446002
560.463,8.71999999999999,0.446448
563.017,8.75999999999999,0.446209
565.574,8.799999999999988,0.446289
568.147,8.839999999999987,0.446368
570.702,8.879999999999987,0.446082
573.275,8.919999999999986,0.446209
575.830,8.959999999999985,0.445875
578.387,8.999999999999984,0.445812
580.943,9.039999999999983,0.446018
583.499,9.079999999999982,0.446018
586.078,9.119999999999981,0.445955
588.626,9.15999999999998,0.446082
591.184,9.19999999999998,0.446289
593.745,9.239999999999979,0.446018
596.295,9.279999999999978,0.445939
598.915,9.319999999999977,0.446114
601.472,9.359999999999976,0.446114
604.029,9.399999999999975,0.446209
606.585,9.439999999999975,0.44605
609.157,9.479999999999974,0.445987
611.714,9.519999999999973,0.446098
614.285,9.559999999999972,0.446225
616.843,9.599999999999971,0.446161
619.398,9.63999999999997,0.446177
621.955,9.67999999999997,0.446002
624.511,9.719999999999969,0.446082
627.082,9.759999999999968,0.446066
629.639,9.799999999999967,0.446098
632.196,9.839999999999966,0.44605
634.767,9.879999999999965,0.446066
637.323,9.919999999999964,0.446289
639.879,9.959999999999964,0.446241
642.436,9.999999999999963,0.446034
644.991,10.039999999999962,0.446177
647.580,10.079999999999961,0.446034
650.137,10.11999999999996,0.446066
652.693,10.15999999999996,0.446305
655.256,10.199999999999958,0.445987
657.806,10.239999999999958,0.446082
660.362,10.279999999999957,0.446209
662.918,10.319999999999956,0.445923
665.474,10.359999999999955,0.446289
668.287,10.399999999999954,0.446384
670.858,10.439999999999953,0.446257
673.445,10.479999999999952,0.446193
676.003,10.519999999999952,0.44613
678.558,10.55999999999995,0.44613
681.115,10.59999999999995,0.445987
683.671,10.639999999999949,0.445955
686.227,10.679999999999948,0.445971
688.784,10.719999999999947,0.446034
691.339,10.759999999999946,0.446305
693.896,10.799999999999946,0.446336
696.452,10.839999999999945,0.446559
699.023,10.879999999999944,0.44613
701.578,10.919999999999943,0.446241
704.137,10.959999999999942,0.446352
706.695,10.999999999999941,0.446098
709.249,11.03999999999994,0.446416
711.805,11.07999999999994,0.446193
714.360,11.119999999999939,0.446177
716.917,11.159999999999938,0.44605
719.472,11.199999999999937,0.446066
722.028,11.239999999999936,0.446002
724.584,11.279999999999935,0.446161
727.141,11.319999999999935,0.445955
729.698,11.359999999999934,0.446177
732.271,11.399999999999933,0.446225
734.858,11.439999999999932,0.446082
737.413,11.479999999999931,0.446257
739.971,11.51999999999993,0.4464
742.542,11.55999999999993,0.4464
745.178,11.599999999999929,0.446623
747.733,11.639999999999928,0.446464
750.292,11.679999999999927,0.446273
752.942,11.719999999999926,0.446543
755.515,11.759999999999925,0.446146
758.070,11.799999999999924,0.446241
760.627,11.839999999999923,0.446114
763.183,11.879999999999923,0.445875
765.740,11.919999999999922,0.446305
768.296,11.959999999999921,0.44605
770.868,11.99999999999992,0.445955
773.424,12.03999999999992,0.445987
775.980,12.079999999999918,0.446209
778.537,12.119999999999918,0.446177
781.094,12.159999999999917,0.445987
783.650,12.199999999999916,0.446321
786.205,12.239999999999915,0.446305
788.761,12.279999999999914,0.446114
791.334,12.319999999999913,0.446305
793.890,12.359999999999912,0.446289
796.495,12.399999999999912,0.445875
799.178,12.43999999999991,0.446193
801.735,12.47999999999991,0.446146
804.291,12.519999999999909,0.446066
806.863,12.559999999999908,0.445971
809.419,12.599999999999907,0.446034
811.976,12.639999999999906,0.446241
814.532,12.679999999999906,0.446289
817.088,12.719999999999905,0.445987
819.644,12.759999999999904,0.445987
822.200,12.799999999999903,0.445637
824.756,12.839999999999902,0.44605
827.313,12.879999999999901,0.446177
829.868,12.9199999999999,0.445907
832.426,12.9599999999999,0.445907
834.981,12.999999999999899,0.445907
