Time [s],Position [mm],Power [W]
0.003,0,0.427984
2.064,0.04,0.428064
4.655,0.08,0.427968
7.209,0.12,0.428302
9.796,0.16,0.428111
12.352,0.2,0.428191
14.942,0.24000000000000002,0.427968
17.498,0.28,0.427952
20.054,0.32,0.428079
22.626,0.36,0.428143
25.199,0.39999999999999997,0.428079
27.755,0.43999999999999995,0.42792
30.328,0.4799999999999999,0.427904
32.884,0.5199999999999999,0.427952
35.440,0.5599999999999999,0.427777
37.996,0.6,0.427857
40.571,0.64,0.428
43.158,0.68,0.428048
45.730,0.7200000000000001,0.427984
48.285,0.7600000000000001,0.428032
50.859,0.8000000000000002,0.427857
53.446,0.8400000000000002,0.428
56.018,0.8800000000000002,0.428048
58.576,0.9200000000000003,0.428064
61.146,0.9600000000000003,0.428175
63.735,1.0000000000000002,0.428127
66.307,1.0400000000000003,0.428111
68.896,1.0800000000000003,0.428238
71.466,1.1200000000000003,0.428159
74.055,1.1600000000000004,0.428064
76.628,1.2000000000000004,0.428079
79.216,1.2400000000000004,0.428334
81.788,1.2800000000000005,0.428429
84.377,1.3200000000000005,0.428382
86.949,1.3600000000000005,0.428238
89.522,1.4000000000000006,0.428286
92.098,1.4400000000000006,0.428461
94.668,1.4800000000000006,0.428238
97.239,1.5200000000000007,0.428382
99.795,1.5600000000000007,0.428398
102.353,1.6000000000000008,0.428398
104.956,1.6400000000000008,0.428064
107.544,1.6800000000000008,0.428048
110.134,1.7200000000000009,0.428334
112.704,1.760000000000001,0.427714
115.276,1.800000000000001,0.42792
117.851,1.840000000000001,0.428254
120.407,1.880000000000001,0.428127
122.979,1.920000000000001,0.428111
125.565,1.960000000000001,0.428334
128.141,2.000000000000001,0.42835
130.696,2.040000000000001,0.428159
133.251,2.080000000000001,0.428175
135.808,2.120000000000001,0.428429
138.376,2.160000000000001,0.428366
140.935,2.200000000000001,0.428477
143.505,2.240000000000001,0.428413
146.063,2.280000000000001,0.428493
148.620,2.320000000000001,0.428366
151.176,2.360000000000001,0.428318
153.732,2.4000000000000012,0.428382
156.289,2.4400000000000013,0.428175
158.846,2.4800000000000013,0.428318
161.401,2.5200000000000014,0.428382
163.957,2.5600000000000014,0.428127
166.513,2.6000000000000014,0.428461
169.070,2.6400000000000015,0.428493
171.625,2.6800000000000015,0.428445
174.183,2.7200000000000015,0.428509
176.740,2.7600000000000016,0.428509
179.296,2.8000000000000016,0.428238
181.851,2.8400000000000016,0.428461
184.408,2.8800000000000017,0.42827
186.964,2.9200000000000017,0.428238
189.520,2.9600000000000017,0.428445
192.076,3.0000000000000018,0.428318
194.632,3.040000000000002,0.428572
197.189,3.080000000000002,0.428413
199.745,3.120000000000002,0.428302
202.302,3.160000000000002,0.42835
204.861,3.200000000000002,0.428382
207.416,3.240000000000002,0.42827
209.971,3.280000000000002,0.428111
212.527,3.320000000000002,0.428477
215.085,3.360000000000002,0.428477
217.639,3.400000000000002,0.428604
220.196,3.440000000000002,0.428541
222.752,3.480000000000002,0.42862
225.342,3.5200000000000022,0.428652
227.899,3.5600000000000023,0.428334
230.453,3.6000000000000023,0.428557
233.042,3.6400000000000023,0.428493
235.630,3.6800000000000024,0.428398
238.187,3.7200000000000024,0.428572
240.807,3.7600000000000025,0.428541
243.363,3.8000000000000025,0.428588
245.919,3.8400000000000025,0.428477
248.491,3.8800000000000026,0.428652
251.049,3.9200000000000026,0.428429
253.603,3.9600000000000026,0.42862
256.161,4.000000000000003,0.428509
258.749,4.040000000000003,0.428604
261.334,4.080000000000003,0.428763
263.877,4.120000000000003,0.428684
266.436,4.160000000000003,0.428779
268.990,4.200000000000003,0.428731
271.572,4.240000000000003,0.428684
274.134,4.280000000000003,0.428684
276.690,4.320000000000003,0.428747
279.256,4.360000000000003,0.428779
281.854,4.400000000000003,0.428604
284.441,4.440000000000003,0.428795
286.995,4.480000000000003,0.428668
289.553,4.520000000000003,0.428461
292.142,4.560000000000003,0.428747
294.715,4.600000000000003,0.428604
297.268,4.640000000000003,0.428811
299.841,4.680000000000003,0.428811
302.397,4.720000000000003,0.428684
304.953,4.760000000000003,0.428588
307.509,4.800000000000003,0.429002
310.067,4.840000000000003,0.428906
312.622,4.8800000000000034,0.428731
315.179,4.9200000000000035,0.428875
317.736,4.9600000000000035,0.428811
320.292,5.0000000000000036,0.428827
322.848,5.040000000000004,0.429129
325.404,5.080000000000004,0.42932
327.961,5.120000000000004,0.429479
330.516,5.160000000000004,0.429129
333.073,5.200000000000004,0.429161
335.629,5.240000000000004,0.429702
338.202,5.280000000000004,0.429527
340.758,5.320000000000004,0.429543
343.362,5.360000000000004,0.429654
345.918,5.400000000000004,0.429161
348.475,5.440000000000004,0.429463
351.031,5.480000000000004,0.429304
353.587,5.520000000000004,0.429288
356.144,5.560000000000004,0.429352
358.700,5.600000000000004,0.429224
361.285,5.640000000000004,0.429081
363.861,5.680000000000004,0.429256
366.417,5.720000000000004,0.429177
368.987,5.760000000000004,0.429495
371.545,5.800000000000004,0.429272
374.101,5.840000000000004,0.429415
376.658,5.880000000000004,0.429288
379.214,5.920000000000004,0.429399
381.770,5.960000000000004,0.429368
384.326,6.000000000000004,0.429702
386.882,6.0400000000000045,0.429463
389.439,6.0800000000000045,0.429686
391.994,6.1200000000000045,0.429813
394.551,6.160000000000005,0.429892
