Time [s],Position [mm],Power [W]
0.002,0,0.443967
2.057,0.04,0.444078
4.614,0.08,0.444221
7.186,0.12,0.44419
9.743,0.16,0.444317
12.331,0.2,0.444237
14.887,0.24000000000000002,0.444285
17.444,0.28,0.444237
20.033,0.32,0.44419
22.621,0.36,0.444221
25.178,0.39999999999999997,0.444444
27.749,0.43999999999999995,0.444253
30.321,0.4799999999999999,0.444285
32.877,0.5199999999999999,0.444237
35.449,0.5599999999999999,0.444364
38.023,0.6,0.444396
40.595,0.64,0.444285
43.165,0.68,0.444126
45.754,0.7200000000000001,0.44438
48.311,0.7600000000000001,0.444285
50.867,0.8000000000000002,0.444428
53.439,0.8400000000000002,0.444333
56.012,0.8800000000000002,0.44438
58.616,0.9200000000000003,0.444428
61.188,0.9600000000000003,0.444476
63.761,1.0000000000000002,0.444349
66.337,1.0400000000000003,0.444412
68.921,1.0800000000000003,0.444396
71.493,1.1200000000000003,0.444158
74.082,1.1600000000000004,0.444364
76.638,1.2000000000000004,0.444555
79.194,1.2400000000000004,0.444476
81.783,1.2800000000000005,0.444539
84.355,1.3200000000000005,0.444508
86.927,1.3600000000000005,0.444174
89.483,1.4000000000000006,0.44446
92.041,1.4400000000000006,0.444333
94.629,1.4800000000000006,0.444317
97.210,1.5200000000000007,0.444508
99.771,1.5600000000000007,0.444412
102.362,1.6000000000000008,0.444523
104.933,1.6400000000000008,0.444444
107.506,1.6800000000000008,0.444523
110.080,1.7200000000000009,0.444555
112.654,1.760000000000001,0.444301
115.237,1.800000000000001,0.444523
117.794,1.840000000000001,0.444349
120.351,1.880000000000001,0.444333
122.907,1.920000000000001,0.444492
125.495,1.960000000000001,0.444555
128.068,2.000000000000001,0.444285
130.656,2.040000000000001,0.444269
133.239,2.080000000000001,0.444412
135.801,2.120000000000001,0.444349
138.371,2.160000000000001,0.444301
140.928,2.200000000000001,0.44446
143.501,2.240000000000001,0.444603
146.058,2.280000000000001,0.44446
148.629,2.320000000000001,0.44446
151.201,2.360000000000001,0.444476
153.774,2.4000000000000012,0.444587
156.348,2.4400000000000013,0.444635
158.919,2.4800000000000013,0.444794
161.491,2.5200000000000014,0.44473
164.063,2.5600000000000014,0.444555
166.651,2.6000000000000014,0.444587
169.240,2.6400000000000015,0.444492
171.813,2.6800000000000015,0.444571
174.385,2.7200000000000015,0.444444
176.941,2.7600000000000016,0.444492
179.498,2.8000000000000016,0.444587
182.070,2.8400000000000016,0.444523
184.642,2.8800000000000017,0.444253
187.213,2.9200000000000017,0.444555
189.773,2.9600000000000017,0.444476
192.343,3.0000000000000018,0.444523
194.915,3.040000000000002,0.444587
197.503,3.080000000000002,0.444635
200.079,3.120000000000002,0.444444
202.631,3.160000000000002,0.444492
205.220,3.200000000000002,0.444746
207.797,3.240000000000002,0.444587
210.348,3.280000000000002,0.444508
212.921,3.320000000000002,0.444635
215.541,3.360000000000002,0.444476
218.114,3.400000000000002,0.44446
220.689,3.440000000000002,0.444476
223.266,3.480000000000002,0.444603
225.846,3.5200000000000022,0.444619
228.417,3.5600000000000023,0.444619
231.006,3.6000000000000023,0.444667
233.578,3.6400000000000023,0.444619
236.136,3.6800000000000024,0.444635
238.690,3.7200000000000024,0.444555
241.247,3.7600000000000025,0.444635
243.805,3.8000000000000025,0.444667
246.363,3.8400000000000025,0.444682
248.933,3.8800000000000026,0.444778
251.490,3.9200000000000026,0.444826
254.062,3.9600000000000026,0.444698
256.650,4.000000000000003,0.444587
259.221,4.040000000000003,0.444523
261.793,4.080000000000003,0.444523
264.366,4.120000000000003,0.444746
266.938,4.160000000000003,0.444762
269.526,4.200000000000003,0.444921
272.082,4.240000000000003,0.444682
274.639,4.280000000000003,0.444349
