Time [s],Position [mm],Power [W]
0.002,0,0.440532
2.070,0.04,0.440357
4.627,0.08,0.440659
7.182,0.12,0.440913
10.153,0.16,0.440834
12.712,0.2,0.44077
15.266,0.24000000000000002,0.440595
17.823,0.28,0.440341
20.410,0.32,0.440468
23.012,0.36,0.440659
25.570,0.39999999999999997,0.440627
28.126,0.43999999999999995,0.440691
30.684,0.4799999999999999,0.440643
33.239,0.5199999999999999,0.440611
35.828,0.5599999999999999,0.440707
38.382,0.6,0.440611
40.939,0.64,0.440786
43.496,0.68,0.440786
46.056,0.7200000000000001,0.440738
48.704,0.7600000000000001,0.440659
51.437,0.8000000000000002,0.440786
53.992,0.8400000000000002,0.440293
56.579,0.8800000000000002,0.440484
59.137,0.9200000000000003,0.440611
61.709,0.9600000000000003,0.440738
64.265,1.0000000000000002,0.440675
66.820,1.0400000000000003,0.440357
69.376,1.0800000000000003,0.44085
71.932,1.1200000000000003,0.440834
74.488,1.1600000000000004,0.440707
77.059,1.2000000000000004,0.4405
79.616,1.2400000000000004,0.440516
82.173,1.2800000000000005,0.440707
84.729,1.3200000000000005,0.440738
87.285,1.3600000000000005,0.440468
89.904,1.4000000000000006,0.440564
92.461,1.4400000000000006,0.440532
95.016,1.4800000000000006,0.440595
97.573,1.5200000000000007,0.440945
100.130,1.5600000000000007,0.440611
102.685,1.6000000000000008,0.440564
105.289,1.6400000000000008,0.440913
107.846,1.6800000000000008,0.440738
110.498,1.7200000000000009,0.440548
113.231,1.760000000000001,0.440866
115.788,1.800000000000001,0.440961
118.342,1.840000000000001,0.440436
120.900,1.880000000000001,0.440723
123.455,1.920000000000001,0.440691
126.010,1.960000000000001,0.441088
128.566,2.000000000000001,0.440818
131.123,2.040000000000001,0.440786
133.681,2.080000000000001,0.44077
136.236,2.120000000000001,0.441009
138.792,2.160000000000001,0.440802
141.350,2.200000000000001,0.440866
143.903,2.240000000000001,0.44077
146.461,2.280000000000001,0.440977
149.129,2.320000000000001,0.440691
151.685,2.360000000000001,0.440993
154.272,2.4000000000000012,0.440977
156.829,2.4400000000000013,0.440993
159.390,2.4800000000000013,0.440929
161.957,2.5200000000000014,0.441072
164.512,2.5600000000000014,0.440945
167.069,2.6000000000000014,0.440945
169.624,2.6400000000000015,0.440977
172.180,2.6800000000000015,0.440882
174.736,2.7200000000000015,0.440516
177.295,2.7600000000000016,0.440738
179.849,2.8000000000000016,0.441009
182.404,2.8400000000000016,0.441057
184.962,2.8800000000000017,0.441025
187.516,2.9200000000000017,0.441057
190.074,2.9600000000000017,0.440993
192.630,3.0000000000000018,0.440993
195.185,3.040000000000002,0.440627
197.741,3.080000000000002,0.440897
200.761,3.120000000000002,0.440993
203.317,3.160000000000002,0.440961
205.875,3.200000000000002,0.441025
208.430,3.240000000000002,0.441025
210.987,3.280000000000002,0.441088
213.542,3.320000000000002,0.440897
216.099,3.360000000000002,0.441088
218.655,3.400000000000002,0.440945
221.210,3.440000000000002,0.440897
223.767,3.480000000000002,0.441375
226.324,3.5200000000000022,0.441454
228.879,3.5600000000000023,0.441247
231.437,3.6000000000000023,0.44112
233.992,3.6400000000000023,0.441009
236.547,3.6800000000000024,0.440786
239.103,3.7200000000000024,0.441009
241.659,3.7600000000000025,0.440754
244.344,3.8000000000000025,0.440866
246.900,3.8400000000000025,0.440675
249.456,3.8800000000000026,0.440786
252.028,3.9200000000000026,0.440945
254.586,3.9600000000000026,0.440691
257.140,4.000000000000003,0.440961
259.696,4.040000000000003,0.440913
262.285,4.080000000000003,0.44085
264.871,4.120000000000003,0.441231
267.428,4.160000000000003,0.441168
269.984,4.200000000000003,0.441104
272.540,4.240000000000003,0.44112
275.098,4.280000000000003,0.440882
277.654,4.320000000000003,0.441136
280.210,4.360000000000003,0.441152
282.845,4.400000000000003,0.441072
285.401,4.440000000000003,0.440977
287.958,4.480000000000003,0.440834
290.514,4.520000000000003,0.441263
293.356,4.560000000000003,0.441057
295.914,4.600000000000003,0.441152
298.470,4.640000000000003,0.441295
301.025,4.680000000000003,0.441072
303.582,4.720000000000003,0.440866
306.139,4.760000000000003,0.441041
308.774,4.800000000000003,0.441279
311.443,4.840000000000003,0.441247
313.999,4.8800000000000034,0.441136
316.554,4.9200000000000035,0.441247
319.110,4.9600000000000035,0.441136
321.668,5.0000000000000036,0.440929
324.240,5.040000000000004,0.440961
326.795,5.080000000000004,0.441057
329.354,5.120000000000004,0.440977
331.912,5.160000000000004,0.441343
334.480,5.200000000000004,0.441391
337.051,5.240000000000004,0.441104
339.608,5.280000000000004,0.441136
342.164,5.320000000000004,0.441088
344.737,5.360000000000004,0.441486
347.419,5.400000000000004,0.4412
349.977,5.440000000000004,0.441295
352.533,5.480000000000004,0.441263
