Time [s],Position [mm],Power [W]
0.004,0,0.407691
2.046,0.04,0.407771
4.602,0.08,0.407819
7.239,0.12,0.408025
9.795,0.16,0.408009
12.367,0.2,0.407978
14.923,0.24000000000000002,0.408121
17.479,0.28,0.408089
20.034,0.32,0.408439
22.591,0.36,0.40828
25.146,0.39999999999999997,0.407978
27.703,0.43999999999999995,0.407962
30.260,0.4799999999999999,0.40785
32.817,0.5199999999999999,0.40785
35.372,0.5599999999999999,0.407978
37.932,0.6,0.407707
40.486,0.64,0.408184
43.059,0.68,0.407962
45.615,0.7200000000000001,0.407962
48.170,0.7600000000000001,0.408073
50.728,0.8000000000000002,0.407914
53.282,0.8400000000000002,0.407914
55.837,0.8800000000000002,0.408025
58.394,0.9200000000000003,0.40793
60.954,0.9600000000000003,0.407819
63.522,1.0000000000000002,0.408073
66.079,1.0400000000000003,0.408184
68.642,1.0800000000000003,0.408232
71.206,1.1200000000000003,0.407898
73.763,1.1600000000000004,0.4082
76.319,1.2000000000000004,0.408025
78.880,1.2400000000000004,0.408025
81.449,1.2800000000000005,0.408073
84.005,1.3200000000000005,0.407898
86.562,1.3600000000000005,0.408168
89.117,1.4000000000000006,0.408216
91.673,1.4400000000000006,0.407994
94.228,1.4800000000000006,0.407787
96.784,1.5200000000000007,0.407994
99.342,1.5600000000000007,0.407962
101.897,1.6000000000000008,0.407866
104.453,1.6400000000000008,0.407994
107.010,1.6800000000000008,0.407644
109.568,1.7200000000000009,0.408153
112.122,1.760000000000001,0.408057
114.679,1.800000000000001,0.408646
117.282,1.840000000000001,0.408407
119.838,1.880000000000001,0.408296
122.397,1.920000000000001,0.408296
124.954,1.960000000000001,0.408105
127.508,2.000000000000001,0.408057
130.064,2.040000000000001,0.408296
132.620,2.080000000000001,0.408439
135.175,2.120000000000001,0.407978
137.732,2.160000000000001,0.407994
140.287,2.200000000000001,0.408216
142.860,2.240000000000001,0.4082
145.416,2.280000000000001,0.408439
147.973,2.320000000000001,0.408518
150.529,2.360000000000001,0.408471
153.085,2.4000000000000012,0.408089
155.641,2.4400000000000013,0.408137
158.198,2.4800000000000013,0.408153
160.754,2.5200000000000014,0.408153
163.310,2.5600000000000014,0.40855
165.868,2.6000000000000014,0.408423
168.423,2.6400000000000015,0.40828
170.982,2.6800000000000015,0.408423
173.535,2.7200000000000015,0.408327
176.089,2.7600000000000016,0.408566
178.647,2.8000000000000016,0.408391
181.205,2.8400000000000016,0.408184
183.759,2.8800000000000017,0.408391
186.316,2.9200000000000017,0.408487
188.871,2.9600000000000017,0.408709
191.425,3.0000000000000018,0.408455
193.983,3.040000000000002,0.408518
196.570,3.080000000000002,0.408423
199.127,3.120000000000002,0.408614
201.683,3.160000000000002,0.408455
204.238,3.200000000000002,0.4082
206.798,3.240000000000002,0.408312
209.351,3.280000000000002,0.408614
211.908,3.320000000000002,0.408677
214.465,3.360000000000002,0.408709
217.020,3.400000000000002,0.408646
219.576,3.440000000000002,0.408598
222.132,3.480000000000002,0.40855
224.690,3.5200000000000022,0.408709
227.245,3.5600000000000023,0.409154
229.802,3.6000000000000023,0.408821
232.357,3.6400000000000023,0.409011
234.930,3.6800000000000024,0.409123
237.486,3.7200000000000024,0.408725
240.042,3.7600000000000025,0.409107
242.599,3.8000000000000025,0.408757
245.155,3.8400000000000025,0.408868
247.712,3.8800000000000026,0.408741
250.267,3.9200000000000026,0.408932
252.824,3.9600000000000026,0.408852
255.379,4.000000000000003,0.408948
257.937,4.040000000000003,0.409345
260.604,4.080000000000003,0.409043
263.160,4.120000000000003,0.4089
265.731,4.160000000000003,0.408836
268.289,4.200000000000003,0.409091
270.844,4.240000000000003,0.409377
273.402,4.280000000000003,0.409425
275.958,4.320000000000003,0.409441
278.513,4.360000000000003,0.409409
281.069,4.400000000000003,0.40925
283.635,4.440000000000003,0.409504
286.197,4.480000000000003,0.409536
288.960,4.520000000000003,0.4096
291.518,4.560000000000003,0.409775
294.075,4.600000000000003,0.409473
296.631,4.640000000000003,0.409584
299.185,4.680000000000003,0.409504
301.743,4.720000000000003,0.409647
304.297,4.760000000000003,0.409695
306.855,4.800000000000003,0.409711
309.411,4.840000000000003,0.410188
311.968,4.8800000000000034,0.409854
314.524,4.9200000000000035,0.410029
317.081,4.9600000000000035,0.409791
319.636,5.0000000000000036,0.409997
322.192,5.040000000000004,0.410045
324.747,5.080000000000004,0.410077
327.304,5.120000000000004,0.410077
329.862,5.160000000000004,0.410204
332.511,5.200000000000004,0.410284
335.070,5.240000000000004,0.410347
337.623,5.280000000000004,0.410188
340.181,5.320000000000004,0.410427
342.752,5.360000000000004,0.410331
345.309,5.400000000000004,0.410808
347.864,5.440000000000004,0.410665
350.422,5.480000000000004,0.410761
352.978,5.520000000000004,0.410665
355.533,5.560000000000004,0.410729
358.089,5.600000000000004,0.410936
360.645,5.640000000000004,0.410983
363.202,5.680000000000004,0.411047
365.758,5.720000000000004,0.411174
368.316,5.760000000000004,0.411079
370.870,5.800000000000004,0.411317
373.426,5.840000000000004,0.411142
375.983,5.880000000000004,0.411126
378.540,5.920000000000004,0.411031
381.174,5.960000000000004,0.411429
383.732,6.000000000000004,0.411476
386.302,6.0400000000000045,0.411588
388.860,6.0800000000000045,0.411667
391.415,6.1200000000000045,0.411572
393.970,6.160000000000005,0.411779
396.528,6.200000000000005,0.41162
399.084,6.240000000000005,0.412017
401.642,6.280000000000005,0.412065
404.197,6.320000000000005,0.412335
406.754,6.360000000000005,0.412621
409.308,6.400000000000005,0.412478
411.864,6.440000000000005,0.412558
414.421,6.480000000000005,0.412065
416.992,6.520000000000005,0.412065
419.551,6.560000000000005,0.412097
422.106,6.600000000000005,0.412192
424.760,6.640000000000005,0.412621
427.313,6.680000000000005,0.412415
429.886,6.720000000000005,0.412303
432.442,6.760000000000005,0.411922
434.999,6.800000000000005,0.412256
437.554,6.840000000000005,0.412001
440.112,6.880000000000005,0.41181
442.668,6.920000000000005,0.411572
445.223,6.960000000000005,0.411285
447.798,7.000000000000005,0.410681
450.383,7.040000000000005,0.41057
452.941,7.080000000000005,0.409568
455.497,7.120000000000005,0.408932
458.053,7.1600000000000055,0.407978
460.609,7.2000000000000055,0.406928
463.166,7.2400000000000055,0.406578
