Time [s],Position [mm],Power [W]
0.002,0,0.435777
2.060,0.04,0.435872
4.616,0.08,0.435904
7.173,0.12,0.435745
9.730,0.16,0.436047
12.284,0.2,0.435904
14.841,0.24000000000000002,0.435729
17.396,0.28,0.435999
19.952,0.32,0.435983
22.508,0.36,0.435999
25.064,0.39999999999999997,0.436127
27.620,0.43999999999999995,0.436095
30.176,0.4799999999999999,0.43592
32.731,0.5199999999999999,0.435904
35.291,0.5599999999999999,0.436127
37.844,0.6,0.436142
40.399,0.64,0.436047
42.941,0.68,0.436015
45.497,0.7200000000000001,0.435808
48.052,0.7600000000000001,0.436079
50.608,0.8000000000000002,0.43584
53.165,0.8400000000000002,0.436015
55.720,0.8800000000000002,0.435999
58.277,0.9200000000000003,0.436047
60.849,0.9600000000000003,0.436031
63.405,1.0000000000000002,0.436095
65.963,1.0400000000000003,0.436031
68.517,1.0800000000000003,0.435983
71.073,1.1200000000000003,0.436222
73.629,1.1600000000000004,0.436047
76.204,1.2000000000000004,0.436142
78.755,1.2400000000000004,0.436063
81.311,1.2800000000000005,0.436333
83.870,1.3200000000000005,0.436254
86.424,1.3600000000000005,0.436047
88.982,1.4000000000000006,0.435983
91.536,1.4400000000000006,0.436127
94.092,1.4800000000000006,0.436142
96.648,1.5200000000000007,0.436079
99.205,1.5600000000000007,0.436095
101.760,1.6000000000000008,0.436174
104.315,1.6400000000000008,0.436079
106.873,1.6800000000000008,0.436015
109.427,1.7200000000000009,0.43619
111.983,1.760000000000001,0.43627
114.539,1.800000000000001,0.436127
117.095,1.840000000000001,0.436301
119.651,1.880000000000001,0.436079
122.207,1.920000000000001,0.43627
124.764,1.960000000000001,0.43619
127.320,2.000000000000001,0.436317
129.877,2.040000000000001,0.436142
132.432,2.080000000000001,0.436142
134.988,2.120000000000001,0.436286
137.548,2.160000000000001,0.436365
140.100,2.200000000000001,0.436174
142.657,2.240000000000001,0.435872
145.213,2.280000000000001,0.436317
147.768,2.320000000000001,0.436286
150.325,2.360000000000001,0.436286
