Time [s],Position [mm],Power [W]
0.003,0,0.440341
2.049,0.04,0.440166
4.606,0.08,0.440357
7.163,0.12,0.440595
9.719,0.16,0.440484
12.279,0.2,0.440484
14.832,0.24000000000000002,0.44023
17.386,0.28,0.440214
19.943,0.32,0.440341
22.500,0.36,0.44042
25.055,0.39999999999999997,0.440564
27.626,0.43999999999999995,0.440468
30.183,0.4799999999999999,0.440373
32.740,0.5199999999999999,0.440134
35.295,0.5599999999999999,0.439975
37.852,0.6,0.440071
40.408,0.64,0.440468
42.964,0.68,0.440245
45.520,0.7200000000000001,0.4405
48.077,0.7600000000000001,0.440484
50.633,0.8000000000000002,0.440261
53.189,0.8400000000000002,0.440404
55.777,0.8800000000000002,0.440102
58.333,0.9200000000000003,0.440118
60.895,0.9600000000000003,0.440277
63.453,1.0000000000000002,0.440436
66.032,1.0400000000000003,0.440341
68.624,1.0800000000000003,0.440357
71.177,1.1200000000000003,0.440357
73.733,1.1600000000000004,0.440102
76.309,1.2000000000000004,0.440436
78.909,1.2400000000000004,0.440118
81.466,1.2800000000000005,0.440357
84.022,1.3200000000000005,0.440357
86.606,1.3600000000000005,0.44023
89.151,1.4000000000000006,0.440309
91.709,1.4400000000000006,0.440214
94.359,1.4800000000000006,0.440134
96.917,1.5200000000000007,0.440198
99.471,1.5600000000000007,0.44023
102.028,1.6000000000000008,0.440118
104.599,1.6400000000000008,0.440071
107.157,1.6800000000000008,0.440134
109.713,1.7200000000000009,0.440293
112.348,1.760000000000001,0.440245
114.905,1.800000000000001,0.44042
117.460,1.840000000000001,0.440261
120.018,1.880000000000001,0.440118
122.589,1.920000000000001,0.440452
125.146,1.960000000000001,0.440357
127.703,2.000000000000001,0.440341
130.306,2.040000000000001,0.44042
132.863,2.080000000000001,0.440341
135.418,2.120000000000001,0.440516
137.977,2.160000000000001,0.440404
140.531,2.200000000000001,0.440468
143.087,2.240000000000001,0.440277
145.643,2.280000000000001,0.440166
148.215,2.320000000000001,0.440357
150.772,2.360000000000001,0.440277
153.328,2.4000000000000012,0.440357
155.885,2.4400000000000013,0.440373
158.440,2.4800000000000013,0.440357
160.997,2.5200000000000014,0.440309
163.552,2.5600000000000014,0.440436
166.108,2.6000000000000014,0.440675
168.664,2.6400000000000015,0.44042
171.222,2.6800000000000015,0.439085
173.777,2.7200000000000015,0.440643
176.333,2.7600000000000016,0.440325
178.890,2.8000000000000016,0.44042
181.446,2.8400000000000016,0.440579
184.015,2.8800000000000017,0.440564
186.574,2.9200000000000017,0.440325
189.130,2.9600000000000017,0.440484
191.686,3.0000000000000018,0.44042
194.241,3.040000000000002,0.440579
196.801,3.080000000000002,0.440532
199.355,3.120000000000002,0.440564
201.942,3.160000000000002,0.440484
204.499,3.200000000000002,0.440404
207.055,3.240000000000002,0.440484
209.613,3.280000000000002,0.440564
212.167,3.320000000000002,0.440341
214.725,3.360000000000002,0.440404
217.299,3.400000000000002,0.440723
219.868,3.440000000000002,0.440611
222.425,3.480000000000002,0.440723
224.982,3.5200000000000022,0.440564
227.538,3.5600000000000023,0.440484
230.097,3.6000000000000023,0.440643
232.650,3.6400000000000023,0.440691
235.205,3.6800000000000024,0.440548
237.763,3.7200000000000024,0.440484
240.541,3.7600000000000025,0.440404
243.098,3.8000000000000025,0.440452
245.686,3.8400000000000025,0.44042
248.243,3.8800000000000026,0.440452
250.798,3.9200000000000026,0.440436
253.354,3.9600000000000026,0.440691
255.910,4.000000000000003,0.4405
258.466,4.040000000000003,0.440691
261.023,4.080000000000003,0.440452
263.580,4.120000000000003,0.440643
266.135,4.160000000000003,0.440484
268.691,4.200000000000003,0.440738
271.247,4.240000000000003,0.440913
273.899,4.280000000000003,0.440659
276.471,4.320000000000003,0.440627
279.029,4.360000000000003,0.440691
281.584,4.400000000000003,0.440691
284.141,4.440000000000003,0.440564
286.696,4.480000000000003,0.440707
289.252,4.520000000000003,0.44077
291.807,4.560000000000003,0.440611
294.365,4.600000000000003,0.440723
297.031,4.640000000000003,0.440659
299.604,4.680000000000003,0.440516
302.168,4.720000000000003,0.440548
304.723,4.760000000000003,0.440484
307.275,4.800000000000003,0.440627
309.846,4.840000000000003,0.440866
312.402,4.8800000000000034,0.440675
314.959,4.9200000000000035,0.440738
317.754,4.9600000000000035,0.44042
320.310,5.0000000000000036,0.44077
322.868,5.040000000000004,0.44077
325.630,5.080000000000004,0.440675
328.187,5.120000000000004,0.440818
330.743,5.160000000000004,0.44077
333.299,5.200000000000004,0.440627
335.856,5.240000000000004,0.440643
338.411,5.280000000000004,0.440564
340.968,5.320000000000004,0.440468
343.524,5.360000000000004,0.440659
346.094,5.400000000000004,0.440707
348.668,5.440000000000004,0.440913
351.224,5.480000000000004,0.440691
353.788,5.520000000000004,0.440452
356.336,5.560000000000004,0.440738
358.892,5.600000000000004,0.440977
361.450,5.640000000000004,0.440659
364.101,5.680000000000004,0.440611
366.658,5.720000000000004,0.440834
369.214,5.760000000000004,0.440738
371.769,5.800000000000004,0.44077
374.342,5.840000000000004,0.440993
376.898,5.880000000000004,0.441184
379.455,5.920000000000004,0.440961
382.012,5.960000000000004,0.440913
384.569,6.000000000000004,0.441088
387.123,6.0400000000000045,0.441406
389.680,6.0800000000000045,0.441502
392.236,6.1200000000000045,0.44155
