Time [s],Position [mm],Power [W]
0.003,0,0.444492
2.056,0.04,0.444444
4.614,0.08,0.444682
7.178,0.12,0.444651
9.724,0.16,0.44473
12.282,0.2,0.444651
14.837,0.24000000000000002,0.444571
17.393,0.28,0.444667
19.949,0.32,0.444682
22.506,0.36,0.44481
25.062,0.39999999999999997,0.444889
27.618,0.43999999999999995,0.44516
30.173,0.4799999999999999,0.445032
32.731,0.5199999999999999,0.44481
35.287,0.5599999999999999,0.445016
37.845,0.6,0.445223
40.414,0.64,0.445001
43.004,0.68,0.444937
45.638,0.7200000000000001,0.445096
48.195,0.7600000000000001,0.445064
50.767,0.8000000000000002,0.445016
53.323,0.8400000000000002,0.445096
55.880,0.8800000000000002,0.445144
58.435,0.9200000000000003,0.444953
60.992,0.9600000000000003,0.444937
63.548,1.0000000000000002,0.44508
66.104,1.0400000000000003,0.445255
68.661,1.0800000000000003,0.445223
71.249,1.1200000000000003,0.445462
73.805,1.1600000000000004,0.445319
76.361,1.2000000000000004,0.445144
78.918,1.2400000000000004,0.445287
81.489,1.2800000000000005,0.445223
84.046,1.3200000000000005,0.445303
86.603,1.3600000000000005,0.445494
89.157,1.4000000000000006,0.445382
91.714,1.4400000000000006,0.44535
94.270,1.4800000000000006,0.445621
96.827,1.5200000000000007,0.445255
99.400,1.5600000000000007,0.445478
102.067,1.6000000000000008,0.445398
104.624,1.6400000000000008,0.445653
107.180,1.6800000000000008,0.445462
109.734,1.7200000000000009,0.445319
112.294,1.760000000000001,0.445621
114.849,1.800000000000001,0.445541
117.600,1.840000000000001,0.44543
120.153,1.880000000000001,0.445589
122.708,1.920000000000001,0.445462
125.280,1.960000000000001,0.445541
127.838,2.000000000000001,0.445541
130.392,2.040000000000001,0.445732
132.950,2.080000000000001,0.445748
135.536,2.120000000000001,0.445605
138.093,2.160000000000001,0.445637
140.649,2.200000000000001,0.445891
143.205,2.240000000000001,0.445732
145.777,2.280000000000001,0.445732
148.334,2.320000000000001,0.445859
150.890,2.360000000000001,0.445796
153.446,2.4000000000000012,0.44578
156.000,2.4400000000000013,0.446066
