Time [s],Position [mm],Power [W]
0.002,5,0.474031
2.141,5.5,0.473766
4.715,6.0,0.473766
7.319,6.5,0.473663
9.890,7.0,0.473559
12.478,7.5,0.47353
15.049,8.0,0.473456
17.637,8.5,0.473279
20.242,9.0,0.473264
22.830,9.5,0.473117
25.402,10.0,0.473279
27.988,10.5,0.473249
30.562,11.0,0.47319
33.136,11.5,0.473087
35.706,12.0,0.473058
38.296,12.5,0.473235
40.869,13.0,0.473294
43.439,13.5,0.473131
46.011,14.0,0.473235
48.600,14.5,0.473117
51.171,15.0,0.47294
53.760,15.5,0.473087
56.331,16.0,0.473176
58.905,16.5,0.473013
61.476,17.0,0.473072
64.125,17.5,0.473013
66.698,18.0,0.472999
69.270,18.5,0.473131
71.849,19.0,0.472792
74.413,19.5,0.473176
76.985,20.0,0.473308
79.543,20.5,0.473235
82.098,20.6,0.473279
84.653,20.700000000000003,0.473308
87.212,20.800000000000004,0.473102
89.794,20.900000000000006,0.472999
92.369,21.000000000000007,0.473117
94.957,21.10000000000001,0.473264
97.513,21.20000000000001,0.473367
100.086,21.30000000000001,0.473412
102.641,21.400000000000013,0.473279
105.197,21.500000000000014,0.473427
107.752,21.600000000000016,0.473323
110.309,21.700000000000017,0.473367
112.881,21.80000000000002,0.473294
115.437,21.90000000000002,0.473574
117.993,22.00000000000002,0.473427
120.549,22.100000000000023,0.473338
123.105,22.200000000000024,0.473279
125.667,22.300000000000026,0.47322
128.218,22.400000000000027,0.473471
130.774,22.50000000000003,0.473515
133.332,22.60000000000003,0.473604
135.901,22.70000000000003,0.473618
138.462,22.800000000000033,0.473589
141.063,22.900000000000034,0.473781
143.635,23.000000000000036,0.473722
146.224,23.100000000000037,0.473604
148.796,23.20000000000004,0.473751
151.351,23.30000000000004,0.473958
153.907,23.40000000000004,0.474061
156.480,23.500000000000043,0.474194
159.036,23.600000000000044,0.474209
161.592,23.700000000000045,0.474031
164.149,23.800000000000047,0.474341
166.735,23.90000000000005,0.474164
169.307,24.00000000000005,0.474253
171.864,24.10000000000005,0.474548
174.435,24.200000000000053,0.474577
176.992,24.300000000000054,0.474459
179.548,24.400000000000055,0.474577
182.536,24.500000000000057,0.47502
185.124,24.60000000000006,0.474932
187.711,24.70000000000006,0.475064
190.292,24.80000000000006,0.474991
192.872,24.900000000000063,0.475035
195.444,25.000000000000064,0.475094
198.032,25.100000000000065,0.475153
200.604,25.200000000000067,0.475566
203.175,25.300000000000068,0.475256
205.748,25.40000000000007,0.475035
208.320,25.50000000000007,0.475389
210.891,25.600000000000072,0.475537
213.481,25.700000000000074,0.475492
216.037,25.800000000000075,0.47561
218.593,25.900000000000077,0.475684
221.181,26.000000000000078,0.475743
223.753,26.10000000000008,0.475994
226.340,26.20000000000008,0.475964
228.929,26.300000000000082,0.476142
231.501,26.400000000000084,0.476215
234.090,26.500000000000085,0.476186
236.645,26.600000000000087,0.476451
239.218,26.700000000000088,0.476584
241.804,26.80000000000009,0.476673
244.361,26.90000000000009,0.476702
246.932,27.000000000000092,0.476702
249.506,27.100000000000094,0.476688
252.093,27.200000000000095,0.476776
254.665,27.300000000000097,0.476791
257.282,27.400000000000098,0.476968
259.840,27.5000000000001,0.476953
262.412,27.6000000000001,0.477145
264.986,27.700000000000102,0.477233
267.574,27.800000000000104,0.477278
270.130,27.900000000000105,0.476983
272.685,28.000000000000107,0.477086
275.257,28.500000000000107,0.477529
277.849,29.000000000000107,0.477676
280.418,29.500000000000107,0.478104
283.021,30.000000000000107,0.478237
285.578,30.500000000000107,0.477956
288.150,31.000000000000107,0.478001
290.722,31.500000000000107,0.477588
293.317,32.00000000000011,0.477381
295.885,32.50000000000011,0.477071
298.535,33.00000000000011,0.476466
301.106,33.50000000000011,0.476245
303.711,34.00000000000011,0.475773
306.300,34.50000000000011,0.476112
308.872,35.00000000000011,0.47592
311.461,35.50000000000011,0.475802
314.031,36.00000000000011,0.475625
316.604,36.50000000000011,0.475551
319.175,37.00000000000011,0.475256
321.747,37.50000000000011,0.475123
324.318,38.00000000000011,0.475315
326.875,38.50000000000011,0.475197
329.463,39.00000000000011,0.475197
332.036,39.50000000000011,0.475256
334.612,40.00000000000011,0.475271
337.196,40.50000000000011,0.475389
339.768,41.00000000000011,0.475182
342.356,41.50000000000011,0.475109
344.928,42.00000000000011,0.475079
347.516,42.50000000000011,0.474961
350.093,43.00000000000011,0.475064
352.660,43.50000000000011,0.475109
355.248,44.00000000000011,0.475168
357.820,44.50000000000011,0.475123
360.394,45.00000000000011,0.474976
363.002,45.50000000000011,0.474961
365.584,46.00000000000011,0.47505
368.158,46.50000000000011,0.475138
370.729,47.00000000000011,0.475035
373.301,47.50000000000011,0.475227
375.905,48.00000000000011,0.475227
378.475,48.50000000000011,0.475109
381.065,49.00000000000011,0.475005
383.670,49.50000000000011,0.474902
386.257,50.00000000000011,0.474592
388.829,50.50000000000011,0.474828
391.401,51.00000000000011,0.47471
393.975,51.50000000000011,0.47502
396.561,52.00000000000011,0.47471
399.133,52.50000000000011,0.474755
401.721,53.00000000000011,0.474814
404.293,53.50000000000011,0.474843
406.865,54.00000000000011,0.474533
409.437,54.50000000000011,0.47471
