Time [s],Position [mm],Power [W]
0.015,5,0.469864
2.075,5.5,0.469849
4.659,6.0,0.469701
7.274,6.5,0.469627
9.838,7.0,0.46945
12.410,7.5,0.469583
14.981,8.0,0.469642
17.553,8.5,0.469568
20.142,9.0,0.469524
22.731,9.5,0.469524
25.309,10.0,0.469243
27.889,10.5,0.469465
30.463,11.0,0.469332
33.034,11.5,0.469553
35.624,12.0,0.469494
38.226,12.5,0.469435
40.784,13.0,0.469213
43.387,13.5,0.469258
45.977,14.0,0.468947
48.544,14.5,0.469169
51.120,15.0,0.469184
53.691,15.5,0.469213
56.261,16.0,0.46942
58.851,16.5,0.469332
61.423,17.0,0.469494
63.994,17.5,0.469391
66.566,18.0,0.469287
69.139,18.5,0.469302
71.710,19.0,0.469376
74.290,19.5,0.469066
76.872,20.0,0.469036
79.474,20.5,0.469272
82.031,21.0,0.469479
84.603,21.5,0.469524
87.173,22.0,0.469524
89.762,22.5,0.469568
92.336,23.0,0.469583
94.939,23.5,0.469465
97.512,24.0,0.469583
100.098,24.5,0.469627
102.656,25.0,0.469967
105.227,25.5,0.469908
107.810,26.0,0.469937
110.388,26.5,0.470484
113.039,27.0,0.470721
115.596,27.5,0.470868
118.168,28.0,0.471386
120.739,28.5,0.471474
123.296,29.0,0.471607
125.868,29.5,0.471814
128.448,30.0,0.471888
131.029,30.5,0.471445
133.600,31.0,0.471578
136.192,31.5,0.470987
138.762,32.0,0.470588
141.333,32.5,0.470159
143.889,33.0,0.469627
146.461,33.5,0.46942
149.034,34.0,0.469376
151.606,34.5,0.469154
154.178,35.0,0.469021
156.749,35.5,0.468711
159.348,36.0,0.468903
161.910,36.5,0.468933
164.529,37.0,0.468504
167.102,37.5,0.468401
169.698,38.0,0.468519
172.262,38.5,0.468371
174.889,39.0,0.468268
177.456,39.5,0.46812
180.138,40.0,0.468017
182.710,40.5,0.468046
185.298,41.0,0.468002
187.878,41.5,0.468105
190.459,42.0,0.467928
193.111,42.5,0.467854
195.699,43.0,0.467588
198.271,43.5,0.467721
200.871,44.0,0.467957
203.453,44.5,0.467706
206.099,45.0,0.467573
208.672,45.5,0.467189
211.243,46.0,0.467337
213.815,46.5,0.467352
216.403,47.0,0.467425
218.975,47.5,0.467041
221.562,48.0,0.467115
224.151,48.5,0.467027
226.755,49.0,0.467278
229.327,49.5,0.467056
231.915,50.0,0.467278
234.487,50.5,0.467115
237.086,51.0,0.466761
239.647,51.5,0.466583
242.235,52.0,0.466879
244.807,52.5,0.466938
247.379,53.0,0.466805
249.935,53.5,0.467071
252.509,54.0,0.466775
255.079,54.5,0.466908
257.652,55.0,0.466879
