Time [s],Position [mm],Power [W]
0.015,0,0.443518
2.092,0.1,0.443518
4.665,0.2,0.443547
7.253,0.30000000000000004,0.443473
9.842,0.4,0.443444
12.429,0.5,0.443414
14.985,0.6,0.443547
17.541,0.7,0.443547
20.112,0.7999999999999999,0.443621
22.669,0.8999999999999999,0.443547
25.257,0.9999999999999999,0.443606
27.845,1.0999999999999999,0.443591
30.418,1.2,0.443739
32.990,1.3,0.443532
35.546,1.4000000000000001,0.443562
38.135,1.5000000000000002,0.44368
40.707,1.6000000000000003,0.443651
43.295,1.7000000000000004,0.443769
45.884,1.8000000000000005,0.443813
48.481,1.9000000000000006,0.443769
51.076,2.0000000000000004,0.443961
53.648,2.1000000000000005,0.443843
56.204,2.2000000000000006,0.443798
58.759,2.3000000000000007,0.443857
61.348,2.400000000000001,0.443813
63.920,2.500000000000001,0.443739
66.508,2.600000000000001,0.443606
69.080,2.700000000000001,0.443857
71.636,2.800000000000001,0.443946
74.208,2.9000000000000012,0.443931
76.813,3.0000000000000013,0.443724
79.401,3.1000000000000014,0.443857
81.989,3.2000000000000015,0.444005
84.561,3.3000000000000016,0.443828
87.150,3.4000000000000017,0.443887
89.738,3.5000000000000018,0.443872
92.342,3.600000000000002,0.443872
94.916,3.700000000000002,0.443798
97.501,3.800000000000002,0.443828
100.074,3.900000000000002,0.443783
102.661,4.000000000000002,0.443828
105.233,4.100000000000001,0.443872
107.805,4.200000000000001,0.44399
110.378,4.300000000000001,0.443828
112.934,4.4,0.443887
115.491,4.5,0.443961
118.097,4.6,0.443843
120.667,4.699999999999999,0.443857
123.247,4.799999999999999,0.443798
125.811,4.899999999999999,0.443783
128.399,4.999999999999998,0.443828
130.971,5.099999999999998,0.443695
133.542,5.1999999999999975,0.443872
136.122,5.299999999999997,0.443828
138.686,5.399999999999997,0.443828
141.274,5.4999999999999964,0.444138
143.846,5.599999999999996,0.444153
146.434,5.699999999999996,0.444478
149.006,5.799999999999995,0.444182
151.579,5.899999999999995,0.444064
154.168,5.999999999999995,0.443902
156.755,6.099999999999994,0.443887
159.343,6.199999999999994,0.443783
161.915,6.299999999999994,0.443872
164.504,6.399999999999993,0.443931
167.076,6.499999999999993,0.443916
169.665,6.5999999999999925,0.443916
172.236,6.699999999999992,0.444079
174.796,6.799999999999992,0.444049
177.379,6.8999999999999915,0.444168
179.952,6.999999999999991,0.444478
182.525,7.099999999999991,0.44501
185.096,7.19999999999999,0.445172
187.684,7.29999999999999,0.445128
190.290,7.39999999999999,0.445291
192.845,7.499999999999989,0.445778
195.417,7.599999999999989,0.446857
197.990,7.699999999999989,0.447463
200.592,7.799999999999988,0.447906
203.181,7.899999999999988,0.448187
205.755,7.999999999999988,0.448202
208.312,8.099999999999987,0.448024
210.883,8.199999999999987,0.448083
213.437,8.299999999999986,0.44798
216.009,8.399999999999986,0.448069
