Time [s],Position [mm],Power [W]
0.011,0,0.446517
2.079,0.5,0.446502
4.653,1.0,0.446295
7.239,1.5,0.446192
9.811,2.0,0.446414
12.383,2.5,0.44631
14.955,3.0,0.44631
17.528,3.5,0.446428
20.100,4.0,0.446798
22.672,4.5,0.446901
25.262,5.0,0.44699
27.848,5.5,0.447285
30.421,5.6,0.447463
32.993,5.699999999999999,0.44798
35.564,5.799999999999999,0.447773
38.136,5.899999999999999,0.447566
40.694,5.999999999999998,0.447492
43.281,6.099999999999998,0.44767
45.869,6.1999999999999975,0.447744
48.441,6.299999999999997,0.447788
51.004,6.399999999999997,0.447788
53.601,6.4999999999999964,0.448039
56.189,6.599999999999996,0.447906
58.793,6.699999999999996,0.44795
61.366,6.799999999999995,0.448379
63.938,6.899999999999995,0.448556
66.509,6.999999999999995,0.448926
69.082,7.099999999999994,0.449502
71.653,7.599999999999994,0.449812
74.226,8.099999999999994,0.450566
76.814,8.599999999999994,0.450876
79.418,9.099999999999994,0.449768
81.990,9.599999999999994,0.448645
84.578,10.099999999999994,0.448172
87.150,10.599999999999994,0.447448
89.723,11.099999999999994,0.447005
92.311,11.599999999999994,0.44696
94.883,12.099999999999994,0.446709
97.471,12.599999999999994,0.446798
100.061,13.099999999999994,0.446739
102.711,13.599999999999994,0.446886
105.379,14.099999999999994,0.446857
107.966,14.599999999999994,0.447005
110.554,15.099999999999994,0.446724
113.160,15.599999999999994,0.446768
115.732,16.099999999999994,0.447005
118.320,16.599999999999994,0.446946
120.893,17.099999999999994,0.446813
123.480,17.599999999999994,0.446975
126.068,18.099999999999994,0.446886
128.642,18.599999999999994,0.446931
131.230,19.099999999999994,0.446694
133.800,19.599999999999994,0.446798
136.391,20.099999999999994,0.446975
138.976,20.599999999999994,0.447123
141.564,21.099999999999994,0.446975
144.153,21.599999999999994,0.44696
146.741,22.099999999999994,0.446946
149.393,22.599999999999994,0.447093
151.982,23.099999999999994,0.447167
154.585,23.599999999999994,0.447197
157.157,24.099999999999994,0.447108
159.731,24.599999999999994,0.447034
