Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,4.92005,0.427145
2.304,0.1,4.92005,0.427219
5.095,0.2,4.91957,0.427101
7.939,0.30000000000000004,4.91941,0.427057
10.735,0.4,4.91973,0.427116
13.529,0.5,4.91957,0.427042
16.325,0.6,4.91989,0.427072
19.124,0.7,4.91973,0.427293
21.951,0.7999999999999999,4.91973,0.427086
24.746,0.8999999999999999,4.91989,0.427205
27.557,0.9999999999999999,4.91957,0.427234
30.337,1.0999999999999999,4.91989,0.427249
33.117,1.2,4.91973,0.427072
35.929,1.3,4.91989,0.427175
38.741,1.4000000000000001,4.92005,0.427145
41.537,1.5000000000000002,4.91925,0.427131
44.318,1.6000000000000003,4.92005,0.427101
47.096,1.7000000000000004,4.92068,0.42716
49.893,1.8000000000000005,4.91989,0.427116
52.673,1.9000000000000006,4.92021,0.42716
55.453,2.0000000000000004,4.91957,0.427131
58.327,2.1000000000000005,4.91973,0.427219
61.154,2.2000000000000006,4.91957,0.427219
63.984,2.3000000000000007,4.91973,0.427367
66.796,2.400000000000001,4.92005,0.427293
69.592,2.500000000000001,4.92052,0.427367
72.409,2.600000000000001,4.92005,0.427337
75.199,2.700000000000001,4.91957,0.42719
78.015,2.800000000000001,4.91941,0.427352
80.806,2.9000000000000012,4.91957,0.427323
83.587,3.0000000000000013,4.91989,0.427278
86.383,3.1000000000000014,4.91989,0.427264
89.212,3.2000000000000015,4.91957,0.427382
92.026,3.3000000000000016,4.91989,0.427308
94.803,3.4000000000000017,4.91957,0.427367
97.615,3.5000000000000018,4.91957,0.427411
100.427,3.600000000000002,4.91957,0.427293
103.207,3.700000000000002,4.92005,0.42719
106.002,3.800000000000002,4.92005,0.427382
108.813,3.900000000000002,4.91989,0.427293
111.593,4.000000000000002,4.91973,0.427337
114.392,4.100000000000001,4.92005,0.427426
117.201,4.200000000000001,4.91909,0.427293
119.998,4.300000000000001,4.91973,0.427175
122.777,4.4,4.91941,0.427131
125.573,4.5,4.92021,0.427175
128.369,4.6,4.91957,0.427293
131.181,4.699999999999999,4.92021,0.427278
133.976,4.799999999999999,4.92005,0.427205
136.772,4.899999999999999,4.91973,0.427382
139.584,4.999999999999998,4.91973,0.427293
142.364,5.099999999999998,4.92005,0.427352
145.191,5.1999999999999975,4.91957,0.427426
147.974,5.299999999999997,4.91941,0.427352
150.767,5.399999999999997,4.91941,0.427471
153.548,5.4999999999999964,4.92005,0.427515
156.328,5.599999999999996,4.91941,0.42753
159.141,5.699999999999996,4.91989,0.427663
161.920,5.799999999999995,4.91973,0.427648
164.827,5.899999999999995,4.91989,0.427441
167.607,5.999999999999995,4.91925,0.427559
170.387,6.099999999999994,4.92021,0.42753
173.199,6.199999999999994,4.91957,0.427471
175.995,6.299999999999994,4.91973,0.427574
178.808,6.399999999999993,4.91925,0.427722
181.603,6.499999999999993,4.91989,0.427736
184.383,6.5999999999999925,4.91973,0.42784
187.179,6.699999999999992,4.92021,0.428002
189.991,6.799999999999992,4.91957,0.428076
192.786,6.8999999999999915,4.91973,0.428135
195.582,6.999999999999991,4.91973,0.428549
198.362,7.099999999999991,4.92005,0.428845
201.175,7.19999999999999,4.91973,0.428889
203.957,7.29999999999999,4.91989,0.429155
206.750,7.39999999999999,4.91973,0.429318
209.580,7.499999999999989,4.91941,0.429776
212.374,7.599999999999989,4.92021,0.430736
215.154,7.699999999999989,4.91941,0.431209
217.950,7.799999999999988,4.91989,0.431268
220.761,7.899999999999988,4.92068,0.431283
223.542,7.999999999999988,4.91989,0.431076
226.321,8.099999999999987,4.91973,0.431076
229.118,8.199999999999987,4.91989,0.431061
231.898,8.299999999999986,4.92021,0.431268
234.694,8.399999999999986,4.91973,0.431268
237.474,8.499999999999986,4.91957,0.431268
240.254,8.599999999999985,4.91989,0.431298
243.051,8.699999999999985,4.91989,0.431135
245.845,8.799999999999985,4.91973,0.430899
248.657,8.899999999999984,4.92005,0.430426
251.438,8.999999999999984,4.91989,0.429938
254.267,9.099999999999984,4.92036,0.429539
257.078,9.199999999999983,4.92005,0.429318
259.873,9.299999999999983,4.91973,0.429037
262.685,9.399999999999983,4.92052,0.428741
265.482,9.499999999999982,4.92021,0.428623
268.277,9.599999999999982,4.91973,0.428505
271.073,9.699999999999982,4.91925,0.428298
273.853,9.799999999999981,4.92005,0.428106
276.650,9.89999999999998,4.91957,0.428047
279.477,9.99999999999998,4.91989,0.427884
282.288,10.09999999999998,4.92005,0.427914
285.085,10.19999999999998,4.91973,0.427707
287.896,10.29999999999998,4.92021,0.427796
290.692,10.399999999999979,4.92068,0.427722
293.488,10.499999999999979,4.92005,0.427589
296.284,10.599999999999978,4.92005,0.427441
299.096,10.699999999999978,4.91973,0.427382
301.911,10.799999999999978,4.91957,0.427352
304.705,10.899999999999977,4.92021,0.427382
307.516,10.999999999999977,4.92021,0.427323
310.312,11.099999999999977,4.91957,0.427278
313.092,11.199999999999976,4.91989,0.427352
315.887,11.299999999999976,4.92021,0.427382
318.684,11.399999999999975,4.91973,0.427426
321.499,11.499999999999975,4.91973,0.427293
324.308,11.599999999999975,4.92052,0.427234
327.103,11.699999999999974,4.91989,0.42716
329.932,11.799999999999974,4.92021,0.427072
332.728,11.899999999999974,4.92036,0.427042
335.508,11.999999999999973,4.92005,0.427072
338.304,12.099999999999973,4.92021,0.426968
341.115,12.199999999999973,4.92021,0.426939
343.896,12.299999999999972,4.92005,0.426998
346.691,12.399999999999972,4.91973,0.426879
349.488,12.499999999999972,4.92036,0.426806
352.283,12.599999999999971,4.92005,0.426953
355.094,12.69999999999997,4.91989,0.426894
357.875,12.79999999999997,4.92005,0.427057
360.656,12.89999999999997,4.91973,0.426924
363.505,12.99999999999997,4.92005,0.426924
366.311,13.09999999999997,4.92005,0.426924
369.090,13.199999999999969,4.91957,0.426806
371.886,13.299999999999969,4.91973,0.426879
374.698,13.399999999999968,4.91973,0.426968
377.510,13.499999999999968,4.91909,0.426983
380.291,13.599999999999968,4.91973,0.426865
383.086,13.699999999999967,4.91989,0.426835
385.883,13.799999999999967,4.91989,0.426894
388.678,13.899999999999967,4.91973,0.426983
391.473,13.999999999999966,4.92021,0.426909
394.285,14.099999999999966,4.92021,0.426983
397.106,14.199999999999966,4.91989,0.426983
399.926,14.299999999999965,4.91925,0.426998
402.737,14.399999999999965,4.92005,0.426953
405.549,14.499999999999964,4.92005,0.426761
408.329,14.599999999999964,4.92005,0.426939
411.125,14.699999999999964,4.92005,0.426865
413.937,14.799999999999963,4.92005,0.426879
416.749,14.899999999999963,4.91941,0.426968
419.545,14.999999999999963,4.91973,0.426998
422.357,15.099999999999962,4.92036,0.426939
425.168,15.199999999999962,4.91989,0.426924
427.949,15.299999999999962,4.91973,0.426968
430.744,15.399999999999961,4.91957,0.426968
433.556,15.499999999999961,4.91989,0.426953
436.400,15.59999999999996,4.91989,0.42685
439.197,15.69999999999996,4.92052,0.426909
442.009,15.79999999999996,4.91973,0.427027
444.837,15.89999999999996,4.92005,0.426968
447.633,15.99999999999996,4.92005,0.426894
450.444,16.09999999999996,4.92068,0.426791
453.256,16.19999999999996,4.91973,0.426968
456.053,16.29999999999996,4.92021,0.426953
458.849,16.399999999999963,4.92052,0.427042
461.644,16.499999999999964,4.91973,0.426998
464.425,16.599999999999966,4.91989,0.427145
467.219,16.699999999999967,4.92005,0.427101
470.032,16.79999999999997,4.92005,0.427072
472.814,16.89999999999997,4.92021,0.427012
475.608,16.99999999999997,4.92005,0.427072
478.420,17.099999999999973,4.92021,0.427057
481.216,17.199999999999974,4.92005,0.426983
484.011,17.299999999999976,4.91989,0.426983
486.823,17.399999999999977,4.92005,0.427131
489.622,17.49999999999998,4.91989,0.427086
492.447,17.59999999999998,4.92021,0.427101
495.259,17.69999999999998,4.91973,0.427072
498.071,17.799999999999983,4.92005,0.427057
500.851,17.899999999999984,4.92005,0.426924
503.665,17.999999999999986,4.91957,0.427057
506.476,18.099999999999987,4.91989,0.427116
509.271,18.19999999999999,4.92005,0.427101
512.083,18.29999999999999,4.91941,0.427175
514.879,18.39999999999999,4.91925,0.427145
517.707,18.499999999999993,4.91973,0.427072
520.502,18.599999999999994,4.91973,0.426983
523.299,18.699999999999996,4.91941,0.427027
526.078,18.799999999999997,4.91973,0.427027
528.874,18.9,4.91973,0.427042
531.686,19.0,4.91989,0.427145
534.498,19.1,4.91973,0.427175
