Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,0.00471465,0.452974
2.295,0.5,0.00471114,0.452945
5.091,1.0,0.00473027,0.453033
7.885,1.5,0.00473091,0.453019
10.682,2.0,0.00471943,0.453196
13.477,2.5,0.00473123,0.453211
16.273,3.0,0.00471561,0.453226
19.069,3.5,0.00470381,0.453477
21.865,4.0,0.00471337,0.453506
24.659,4.5,0.00472549,0.453639
27.456,5.0,0.0047172,0.453817
30.273,5.5,0.00472421,0.454201
33.096,5.6,0.00473569,0.454437
35.907,5.699999999999999,0.00473856,0.454629
38.718,5.799999999999999,0.00472103,0.454585
41.515,5.899999999999999,0.00475035,0.454467
44.298,5.999999999999998,0.00472963,0.454452
47.153,6.099999999999998,0.00471401,0.454511
49.934,6.1999999999999975,0.00475992,0.454526
52.714,6.299999999999997,0.00475259,0.454585
55.525,6.399999999999997,0.00473314,0.454747
58.337,6.4999999999999964,0.00473059,0.45488
61.119,6.599999999999996,0.00473186,0.455058
63.929,6.699999999999996,0.00473027,0.455176
66.740,6.799999999999995,0.00472963,0.455339
69.551,6.899999999999995,0.00474047,0.455649
72.364,6.999999999999995,0.00474079,0.455944
75.175,7.099999999999994,0.0047443,0.456462
77.987,7.599999999999994,0.00472995,0.456831
80.782,8.099999999999994,0.00471911,0.457141
83.578,8.599999999999994,0.00471082,0.457437
86.390,9.099999999999994,0.00471082,0.456388
89.187,9.599999999999994,0.00472836,0.455309
91.981,10.099999999999994,0.00472613,0.454555
94.793,10.599999999999994,0.00472708,0.454156
97.589,11.099999999999994,0.00472549,0.45395
100.448,11.599999999999994,0.0047274,0.453772
103.308,12.099999999999994,0.00471943,0.453698
106.121,12.599999999999994,0.00471943,0.453684
108.916,13.099999999999994,0.00472071,0.45358
111.712,13.599999999999994,0.00472326,0.453506
114.523,14.099999999999994,0.00471752,0.453536
117.366,14.599999999999994,0.004729,0.453477
120.195,15.099999999999994,0.0047325,0.453491
122.990,15.599999999999994,0.00473091,0.453536
125.802,16.099999999999994,0.00475992,0.453506
128.661,16.599999999999994,0.0047427,0.453536
131.457,17.099999999999994,0.00473378,0.453521
134.299,17.599999999999994,0.00469839,0.45361
137.082,18.099999999999994,0.00473983,0.453669
139.892,18.599999999999994,0.00471624,0.453669
142.688,19.099999999999994,0.00474812,0.45358
145.502,19.599999999999994,0.00473633,0.45361
148.313,20.099999999999994,0.00472389,0.453684
151.115,20.599999999999994,0.00474334,0.453787
153.924,21.099999999999994,0.00472613,0.453772
156.714,21.599999999999994,0.0047325,0.453817
159.494,22.099999999999994,0.00472676,0.453802
162.289,22.599999999999994,0.00474366,0.45392
165.102,23.099999999999994,0.00473792,0.453935
167.897,23.599999999999994,0.00473027,0.453861
170.751,24.099999999999994,0.0047223,0.45389
173.585,24.599999999999994,0.00472644,0.453817
