Time [s],Position [mm],Power [W]
0.002,0,0.385073
2.064,0.5,0.385089
4.716,1.0,0.385264
7.385,1.5,0.385026
10.425,2.0,0.385264
12.992,2.5,0.385217
15.837,3.0,0.385264
18.520,3.5,0.385121
21.188,4.0,0.385407
23.793,4.5,0.385375
26.588,5.0,0.385487
29.546,5.5,0.38563
32.470,6.0,0.385693
35.112,6.5,0.385344
37.773,6.51,0.385693
40.346,6.52,0.385741
42.998,6.529999999999999,0.385773
45.666,6.539999999999999,0.385821
48.319,6.549999999999999,0.385995
50.917,6.559999999999999,0.385948
53.545,6.5699999999999985,0.386202
56.180,6.579999999999998,0.38617
58.736,6.589999999999998,0.386266
61.379,6.599999999999998,0.38625
63.937,6.609999999999998,0.386154
66.580,6.619999999999997,0.386345
69.311,6.629999999999997,0.386266
71.965,6.639999999999997,0.386488
74.521,6.649999999999997,0.386154
77.189,6.659999999999997,0.386313
80.008,6.669999999999996,0.386266
82.638,6.679999999999996,0.386297
85.195,6.689999999999996,0.386329
87.847,6.699999999999996,0.386345
90.515,6.7099999999999955,0.386377
93.119,6.719999999999995,0.386361
95.851,6.729999999999995,0.386504
98.439,6.739999999999995,0.386663
101.076,6.749999999999995,0.386441
103.814,6.7599999999999945,0.386186
106.443,6.769999999999994,0.386425
109.113,6.779999999999994,0.386282
111.756,6.789999999999994,0.386345
114.403,6.799999999999994,0.386409
117.081,6.809999999999993,0.386615
119.976,6.819999999999993,0.38679
122.835,6.829999999999993,0.386345
125.504,6.839999999999993,0.386615
128.253,6.8499999999999925,0.386361
130.824,6.859999999999992,0.386743
133.653,6.869999999999992,0.386822
136.225,6.879999999999992,0.386631
138.971,6.889999999999992,0.386743
141.737,6.8999999999999915,0.386552
144.405,6.909999999999991,0.386599
146.962,6.919999999999991,0.386758
149.613,6.929999999999991,0.386901
152.265,6.939999999999991,0.386743
154.821,6.94999999999999,0.386758
157.631,6.95999999999999,0.386647
160.174,6.96999999999999,0.386854
162.733,6.97999999999999,0.386743
165.383,6.9899999999999896,0.387029
168.067,6.999999999999989,0.38706
170.703,7.009999999999989,0.386917
173.441,7.019999999999989,0.387156
176.210,7.029999999999989,0.387076
178.819,7.0399999999999885,0.387045
181.376,7.049999999999988,0.387108
184.251,7.059999999999988,0.387267
186.856,7.069999999999988,0.38741
189.508,7.079999999999988,0.387458
192.063,7.089999999999987,0.38749
194.685,7.099999999999987,0.387569
197.335,7.109999999999987,0.387553
199.989,7.119999999999987,0.387569
202.845,7.129999999999987,0.387951
205.388,7.139999999999986,0.387919
208.008,7.149999999999986,0.387887
210.629,7.159999999999986,0.387871
213.233,7.169999999999986,0.388237
215.902,7.1799999999999855,0.387887
218.507,7.189999999999985,0.388014
221.111,7.199999999999985,0.387633
223.683,7.209999999999985,0.388046
226.319,7.219999999999985,0.387998
229.188,7.229999999999984,0.38811
231.893,7.239999999999984,0.388125
234.548,7.249999999999984,0.388046
237.135,7.259999999999984,0.388062
239.807,7.269999999999984,0.387521
242.409,7.279999999999983,0.387855
244.965,7.289999999999983,0.387601
247.585,7.299999999999983,0.387903
250.265,7.309999999999983,0.388316
253.002,7.3199999999999825,0.387935
255.558,7.329999999999982,0.38838
258.130,7.339999999999982,0.388348
260.799,7.349999999999982,0.388316
263.355,7.359999999999982,0.388269
266.103,7.3699999999999815,0.388332
269.010,7.379999999999981,0.388523
271.567,7.389999999999981,0.388284
274.283,7.399999999999981,0.388507
277.019,7.409999999999981,0.388269
279.571,7.41999999999998,0.388666
282.334,7.42999999999998,0.388412
285.019,7.43999999999998,0.388364
287.591,7.44999999999998,0.388491
290.296,7.4599999999999795,0.388459
293.086,7.469999999999979,0.388586
295.835,7.479999999999979,0.388618
298.983,7.489999999999979,0.388698
301.588,7.499999999999979,0.388761
304.144,7.5099999999999785,0.388666
306.700,7.519999999999978,0.388523
309.497,7.529999999999978,0.388714
312.052,7.539999999999978,0.38838
314.608,7.549999999999978,0.38892
317.230,7.559999999999977,0.38892
319.785,7.569999999999977,0.38873
322.502,7.579999999999977,0.38873
325.181,7.589999999999977,0.388777
327.725,7.5999999999999766,0.389143
330.300,7.609999999999976,0.389159
332.870,7.619999999999976,0.38927
335.426,7.629999999999976,0.389334
337.982,7.639999999999976,0.389032
340.586,7.6499999999999755,0.389206
343.143,7.659999999999975,0.388809
346.101,7.669999999999975,0.389206
349.326,7.679999999999975,0.389206
352.029,7.689999999999975,0.389636
354.583,7.699999999999974,0.389365
357.140,7.709999999999974,0.389667
359.696,7.719999999999974,0.389461
362.268,7.729999999999974,0.38919
365.000,7.739999999999974,0.389318
367.555,7.749999999999973,0.389206
370.113,7.759999999999973,0.389175
372.668,7.769999999999973,0.389588
375.225,7.779999999999973,0.389747
377.814,7.7899999999999725,0.389286
380.371,7.799999999999972,0.389111
382.994,7.809999999999972,0.389318
385.643,7.819999999999972,0.389381
388.215,7.829999999999972,0.389413
390.771,7.839999999999971,0.38954
393.328,7.849999999999971,0.389524
395.883,7.859999999999971,0.389588
398.440,7.869999999999971,0.389445
401.301,7.879999999999971,0.389397
403.856,7.88999999999997,0.389286
406.495,7.89999999999997,0.38954
409.177,7.90999999999997,0.389349
411.861,7.91999999999997,0.389175
414.640,7.9299999999999695,0.389206
417.310,7.939999999999969,0.388936
419.866,7.949999999999969,0.389143
422.567,7.959999999999969,0.389111
425.231,7.969999999999969,0.389206
427.902,7.9799999999999685,0.389095
430.618,7.989999999999968,0.388984
433.361,7.999999999999968,0.389016
435.971,8.009999999999968,0.388825
438.687,8.019999999999968,0.388586
441.387,8.029999999999967,0.388888
444.055,8.039999999999967,0.38892
446.708,8.049999999999967,0.389318
449.280,8.059999999999967,0.389047
451.932,8.069999999999967,0.388857
455.204,8.079999999999966,0.389063
458.067,8.089999999999966,0.388952
460.624,8.099999999999966,0.389016
463.429,8.109999999999966,0.389
466.200,8.119999999999965,0.388809
468.757,8.129999999999965,0.388888
471.425,8.139999999999965,0.388332
473.980,8.149999999999965,0.38865
476.715,8.159999999999965,0.388459
479.286,8.169999999999964,0.388475
482.098,8.179999999999964,0.388443
484.655,8.189999999999964,0.388157
487.212,8.199999999999964,0.388857
489.851,8.209999999999964,0.388459
492.402,8.219999999999963,0.388459
494.958,8.229999999999963,0.388475
497.515,8.239999999999963,0.388284
500.151,8.249999999999963,0.388316
502.707,8.259999999999962,0.388269
505.263,8.269999999999962,0.388284
507.818,8.279999999999962,0.388269
510.375,8.289999999999962,0.388125
513.011,8.299999999999962,0.388141
515.663,8.309999999999961,0.388284
518.219,8.319999999999961,0.388062
520.777,8.329999999999961,0.38811
523.365,8.33999999999996,0.388237
526.144,8.34999999999996,0.388221
528.845,8.35999999999996,0.388189
531.512,8.36999999999996,0.387871
534.069,8.37999999999996,0.387919
537.180,8.38999999999996,0.388157
539.933,8.39999999999996,0.388062
542.591,8.40999999999996,0.387855
545.142,8.419999999999959,0.387998
547.922,8.429999999999959,0.38741
550.478,8.439999999999959,0.38803
553.130,8.449999999999958,0.387966
555.910,8.459999999999958,0.387839
558.497,8.469999999999958,0.38803
561.054,8.479999999999958,0.387966
563.691,8.489999999999958,0.388062
