Time [s],Position [mm],Power [W]
0.002,0,0.411254
2.078,0.5,0.411763
4.649,1.0,0.411651
7.286,1.5,0.412112
9.842,2.0,0.411429
12.557,2.5,0.411794
15.178,3.0,0.411349
17.736,3.5,0.411715
20.291,4.0,0.412144
22.847,4.5,0.412319
25.409,5.0,0.412621
28.024,5.5,0.4127
30.581,6.0,0.412812
33.137,6.5,0.41313
35.693,6.51,0.412828
38.282,6.52,0.412923
40.854,6.529999999999999,0.413082
43.445,6.539999999999999,0.413193
46.072,6.549999999999999,0.412987
48.799,6.559999999999999,0.413336
51.360,6.5699999999999985,0.413241
53.909,6.579999999999998,0.413146
56.464,6.589999999999998,0.413114
59.148,6.599999999999998,0.413034
61.849,6.609999999999998,0.413082
64.533,6.619999999999997,0.413193
67.200,6.629999999999997,0.413193
69.774,6.639999999999997,0.413209
72.410,6.649999999999997,0.41278
74.966,6.659999999999997,0.412971
77.571,6.669999999999996,0.41305
80.127,6.679999999999996,0.413225
82.971,6.689999999999996,0.413479
85.639,6.699999999999996,0.413304
88.198,6.7099999999999955,0.413368
90.753,6.719999999999995,0.41313
93.469,6.729999999999995,0.413479
96.026,6.739999999999995,0.413177
98.582,6.749999999999995,0.413177
101.137,6.7599999999999945,0.41313
103.696,6.769999999999994,0.413463
106.251,6.779999999999994,0.413591
108.839,6.789999999999994,0.413591
111.474,6.799999999999994,0.413416
114.078,6.809999999999993,0.412907
116.747,6.819999999999993,0.413289
119.320,6.829999999999993,0.413591
121.876,6.839999999999993,0.413591
124.431,6.8499999999999925,0.413416
126.989,6.859999999999992,0.413463
129.544,6.869999999999992,0.413845
132.103,6.879999999999992,0.413511
134.658,6.889999999999992,0.413654
137.278,6.8999999999999915,0.413654
139.836,6.909999999999991,0.413718
142.394,6.919999999999991,0.413829
144.949,6.929999999999991,0.414099
147.824,6.939999999999991,0.413797
150.380,6.94999999999999,0.413559
153.015,6.95999999999999,0.413575
155.669,6.96999999999999,0.414067
158.226,6.97999999999999,0.414242
160.782,6.9899999999999896,0.414131
163.339,6.999999999999989,0.414163
165.974,7.009999999999989,0.414067
168.531,7.019999999999989,0.414449
171.088,7.029999999999989,0.414338
173.643,7.0399999999999885,0.414131
176.263,7.049999999999988,0.414513
178.995,7.059999999999988,0.414799
181.585,7.069999999999988,0.414576
184.141,7.079999999999988,0.414513
186.856,7.089999999999987,0.414528
189.477,7.099999999999987,0.414226
192.081,7.109999999999987,0.414671
195.116,7.119999999999987,0.414656
197.674,7.129999999999987,0.414783
200.437,7.139999999999986,0.414799
202.993,7.149999999999986,0.414878
205.549,7.159999999999986,0.414624
208.345,7.169999999999986,0.414894
210.934,7.1799999999999855,0.41483
213.570,7.189999999999985,0.414846
216.143,7.199999999999985,0.41483
218.844,7.209999999999985,0.414624
221.655,7.219999999999985,0.414592
224.214,7.229999999999984,0.414799
226.768,7.239999999999984,0.414846
