Time [s],Position [mm],Power [W]
0.002,0,0.485397
2.072,0.5,0.46752
4.738,1.0,0.465228
7.312,1.5,0.46473
9.883,2.0,0.472503
12.535,2.5,0.471108
15.236,3.0,0.464032
17.807,3.5,0.46473
20.510,4.0,0.463932
23.064,4.5,0.471905
25.621,5.0,0.467221
28.177,5.5,0.471805
30.973,6.0,0.473799
33.529,6.5,0.488747
36.086,6.6,0.499809
38.641,6.699999999999999,0.512167
41.198,6.799999999999999,0.524226
43.994,6.899999999999999,0.529608
46.598,6.999999999999998,0.526518
49.155,7.099999999999998,0.524724
51.711,7.1999999999999975,0.533295
54.266,7.299999999999997,0.562694
57.062,7.399999999999997,0.558608
59.666,7.4999999999999964,0.54047
62.302,7.599999999999996,0.526817
64.858,7.699999999999996,0.518645
67.510,7.799999999999995,0.510971
70.082,7.899999999999995,0.518346
72.740,7.999999999999995,0.531501
75.483,8.099999999999994,0.537082
78.055,8.199999999999994,0.548343
80.812,8.299999999999994,0.553027
83.487,8.399999999999993,0.541068
86.107,8.499999999999993,0.529109
88.982,8.599999999999993,0.537182
91.619,8.699999999999992,0.560004
94.175,8.799999999999992,0.560203
96.843,8.899999999999991,0.538079
99.713,8.999999999999991,0.507683
102.260,9.09999999999999,0.49672
104.847,9.19999999999999,0.482868
107.502,9.29999999999999,0.47619
110.184,9.39999999999999,0.471506
112.820,9.49999999999999,0.469314
115.375,9.599999999999989,0.470809
118.044,9.699999999999989,0.473799
120.616,9.799999999999988,0.472204
123.269,9.899999999999988,0.46752
125.825,9.999999999999988,0.46742
128.461,10.099999999999987,0.468218
131.097,10.599999999999987,0.468517
133.685,11.099999999999987,0.469115
136.258,11.599999999999987,0.468816
138.813,12.099999999999987,0.462437
141.416,12.599999999999987,0.469115
144.005,13.099999999999987,0.467121
146.577,13.599999999999987,0.469015
149.197,14.099999999999987,0.470609
151.855,14.599999999999987,0.472304
155.092,15.099999999999987,0.466922
157.650,15.599999999999987,0.468218
160.333,16.099999999999987,0.474596
163.042,16.599999999999987,0.470809
165.671,17.099999999999987,0.469414
168.321,17.599999999999987,0.475891
170.877,18.099999999999987,0.471805
173.632,18.599999999999987,0.469115
176.261,19.099999999999987,0.469912
179.028,19.599999999999987,0.471905
181.613,20.099999999999987,0.474795
184.202,20.599999999999987,0.467719
187.164,21.099999999999987,0.472702
189.843,21.599999999999987,0.472902
192.414,22.099999999999987,0.472403
194.970,22.599999999999987,0.468218
197.565,23.099999999999987,0.470211
200.166,23.599999999999987,0.4734
202.734,24.099999999999987,0.472503
205.383,24.599999999999987,0.471805
