Time [s],Position [mm],Power [W]
0.003,0,0.432332
2.063,0.5,0.432459
4.791,1.0,0.432634
7.351,1.5,0.432443
9.988,2.0,0.43257
12.798,2.5,0.432634
15.644,3.0,0.432189
18.200,3.5,0.432761
20.868,4.0,0.432809
23.568,4.5,0.433047
26.157,5.0,0.433476
28.843,5.5,0.433778
31.477,6.0,0.43451
34.032,6.5,0.454602
36.605,6.6,0.4646
39.256,6.699999999999999,0.483183
41.990,6.799999999999999,0.497648
44.561,6.899999999999999,0.505214
47.133,6.999999999999998,0.503338
49.689,7.099999999999998,0.49512
52.325,7.1999999999999975,0.497187
55.067,7.299999999999997,0.516611
57.614,7.399999999999997,0.541965
60.298,7.4999999999999964,0.529328
63.016,7.599999999999996,0.509347
65.699,7.699999999999996,0.498029
68.345,7.799999999999995,0.490908
71.036,7.899999999999995,0.491687
73.705,7.999999999999995,0.498299
76.499,8.099999999999994,0.510889
79.053,8.199999999999994,0.524957
81.931,8.299999999999994,0.530791
84.615,8.399999999999993,0.522779
87.285,8.499999999999993,0.509554
89.937,8.599999999999993,0.504356
92.566,8.699999999999992,0.518122
95.111,8.799999999999992,0.547529
97.667,8.899999999999991,0.529789
100.291,8.999999999999991,0.501367
102.861,9.09999999999999,0.483421
105.416,9.19999999999999,0.468956
108.246,9.29999999999999,0.458846
110.928,9.39999999999999,0.45058
113.596,9.49999999999999,0.44427
116.420,9.599999999999989,0.440534
119.093,9.699999999999989,0.437355
121.665,9.799999999999988,0.435765
124.220,9.899999999999988,0.435002
126.777,9.999999999999988,0.434827
129.333,10.099999999999987,0.434843
131.910,10.599999999999987,0.43408
134.477,11.099999999999987,0.433667
137.034,11.599999999999987,0.433397
139.590,12.099999999999987,0.43327
142.465,12.599999999999987,0.433317
145.021,13.099999999999987,0.432952
147.728,13.599999999999987,0.43284
150.424,14.099999999999987,0.433047
152.995,14.599999999999987,0.432872
