Time [s],Position [mm],Power [W]
0.002,0,0.432252
2.169,0.5,0.432157
4.753,1.0,0.432427
7.421,1.5,0.4323
9.994,2.0,0.432268
12.568,2.5,0.432554
15.185,3.0,0.432332
17.822,3.5,0.432634
20.482,4.0,0.432872
23.287,4.5,0.432777
25.873,5.0,0.432968
28.605,5.5,0.433349
31.273,6.0,0.433874
33.895,6.5,0.436226
36.547,6.6,0.435686
39.167,6.699999999999999,0.435559
41.835,6.799999999999999,0.435002
44.454,6.899999999999999,0.435193
47.140,6.999999999999998,0.434939
49.775,7.099999999999998,0.434939
52.591,7.1999999999999975,0.43505
55.207,7.299999999999997,0.435241
57.909,7.399999999999997,0.435686
60.620,7.4999999999999964,0.436036
63.196,7.599999999999996,0.436957
65.847,7.699999999999996,0.438181
68.774,7.799999999999995,0.438785
71.327,7.899999999999995,0.439231
73.995,7.999999999999995,0.438436
76.951,8.099999999999994,0.43807
79.606,8.199999999999994,0.437482
82.287,8.299999999999994,0.43745
84.939,8.399999999999993,0.43718
87.544,8.499999999999993,0.437164
90.181,8.599999999999993,0.437116
92.832,8.699999999999992,0.437196
95.676,8.799999999999992,0.436957
98.328,8.899999999999991,0.436799
100.901,8.999999999999991,0.43602
103.539,9.09999999999999,0.435638
106.205,9.19999999999999,0.435273
108.856,9.29999999999999,0.434955
111.508,9.39999999999999,0.434684
114.255,9.49999999999999,0.434605
116.890,9.599999999999989,0.433921
119.577,9.699999999999989,0.43389
122.326,9.799999999999988,0.433969
124.976,9.899999999999988,0.433619
127.644,9.999999999999988,0.433508
130.396,10.099999999999987,0.433635
132.965,10.599999999999987,0.433349
135.569,11.099999999999987,0.433174
138.333,11.599999999999987,0.433047
140.985,12.099999999999987,0.432745
143.830,12.599999999999987,0.432554
146.418,13.099999999999987,0.43265
