Time [s],Position [mm],Power [W]
0.003,0,0.430965
2.064,0.5,0.430965
4.619,1.0,0.431124
7.175,1.5,0.431235
9.732,2.0,0.431251
12.288,2.5,0.431251
14.844,3.0,0.431362
17.400,3.5,0.43133
19.956,4.0,0.431076
22.513,4.5,0.431728
25.068,5.0,0.431664
27.625,5.5,0.431919
30.180,6.0,0.432491
32.737,6.5,0.434557
35.293,6.6,0.434589
37.848,6.699999999999999,0.433937
40.406,6.799999999999999,0.433286
42.960,6.899999999999999,0.433572
45.516,6.999999999999998,0.433588
48.075,7.099999999999998,0.43381
50.629,7.1999999999999975,0.433921
53.185,7.299999999999997,0.433921
55.741,7.399999999999997,0.434271
58.297,7.4999999999999964,0.434684
60.853,7.599999999999996,0.43532
63.410,7.699999999999996,0.436338
65.966,7.799999999999995,0.437736
68.522,7.899999999999995,0.437864
71.079,7.999999999999995,0.437943
73.635,8.099999999999994,0.437275
76.191,8.199999999999994,0.437037
78.747,8.299999999999994,0.436608
81.303,8.399999999999993,0.436274
83.858,8.499999999999993,0.436306
86.414,8.599999999999993,0.435877
88.971,8.699999999999992,0.43602
91.528,8.799999999999992,0.435781
94.083,8.899999999999991,0.435781
96.640,8.999999999999991,0.435257
99.196,9.09999999999999,0.434732
101.753,9.19999999999999,0.435066
104.308,9.29999999999999,0.434112
106.864,9.39999999999999,0.434223
109.420,9.49999999999999,0.434001
111.977,9.599999999999989,0.433794
114.532,9.699999999999989,0.433651
117.090,9.799999999999988,0.433206
119.645,9.899999999999988,0.433206
122.201,9.999999999999988,0.433047
124.757,10.099999999999987,0.433206
127.314,10.599999999999987,0.432459
129.870,11.099999999999987,0.432316
132.425,11.599999999999987,0.432109
134.981,12.099999999999987,0.432046
137.538,12.599999999999987,0.432046
140.095,13.099999999999987,0.43203
