Time [s],Position [mm],Power [W]
0.002,0,0.330376
2.057,0.04,0.330106
4.629,0.08,0.330487
7.218,0.12,0.330106
9.806,0.16,0.330392
12.393,0.2,0.330614
14.966,0.24000000000000002,0.330503
17.554,0.28,0.33036
20.125,0.32,0.330249
22.697,0.36,0.330344
25.286,0.39999999999999997,0.33063
27.842,0.43999999999999995,0.330424
30.422,0.4799999999999999,0.330567
32.985,0.5199999999999999,0.330392
35.543,0.5599999999999999,0.330439
38.113,0.6,0.330265
40.701,0.64,0.330312
43.257,0.68,0.330392
45.830,0.7200000000000001,0.33036
48.418,0.7600000000000001,0.330408
50.989,0.8000000000000002,0.330137
53.560,0.8400000000000002,0.330455
56.117,0.8800000000000002,0.330392
58.704,0.9200000000000003,0.330376
61.277,0.9600000000000003,0.330122
63.865,1.0000000000000002,0.330169
66.437,1.0400000000000003,0.330471
69.001,1.0800000000000003,0.330265
71.566,1.1200000000000003,0.330344
74.137,1.1600000000000004,0.330614
76.694,1.2000000000000004,0.330424
79.251,1.2400000000000004,0.330439
81.838,1.2800000000000005,0.330265
84.411,1.3200000000000005,0.330503
86.997,1.3600000000000005,0.330519
89.570,1.4000000000000006,0.330392
92.142,1.4400000000000006,0.330439
94.699,1.4800000000000006,0.330328
97.264,1.5200000000000007,0.330439
99.828,1.5600000000000007,0.330439
102.402,1.6000000000000008,0.330439
104.971,1.6400000000000008,0.330535
107.542,1.6800000000000008,0.330535
110.132,1.7200000000000009,0.330249
112.702,1.760000000000001,0.330106
115.276,1.800000000000001,0.330296
117.862,1.840000000000001,0.330408
120.450,1.880000000000001,0.330503
123.022,1.920000000000001,0.33063
125.610,1.960000000000001,0.33036
128.166,2.000000000000001,0.330296
130.724,2.040000000000001,0.330598
133.277,2.080000000000001,0.33036
135.865,2.120000000000001,0.330439
138.439,2.160000000000001,0.330424
140.994,2.200000000000001,0.330249
143.583,2.240000000000001,0.330503
146.155,2.280000000000001,0.330249
148.727,2.320000000000001,0.330233
151.297,2.360000000000001,0.330471
153.871,2.4000000000000012,0.330376
156.445,2.4400000000000013,0.330312
159.031,2.4800000000000013,0.330201
161.603,2.5200000000000014,0.330439
164.190,2.5600000000000014,0.330455
166.763,2.6000000000000014,0.330328
169.351,2.6400000000000015,0.330424
172.020,2.6800000000000015,0.329978
174.590,2.7200000000000015,0.330471
177.179,2.7600000000000016,0.330026
179.751,2.8000000000000016,0.330153
182.323,2.8400000000000016,0.330439
184.881,2.8800000000000017,0.330551
187.465,2.9200000000000017,0.330582
190.039,2.9600000000000017,0.330582
192.627,3.0000000000000018,0.330455
195.199,3.040000000000002,0.330424
197.787,3.080000000000002,0.330757
200.358,3.120000000000002,0.330424
202.947,3.160000000000002,0.330408
205.503,3.200000000000002,0.33028
208.059,3.240000000000002,0.330519
210.631,3.280000000000002,0.330455
213.241,3.320000000000002,0.330312
