Time [s],Position [mm],Power [W]
0.003,0,0.349514
2.071,0.04,0.34953
4.640,0.08,0.34953
7.229,0.12,0.349451
9.785,0.16,0.349276
12.372,0.2,0.349658
14.944,0.24000000000000002,0.349435
17.536,0.28,0.34961
20.105,0.32,0.349387
22.695,0.36,0.349483
25.281,0.39999999999999997,0.349403
27.931,0.43999999999999995,0.349244
30.521,0.4799999999999999,0.349324
33.093,0.5199999999999999,0.349292
35.681,0.5599999999999999,0.349292
38.257,0.6,0.349451
40.840,0.64,0.349324
43.399,0.68,0.349133
45.954,0.7200000000000001,0.349308
48.525,0.7600000000000001,0.349244
51.097,0.8000000000000002,0.349403
53.669,0.8400000000000002,0.349403
56.257,0.8800000000000002,0.349244
58.814,0.9200000000000003,0.349371
61.386,0.9600000000000003,0.349197
63.973,1.0000000000000002,0.349673
66.545,1.0400000000000003,0.349244
69.102,1.0800000000000003,0.349626
71.673,1.1200000000000003,0.349149
74.260,1.1600000000000004,0.34934
76.849,1.2000000000000004,0.349212
79.405,1.2400000000000004,0.349228
81.978,1.2800000000000005,0.34934
84.533,1.3200000000000005,0.349419
87.106,1.3600000000000005,0.349562
89.678,1.4000000000000006,0.349292
92.266,1.4400000000000006,0.349451
94.838,1.4800000000000006,0.349562
97.426,1.5200000000000007,0.349419
99.998,1.5600000000000007,0.349292
102.587,1.6000000000000008,0.349594
105.158,1.6400000000000008,0.349578
107.715,1.6800000000000008,0.349355
110.288,1.7200000000000009,0.349467
112.841,1.760000000000001,0.349578
115.429,1.800000000000001,0.349435
118.004,1.840000000000001,0.349387
120.558,1.880000000000001,0.349276
123.136,1.920000000000001,0.349435
125.718,1.960000000000001,0.349546
128.290,2.000000000000001,0.349642
130.848,2.040000000000001,0.349387
133.438,2.080000000000001,0.349276
135.992,2.120000000000001,0.349658
138.578,2.160000000000001,0.349578
141.152,2.200000000000001,0.349165
143.708,2.240000000000001,0.349483
146.263,2.280000000000001,0.349514
148.836,2.320000000000001,0.34953
151.424,2.360000000000001,0.349308
153.995,2.4000000000000012,0.34953
156.584,2.4400000000000013,0.349626
159.140,2.4800000000000013,0.349546
161.728,2.5200000000000014,0.349435
164.299,2.5600000000000014,0.349546
166.873,2.6000000000000014,0.34953
169.443,2.6400000000000015,0.349578
172.015,2.6800000000000015,0.349451
174.572,2.7200000000000015,0.349292
177.126,2.7600000000000016,0.349451
179.700,2.8000000000000016,0.349514
182.257,2.8400000000000016,0.349499
184.811,2.8800000000000017,0.349451
187.382,2.9200000000000017,0.349403
189.956,2.9600000000000017,0.349546
192.528,3.0000000000000018,0.349721
195.100,3.040000000000002,0.349355
197.655,3.080000000000002,0.349435
200.227,3.120000000000002,0.349546
202.816,3.160000000000002,0.349562
205.371,3.200000000000002,0.349435
207.944,3.240000000000002,0.349594
210.531,3.280000000000002,0.349324
213.104,3.320000000000002,0.349689
215.675,3.360000000000002,0.349658
218.264,3.400000000000002,0.349546
220.835,3.440000000000002,0.349499
223.424,3.480000000000002,0.349483
225.979,3.5200000000000022,0.349546
228.550,3.5600000000000023,0.349308
231.124,3.6000000000000023,0.349451
233.711,3.6400000000000023,0.349371
236.282,3.6800000000000024,0.349467
238.841,3.7200000000000024,0.349673
241.394,3.7600000000000025,0.349483
243.950,3.8000000000000025,0.349451
246.523,3.8400000000000025,0.349594
249.096,3.8800000000000026,0.349387
251.683,3.9200000000000026,0.349435
254.273,3.9600000000000026,0.349467
256.828,4.000000000000003,0.349578
259.385,4.040000000000003,0.349483
261.956,4.080000000000003,0.349673
264.528,4.120000000000003,0.349626
267.101,4.160000000000003,0.349371
269.688,4.200000000000003,0.349355
272.275,4.240000000000003,0.349785
274.833,4.280000000000003,0.349594
277.387,4.320000000000003,0.349689
279.964,4.360000000000003,0.34961
282.548,4.400000000000003,0.349658
285.105,4.440000000000003,0.349673
287.660,4.480000000000003,0.349594
290.265,4.520000000000003,0.349514
292.837,4.560000000000003,0.349578
295.409,4.600000000000003,0.349594
297.996,4.640000000000003,0.349578
300.562,4.680000000000003,0.34961
303.130,4.720000000000003,0.349689
305.713,4.760000000000003,0.349737
308.270,4.800000000000003,0.349419
310.857,4.840000000000003,0.349435
313.414,4.8800000000000034,0.34961
316.003,4.9200000000000035,0.349705
318.579,4.9600000000000035,0.349705
321.161,5.0000000000000036,0.349594
323.734,5.040000000000004,0.34961
326.306,5.080000000000004,0.349451
328.878,5.120000000000004,0.349689
331.433,5.160000000000004,0.349658
334.005,5.200000000000004,0.349642
336.563,5.240000000000004,0.34961
339.134,5.280000000000004,0.349546
341.688,5.320000000000004,0.349928
344.245,5.360000000000004,0.349769
346.834,5.400000000000004,0.349387
349.420,5.440000000000004,0.34988
351.977,5.480000000000004,0.350055
354.565,5.520000000000004,0.349801
357.138,5.560000000000004,0.349832
359.695,5.600000000000004,0.349753
362.282,5.640000000000004,0.34988
364.838,5.680000000000004,0.349896
367.425,5.720000000000004,0.349896
369.996,5.760000000000004,0.349769
372.555,5.800000000000004,0.349991
375.125,5.840000000000004,0.34988
377.717,5.880000000000004,0.350055
380.271,5.920000000000004,0.350182
382.827,5.960000000000004,0.350421
385.393,6.000000000000004,0.350436
387.940,6.0400000000000045,0.350738
390.495,6.0800000000000045,0.350866
393.068,6.1200000000000045,0.35085
395.641,6.160000000000005,0.350818
398.195,6.200000000000005,0.351009
