Time [s],Position [mm],Power [W]
0.003,0,0.432745
2.063,0.04,0.432538
4.620,0.08,0.432523
7.208,0.12,0.432713
9.764,0.16,0.432999
12.319,0.2,0.433031
14.879,0.24000000000000002,0.432554
17.463,0.28,0.432952
20.036,0.32,0.43265
22.592,0.36,0.432729
25.180,0.39999999999999997,0.43284
27.751,0.43999999999999995,0.432872
30.324,0.4799999999999999,0.432777
32.880,0.5199999999999999,0.432634
35.468,0.5599999999999999,0.432745
38.039,0.6,0.432904
40.611,0.64,0.432888
43.199,0.68,0.432809
45.787,0.7200000000000001,0.432952
48.362,0.7600000000000001,0.432825
50.916,0.8000000000000002,0.432809
53.488,0.8400000000000002,0.432697
56.044,0.8800000000000002,0.432856
58.615,0.9200000000000003,0.433127
61.204,0.9600000000000003,0.432713
63.776,1.0000000000000002,0.432904
66.363,1.0400000000000003,0.432745
68.937,1.0800000000000003,0.432697
71.524,1.1200000000000003,0.432713
74.095,1.1600000000000004,0.432697
76.687,1.2000000000000004,0.432682
79.271,1.2400000000000004,0.432888
81.844,1.2800000000000005,0.432745
84.430,1.3200000000000005,0.432968
86.987,1.3600000000000005,0.432888
89.561,1.4000000000000006,0.432761
92.131,1.4400000000000006,0.433142
94.748,1.4800000000000006,0.432888
97.307,1.5200000000000007,0.433142
99.864,1.5600000000000007,0.432888
102.436,1.6000000000000008,0.432729
105.008,1.6400000000000008,0.432904
107.580,1.6800000000000008,0.433127
110.152,1.7200000000000009,0.432952
112.740,1.760000000000001,0.433206
115.296,1.800000000000001,0.433111
117.868,1.840000000000001,0.432952
120.424,1.880000000000001,0.432872
122.982,1.920000000000001,0.43265
125.553,1.960000000000001,0.433111
128.125,2.000000000000001,0.432904
130.713,2.040000000000001,0.432697
133.268,2.080000000000001,0.432777
135.903,2.120000000000001,0.43284
138.477,2.160000000000001,0.43292
141.047,2.200000000000001,0.433079
143.603,2.240000000000001,0.433127
146.191,2.280000000000001,0.43265
148.765,2.320000000000001,0.433111
151.353,2.360000000000001,0.433063
153.924,2.4000000000000012,0.433047
156.512,2.4400000000000013,0.432825
159.086,2.4800000000000013,0.43265
161.676,2.5200000000000014,0.432888
164.244,2.5600000000000014,0.433238
166.799,2.6000000000000014,0.432729
169.356,2.6400000000000015,0.432888
171.913,2.6800000000000015,0.433031
174.500,2.7200000000000015,0.432745
177.073,2.7600000000000016,0.432968
179.628,2.8000000000000016,0.433142
182.196,2.8400000000000016,0.432554
184.757,2.8800000000000017,0.433142
187.313,2.9200000000000017,0.432983
189.905,2.9600000000000017,0.432983
192.457,3.0000000000000018,0.43292
195.013,3.040000000000002,0.432999
197.570,3.080000000000002,0.433142
200.126,3.120000000000002,0.433127
202.717,3.160000000000002,0.432825
205.287,3.200000000000002,0.432968
207.878,3.240000000000002,0.433015
210.430,3.280000000000002,0.43319
213.003,3.320000000000002,0.432983
215.575,3.360000000000002,0.432952
218.162,3.400000000000002,0.433127
220.735,3.440000000000002,0.432888
223.307,3.480000000000002,0.432666
225.863,3.5200000000000022,0.432968
228.419,3.5600000000000023,0.433015
231.008,3.6000000000000023,0.433142
233.585,3.6400000000000023,0.433572
236.165,3.6800000000000024,0.432983
238.738,3.7200000000000024,0.433397
241.295,3.7600000000000025,0.433047
243.873,3.8000000000000025,0.432904
246.423,3.8400000000000025,0.433301
248.995,3.8800000000000026,0.433031
251.567,3.9200000000000026,0.433365
254.155,3.9600000000000026,0.43319
256.742,4.000000000000003,0.433158
259.315,4.040000000000003,0.43327
261.935,4.080000000000003,0.433206
264.523,4.120000000000003,0.433111
267.095,4.160000000000003,0.432904
269.651,4.200000000000003,0.433031
272.227,4.240000000000003,0.433301
274.795,4.280000000000003,0.433079
277.383,4.320000000000003,0.433174
279.939,4.360000000000003,0.432999
282.496,4.400000000000003,0.433365
285.052,4.440000000000003,0.433317
287.607,4.480000000000003,0.433238
290.180,4.520000000000003,0.433429
292.744,4.560000000000003,0.433445
295.293,4.600000000000003,0.433445
297.849,4.640000000000003,0.433015
300.404,4.680000000000003,0.433286
302.960,4.720000000000003,0.433222
305.515,4.760000000000003,0.433381
308.088,4.800000000000003,0.433429
310.645,4.840000000000003,0.433556
313.216,4.8800000000000034,0.433413
315.805,4.9200000000000035,0.433286
318.362,4.9600000000000035,0.433381
320.917,5.0000000000000036,0.433238
323.505,5.040000000000004,0.433572
326.061,5.080000000000004,0.433445
328.634,5.120000000000004,0.433572
331.206,5.160000000000004,0.433588
333.761,5.200000000000004,0.433381
336.317,5.240000000000004,0.433349
338.873,5.280000000000004,0.433731
341.433,5.320000000000004,0.433762
344.017,5.360000000000004,0.433635
346.591,5.400000000000004,0.433333
349.164,5.440000000000004,0.433238
351.733,5.480000000000004,0.43346
354.306,5.520000000000004,0.43354
356.885,5.560000000000004,0.433794
359.466,5.600000000000004,0.433746
362.022,5.640000000000004,0.433635
364.599,5.680000000000004,0.433746
367.166,5.720000000000004,0.433762
369.722,5.760000000000004,0.433762
372.307,5.800000000000004,0.433937
374.882,5.840000000000004,0.433556
377.439,5.880000000000004,0.434414
380.011,5.920000000000004,0.434366
382.566,5.960000000000004,0.434621
385.189,6.000000000000004,0.43478
387.775,6.0400000000000045,0.435018
390.363,6.0800000000000045,0.435161
392.918,6.1200000000000045,0.435082
395.490,6.160000000000005,0.4354
398.047,6.200000000000005,0.435606
400.602,6.240000000000005,0.435193
403.191,6.280000000000005,0.43497
405.755,6.320000000000005,0.435034
408.338,6.360000000000005,0.435018
410.908,6.400000000000005,0.434494
413.479,6.440000000000005,0.434843
416.067,6.480000000000005,0.434732
418.654,6.520000000000005,0.434271
421.227,6.560000000000005,0.434478
423.783,6.600000000000005,0.434668
426.355,6.640000000000005,0.434684
428.925,6.680000000000005,0.4347
431.514,6.720000000000005,0.434351
434.086,6.760000000000005,0.434541
436.642,6.800000000000005,0.434478
439.215,6.840000000000005,0.434541
441.787,6.880000000000005,0.434843
444.342,6.920000000000005,0.4347
446.900,6.960000000000005,0.434923
449.470,7.000000000000005,0.434939
452.028,7.040000000000005,0.434907
454.585,7.080000000000005,0.435209
457.155,7.120000000000005,0.434827
459.711,7.1600000000000055,0.435257
462.300,7.2000000000000055,0.4354
464.856,7.2400000000000055,0.435225
467.427,7.280000000000006,0.435479
470.016,7.320000000000006,0.435765
472.572,7.360000000000006,0.436306
475.145,7.400000000000006,0.43621
477.717,7.440000000000006,0.436894
480.337,7.480000000000006,0.437021
482.907,7.520000000000006,0.43745
485.479,7.560000000000006,0.437434
488.051,7.600000000000006,0.437561
490.625,7.640000000000006,0.437609
493.201,7.680000000000006,0.437673
495.767,7.720000000000006,0.437339
498.323,7.760000000000006,0.437561
500.884,7.800000000000006,0.437577
503.437,7.840000000000006,0.437164
506.007,7.880000000000006,0.43772
508.600,7.920000000000006,0.437561
511.168,7.960000000000006,0.437323
513.757,8.000000000000005,0.437832
516.343,8.040000000000004,0.43753
518.915,8.080000000000004,0.437832
521.472,8.120000000000003,0.437577
524.045,8.160000000000002,0.437673
526.599,8.200000000000001,0.437355
529.157,8.24,0.437212
531.713,8.28,0.43726
534.284,8.319999999999999,0.437482
536.856,8.359999999999998,0.437561
539.429,8.399999999999997,0.437403
541.984,8.439999999999996,0.437403
544.562,8.479999999999995,0.437561
547.145,8.519999999999994,0.437577
549.701,8.559999999999993,0.437705
552.276,8.599999999999993,0.437418
554.829,8.639999999999992,0.437291
557.433,8.67999999999999,0.437593
560.009,8.71999999999999,0.437196
562.560,8.75999999999999,0.43718
565.133,8.799999999999988,0.437085
567.705,8.839999999999987,0.437116
570.278,8.879999999999987,0.437005
572.855,8.919999999999986,0.436862
575.438,8.959999999999985,0.436799
577.994,8.999999999999984,0.436767
580.565,9.039999999999983,0.436449
583.123,9.079999999999982,0.436592
585.678,9.119999999999981,0.43664
588.248,9.15999999999998,0.43621
590.820,9.19999999999998,0.436481
593.377,9.239999999999979,0.436115
595.951,9.279999999999978,0.436051
598.521,9.319999999999977,0.435972
601.076,9.359999999999976,0.435813
603.665,9.399999999999975,0.435638
606.222,9.439999999999975,0.435575
608.794,9.479999999999974,0.435114
611.351,9.519999999999973,0.435368
613.922,9.559999999999972,0.435209
616.478,9.599999999999971,0.435273
619.067,9.63999999999997,0.435209
621.638,9.67999999999997,0.435098
624.210,9.719999999999969,0.434859
626.782,9.759999999999968,0.434939
629.396,9.799999999999967,0.43478
631.950,9.839999999999966,0.434843
634.498,9.879999999999965,0.434812
637.086,9.919999999999964,0.434859
639.641,9.959999999999964,0.434907
642.197,9.999999999999963,0.434716
644.770,10.039999999999962,0.434541
647.341,10.079999999999961,0.434716
649.913,10.11999999999996,0.434637
652.501,10.15999999999996,0.43443
655.059,10.199999999999958,0.434303
657.646,10.239999999999958,0.434573
660.219,10.279999999999957,0.434366
662.773,10.319999999999956,0.434287
665.329,10.359999999999955,0.434271
667.886,10.399999999999954,0.434271
670.458,10.439999999999953,0.434319
673.033,10.479999999999952,0.434128
675.586,10.519999999999952,0.434335
678.143,10.55999999999995,0.43443
680.735,10.59999999999995,0.434144
683.302,10.639999999999949,0.43408
685.858,10.679999999999948,0.434239
688.414,10.719999999999947,0.434192
690.971,10.759999999999946,0.434128
693.527,10.799999999999946,0.43416
696.082,10.839999999999945,0.434192
698.637,10.879999999999944,0.433699
701.194,10.919999999999943,0.433667
703.751,10.959999999999942,0.434064
706.306,10.999999999999941,0.434033
