Time [s],Position [mm],Power [W]
0.002,0,0.417726
2.056,0.1,0.41744
4.674,0.2,0.41752
7.231,0.30000000000000004,0.41771
9.819,0.4,0.417504
12.391,0.5,0.417536
14.979,0.6,0.417567
17.536,0.7,0.417392
20.108,0.7999999999999999,0.417599
22.664,0.8999999999999999,0.417567
25.220,0.9999999999999999,0.417551
27.776,1.0999999999999999,0.417583
30.332,1.2,0.417361
32.888,1.3,0.417551
35.444,1.4000000000000001,0.417456
38.000,1.5000000000000002,0.417679
40.588,1.6000000000000003,0.417488
43.144,1.7000000000000004,0.417456
45.701,1.8000000000000005,0.417758
48.272,1.9000000000000006,0.417647
50.861,2.0000000000000004,0.417583
53.433,2.1000000000000005,0.417663
56.006,2.2000000000000006,0.417567
58.572,2.3000000000000007,0.417663
61.135,2.400000000000001,0.417536
63.691,2.500000000000001,0.41779
66.246,2.600000000000001,0.41752
68.836,2.700000000000001,0.417567
71.407,2.800000000000001,0.417377
73.979,2.9000000000000012,0.417042
76.568,3.0000000000000013,0.417281
79.154,3.1000000000000014,0.417583
81.726,3.2000000000000015,0.417504
84.300,3.3000000000000016,0.417042
86.871,3.4000000000000017,0.417233
89.445,3.5000000000000018,0.417408
92.002,3.600000000000002,0.417281
94.571,3.700000000000002,0.417058
97.145,3.800000000000002,0.417233
99.700,3.900000000000002,0.417679
102.257,4.000000000000002,0.417361
104.830,4.100000000000001,0.41744
107.384,4.200000000000001,0.417361
109.956,4.300000000000001,0.417472
112.546,4.4,0.417217
115.123,4.5,0.417408
117.676,4.6,0.417217
120.231,4.699999999999999,0.417424
122.802,4.799999999999999,0.417361
125.357,4.899999999999999,0.417249
127.913,4.999999999999998,0.417186
130.470,5.099999999999998,0.41717
133.026,5.1999999999999975,0.417138
135.615,5.299999999999997,0.416979
138.186,5.399999999999997,0.416868
140.773,5.4999999999999964,0.416915
143.354,5.599999999999996,0.416852
145.982,5.699999999999996,0.416772
148.538,5.799999999999995,0.416931
151.111,5.899999999999995,0.417027
153.678,5.999999999999995,0.416709
156.240,6.099999999999994,0.416438
158.812,6.199999999999994,0.416645
161.416,6.299999999999994,0.416279
163.988,6.399999999999993,0.416454
166.559,6.499999999999993,0.416009
169.149,6.5999999999999925,0.415961
171.708,6.699999999999992,0.415993
174.276,6.799999999999992,0.41612
176.848,6.8999999999999915,0.415929
179.405,6.999999999999991,0.416231
181.995,7.099999999999991,0.416534
184.586,7.19999999999999,0.417027
187.138,7.29999999999999,0.418188
189.725,7.39999999999999,0.418983
192.282,7.499999999999989,0.419762
194.837,7.599999999999989,0.420716
197.411,7.699999999999989,0.421241
199.981,7.799999999999988,0.421368
202.538,7.899999999999988,0.421082
205.110,7.999999999999988,0.420875
207.682,8.099999999999987,0.420716
210.254,8.199999999999987,0.420541
212.811,8.299999999999986,0.420398
215.400,8.399999999999986,0.420064
217.971,8.499999999999986,0.419698
220.543,8.599999999999985,0.419667
223.103,8.699999999999985,0.419364
225.670,8.799999999999985,0.419603
228.227,8.899999999999984,0.420207
230.802,8.999999999999984,0.420923
233.376,9.099999999999984,0.421162
235.967,9.199999999999983,0.421686
238.515,9.299999999999983,0.42113
241.071,9.399999999999983,0.420764
243.631,9.499999999999982,0.420668
246.184,9.599999999999982,0.420478
248.741,9.699999999999982,0.420048
251.312,9.799999999999981,0.419571
253.885,9.89999999999998,0.418999
256.443,9.99999999999998,0.419046
259.013,10.09999999999998,0.418887
261.570,10.19999999999998,0.418633
264.127,10.29999999999998,0.418426
266.715,10.399999999999979,0.418267
269.369,10.499999999999979,0.418092
271.956,10.599999999999978,0.417869
274.527,10.699999999999978,0.417663
277.083,10.799999999999978,0.417695
279.639,10.899999999999977,0.41752
282.211,10.999999999999977,0.417217
284.847,11.099999999999977,0.417265
287.405,11.199999999999976,0.416852
290.009,11.299999999999976,0.416565
292.596,11.399999999999975,0.416343
295.168,11.499999999999975,0.415929
297.723,11.599999999999975,0.415897
300.311,11.699999999999974,0.415913
302.870,11.799999999999974,0.415691
305.441,11.899999999999974,0.41542
307.998,11.999999999999973,0.415245
310.573,12.099999999999973,0.415389
313.157,12.199999999999973,0.415055
315.730,12.299999999999972,0.414959
318.302,12.399999999999972,0.415277
320.891,12.499999999999972,0.415182
323.461,12.599999999999971,0.414991
326.019,12.69999999999997,0.414959
328.577,12.79999999999997,0.415007
331.147,12.89999999999997,0.415102
333.718,12.99999999999997,0.415086
