Time [s],Position [mm],Power [W]
0.003,0,0.363578
2.056,0.1,0.363504
4.628,0.2,0.363563
7.217,0.30000000000000004,0.363205
9.788,0.4,0.363384
12.346,0.5,0.363623
14.917,0.6,0.363444
17.506,0.7,0.363459
20.062,0.7999999999999999,0.363414
22.633,0.8999999999999999,0.363056
25.207,0.9999999999999999,0.36325
27.763,1.0999999999999999,0.363369
30.391,1.2,0.363384
33.449,1.3,0.363429
36.022,1.4000000000000001,0.363593
38.578,1.5000000000000002,0.363548
41.136,1.6000000000000003,0.363489
43.723,1.7000000000000004,0.363459
46.311,1.8000000000000005,0.363533
48.868,1.9000000000000006,0.363593
51.424,2.0000000000000004,0.363623
54.011,2.1000000000000005,0.363683
56.570,2.2000000000000006,0.363996
59.158,2.3000000000000007,0.363847
61.820,2.400000000000001,0.363981
64.382,2.500000000000001,0.36404
66.938,2.600000000000001,0.363861
69.525,2.700000000000001,0.364175
72.082,2.800000000000001,0.364145
74.653,2.9000000000000012,0.36407
77.225,3.0000000000000013,0.36416
79.822,3.1000000000000014,0.364339
82.370,3.2000000000000015,0.364234
84.928,3.3000000000000016,0.36404
87.482,3.4000000000000017,0.364279
90.040,3.5000000000000018,0.364413
92.630,3.600000000000002,0.36416
95.189,3.700000000000002,0.364413
97.739,3.800000000000002,0.364309
100.311,3.900000000000002,0.364354
102.868,4.000000000000002,0.364592
105.425,4.100000000000001,0.364249
107.983,4.200000000000001,0.364682
110.570,4.300000000000001,0.364741
113.972,4.4,0.364831
116.539,4.5,0.364741
119.117,4.6,0.365039
121.673,4.699999999999999,0.364816
124.245,4.799999999999999,0.364756
126.817,4.899999999999999,0.364995
129.405,4.999999999999998,0.364905
131.977,5.099999999999998,0.36501
134.569,5.1999999999999975,0.365099
137.138,5.299999999999997,0.365278
139.711,5.399999999999997,0.365666
142.311,5.4999999999999964,0.366083
144.887,5.599999999999996,0.366501
147.458,5.699999999999996,0.366098
150.030,5.799999999999995,0.365516
152.600,5.899999999999995,0.365516
155.175,5.999999999999995,0.365651
157.748,6.099999999999994,0.36574
160.305,6.199999999999994,0.365845
162.893,6.299999999999994,0.365531
165.494,6.399999999999993,0.365919
168.070,6.499999999999993,0.366038
170.626,6.5999999999999925,0.366158
173.197,6.699999999999992,0.36656
175.754,6.799999999999992,0.366545
178.342,6.8999999999999915,0.367052
180.914,6.999999999999991,0.367022
183.485,7.099999999999991,0.366694
186.059,7.19999999999999,0.366247
188.614,7.29999999999999,0.36574
191.170,7.39999999999999,0.365412
193.743,7.499999999999989,0.364711
196.316,7.599999999999989,0.36489
198.951,7.699999999999989,0.365159
201.570,7.799999999999988,0.365472
204.127,7.899999999999988,0.365338
206.682,7.999999999999988,0.365651
209.239,8.099999999999987,0.3658
211.797,8.199999999999987,0.365979
214.351,8.299999999999986,0.366009
216.923,8.399999999999986,0.365904
219.723,8.499999999999986,0.365785
222.308,8.599999999999985,0.365934
224.899,8.699999999999985,0.366232
227.452,8.799999999999985,0.366471
230.009,8.899999999999984,0.366158
232.566,8.999999999999984,0.366173
235.154,9.099999999999984,0.365964
237.718,9.199999999999983,0.366247
240.267,9.299999999999983,0.366202
242.839,9.399999999999983,0.36571
245.395,9.499999999999982,0.366038
247.967,9.599999999999982,0.365904
250.549,9.699999999999982,0.365725
253.096,9.799999999999981,0.36571
255.669,9.89999999999998,0.365815
258.230,9.99999999999998,0.365755
260.813,10.09999999999998,0.36577
263.390,10.19999999999998,0.365815
265.942,10.29999999999998,0.36574
268.514,10.399999999999979,0.365666
271.103,10.499999999999979,0.365412
273.674,10.599999999999978,0.365516
276.262,10.699999999999978,0.365472
278.836,10.799999999999978,0.365248
281.420,10.899999999999977,0.365024
283.995,10.999999999999977,0.36498
286.552,11.099999999999977,0.36495
289.124,11.199999999999976,0.365129
291.681,11.299999999999976,0.364786
294.237,11.399999999999975,0.364711
296.809,11.499999999999975,0.364503
299.381,11.599999999999975,0.364622
301.938,11.699999999999974,0.364294
304.510,11.799999999999974,0.364383
307.099,11.899999999999974,0.364219
309.685,11.999999999999973,0.36413
312.242,12.099999999999973,0.36407
314.862,12.199999999999973,0.36407
317.516,12.299999999999972,0.3641
320.088,12.399999999999972,0.364026
322.663,12.499999999999972,0.363951
325.214,12.599999999999971,0.363772
327.771,12.69999999999997,0.363653
330.327,12.79999999999997,0.363474
332.883,12.89999999999997,0.363474
335.440,12.99999999999997,0.36334
