Time [s],Position [mm],Power [W]
0.002,0,0.432516
2.053,0.1,0.43258
4.608,0.2,0.432501
7.165,0.30000000000000004,0.432676
9.721,0.4,0.432453
12.324,0.5,0.432389
14.881,0.6,0.432421
17.455,0.7,0.432787
20.026,0.7999999999999999,0.43258
22.647,0.8999999999999999,0.432628
25.219,0.9999999999999999,0.432803
27.780,1.0999999999999999,0.432755
30.330,1.2,0.432819
32.950,1.3,0.432771
35.506,1.4000000000000001,0.432691
38.062,1.5000000000000002,0.432866
40.619,1.6000000000000003,0.43293
43.337,1.7000000000000004,0.432628
45.892,1.8000000000000005,0.432787
48.449,1.9000000000000006,0.432787
51.004,2.0000000000000004,0.43285
53.578,2.1000000000000005,0.433057
56.148,2.2000000000000006,0.432628
58.738,2.3000000000000007,0.432866
61.309,2.400000000000001,0.432962
63.898,2.500000000000001,0.432866
66.502,2.600000000000001,0.432994
69.073,2.700000000000001,0.432866
71.629,2.800000000000001,0.432882
74.186,2.9000000000000012,0.433089
76.744,3.0000000000000013,0.4332
79.314,3.1000000000000014,0.433121
81.919,3.2000000000000015,0.433121
84.475,3.3000000000000016,0.433057
87.031,3.4000000000000017,0.433137
89.587,3.5000000000000018,0.433184
92.208,3.600000000000002,0.43328
94.764,3.700000000000002,0.432978
97.319,3.800000000000002,0.433041
99.876,3.900000000000002,0.433121
102.432,4.000000000000002,0.433343
104.989,4.100000000000001,0.433407
107.545,4.200000000000001,0.433089
110.101,4.300000000000001,0.433296
112.658,4.4,0.433296
115.214,4.5,0.433328
117.770,4.6,0.433328
120.326,4.699999999999999,0.433471
122.883,4.799999999999999,0.433487
125.440,4.899999999999999,0.433423
127.995,4.999999999999998,0.433916
130.552,5.099999999999998,0.434107
133.108,5.1999999999999975,0.434059
135.664,5.299999999999997,0.434314
138.219,5.399999999999997,0.434791
140.776,5.4999999999999964,0.435331
143.338,5.599999999999996,0.435268
145.907,5.699999999999996,0.434791
148.478,5.799999999999995,0.434552
151.034,5.899999999999995,0.434663
153.607,5.999999999999995,0.434504
156.196,6.099999999999994,0.43452
158.751,6.199999999999994,0.434632
161.307,6.299999999999994,0.434902
163.863,6.399999999999993,0.434759
166.420,6.499999999999993,0.434966
168.976,6.5999999999999925,0.435109
171.548,6.699999999999992,0.435808
174.136,6.799999999999992,0.43627
176.715,6.8999999999999915,0.436969
179.281,6.999999999999991,0.437462
181.868,7.099999999999991,0.437526
184.464,7.19999999999999,0.437367
187.093,7.29999999999999,0.437558
189.666,7.39999999999999,0.437606
192.238,7.499999999999989,0.437971
194.794,7.599999999999989,0.438098
197.366,7.699999999999989,0.437971
199.954,7.799999999999988,0.437955
202.543,7.899999999999988,0.437733
205.125,7.999999999999988,0.437924
207.688,8.099999999999987,0.438019
210.244,8.199999999999987,0.438019
212.801,8.299999999999986,0.43778
215.372,8.399999999999986,0.437749
217.961,8.499999999999986,0.437287
220.533,8.599999999999985,0.436985
223.091,8.699999999999985,0.436747
225.678,8.799999999999985,0.436317
228.266,8.899999999999984,0.436063
230.822,8.999999999999984,0.435777
233.394,9.099999999999984,0.435777
235.967,9.199999999999983,0.435586
238.524,9.299999999999983,0.43549
241.096,9.399999999999983,0.435315
243.667,9.499999999999982,0.435474
246.223,9.599999999999982,0.435109
248.783,9.699999999999982,0.435125
251.369,9.799999999999981,0.434791
253.925,9.89999999999998,0.434759
256.497,9.99999999999998,0.434663
259.052,10.09999999999998,0.434457
261.647,10.19999999999998,0.434314
264.198,10.29999999999998,0.434377
266.755,10.399999999999979,0.434361
269.327,10.499999999999979,0.434282
271.899,10.599999999999978,0.434345
274.516,10.699999999999978,0.434091
277.091,10.799999999999978,0.434123
279.663,10.899999999999977,0.434075
282.219,10.999999999999977,0.434043
284.836,11.099999999999977,0.4339
287.412,11.199999999999976,0.433661
289.967,11.299999999999976,0.434075
292.540,11.399999999999975,0.433805
295.113,11.499999999999975,0.434043
297.700,11.599999999999975,0.433757
300.273,11.699999999999974,0.433836
302.862,11.799999999999974,0.433789
305.432,11.899999999999974,0.433852
308.021,11.999999999999973,0.433836
310.594,12.099999999999973,0.433852
313.230,12.199999999999973,0.433789
315.786,12.299999999999972,0.433916
318.363,12.399999999999972,0.433646
320.946,12.499999999999972,0.433932
323.535,12.599999999999971,0.433964
326.108,12.69999999999997,0.4339
328.696,12.79999999999997,0.433805
331.251,12.89999999999997,0.433661
333.808,12.99999999999997,0.433757
