Time [s],Position [mm],Power [W]
0.002,0,0.443712
2.051,0.04,0.44349
4.609,0.08,0.443331
7.197,0.12,0.443347
9.787,0.16,0.443426
12.359,0.2,0.443347
14.930,0.24000000000000002,0.443172
17.519,0.28,0.443378
20.095,0.32,0.443569
22.663,0.36,0.443824
25.220,0.39999999999999997,0.443569
27.778,0.43999999999999995,0.443553
30.335,0.4799999999999999,0.443092
32.906,0.5199999999999999,0.443363
35.478,0.5599999999999999,0.443299
38.035,0.6,0.443363
40.591,0.64,0.443378
43.164,0.68,0.443474
45.755,0.7200000000000001,0.443522
48.309,0.7600000000000001,0.443347
50.867,0.8000000000000002,0.443776
53.423,0.8400000000000002,0.443553
55.994,0.8800000000000002,0.443458
58.582,0.9200000000000003,0.443633
61.172,0.9600000000000003,0.443553
63.728,1.0000000000000002,0.443728
66.332,1.0400000000000003,0.443792
68.921,1.0800000000000003,0.443744
71.477,1.1200000000000003,0.443474
74.050,1.1600000000000004,0.443378
76.637,1.2000000000000004,0.443363
79.227,1.2400000000000004,0.443537
81.799,1.2800000000000005,0.443553
84.357,1.3200000000000005,0.443522
86.913,1.3600000000000005,0.443935
89.485,1.4000000000000006,0.443299
92.040,1.4400000000000006,0.443537
94.597,1.4800000000000006,0.443426
97.171,1.5200000000000007,0.443331
99.758,1.5600000000000007,0.443633
102.330,1.6000000000000008,0.443378
104.887,1.6400000000000008,0.443506
107.476,1.6800000000000008,0.443251
110.033,1.7200000000000009,0.443347
112.592,1.760000000000001,0.443824
115.163,1.800000000000001,0.44384
117.750,1.840000000000001,0.443776
120.322,1.880000000000001,0.443776
122.894,1.920000000000001,0.443601
125.452,1.960000000000001,0.443347
128.038,2.000000000000001,0.443267
130.612,2.040000000000001,0.443585
133.184,2.080000000000001,0.443458
135.743,2.120000000000001,0.443537
138.297,2.160000000000001,0.443331
140.869,2.200000000000001,0.44341
143.458,2.240000000000001,0.44341
146.030,2.280000000000001,0.443522
148.620,2.320000000000001,0.443744
151.195,2.360000000000001,0.443522
153.748,2.4000000000000012,0.44384
156.324,2.4400000000000013,0.443442
158.879,2.4800000000000013,0.443522
161.433,2.5200000000000014,0.443426
163.988,2.5600000000000014,0.443506
166.545,2.6000000000000014,0.443124
169.101,2.6400000000000015,0.443506
171.659,2.6800000000000015,0.443537
174.246,2.7200000000000015,0.443553
176.804,2.7600000000000016,0.443426
179.359,2.8000000000000016,0.443442
181.916,2.8400000000000016,0.443267
184.472,2.8800000000000017,0.443283
187.029,2.9200000000000017,0.443283
189.585,2.9600000000000017,0.443283
192.142,3.0000000000000018,0.443378
194.698,3.040000000000002,0.443394
197.254,3.080000000000002,0.443808
199.812,3.120000000000002,0.443601
202.368,3.160000000000002,0.443347
204.925,3.200000000000002,0.443426
207.480,3.240000000000002,0.443712
210.036,3.280000000000002,0.443649
212.594,3.320000000000002,0.443681
215.166,3.360000000000002,0.443347
217.723,3.400000000000002,0.443712
220.310,3.440000000000002,0.443331
222.868,3.480000000000002,0.44306
225.423,3.5200000000000022,0.443633
227.980,3.5600000000000023,0.443458
230.537,3.6000000000000023,0.443474
233.125,3.6400000000000023,0.443665
235.681,3.6800000000000024,0.443537
238.237,3.7200000000000024,0.443537
240.794,3.7600000000000025,0.443681
243.351,3.8000000000000025,0.443251
245.939,3.8400000000000025,0.443537
248.512,3.8800000000000026,0.443458
251.102,3.9200000000000026,0.443347
253.656,3.9600000000000026,0.443426
256.213,4.000000000000003,0.443251
258.768,4.040000000000003,0.443553
261.326,4.080000000000003,0.443585
263.897,4.120000000000003,0.443394
266.487,4.160000000000003,0.443744
269.102,4.200000000000003,0.443426
271.663,4.240000000000003,0.443633
274.220,4.280000000000003,0.443712
276.808,4.320000000000003,0.443696
279.382,4.360000000000003,0.443378
281.969,4.400000000000003,0.443506
284.558,4.440000000000003,0.443871
287.131,4.480000000000003,0.443776
289.690,4.520000000000003,0.443553
292.243,4.560000000000003,0.443681
294.816,4.600000000000003,0.443633
297.389,4.640000000000003,0.443235
299.960,4.680000000000003,0.443363
302.548,4.720000000000003,0.443315
305.138,4.760000000000003,0.443347
307.693,4.800000000000003,0.443219
310.250,4.840000000000003,0.443426
312.839,4.8800000000000034,0.44349
315.410,4.9200000000000035,0.443315
317.968,4.9600000000000035,0.443458
320.529,5.0000000000000036,0.443506
323.100,5.040000000000004,0.443315
325.653,5.080000000000004,0.443681
328.224,5.120000000000004,0.443569
330.797,5.160000000000004,0.443522
333.355,5.200000000000004,0.443887
335.926,5.240000000000004,0.443474
338.523,5.280000000000004,0.44341
341.101,5.320000000000004,0.443506
343.659,5.360000000000004,0.443808
346.216,5.400000000000004,0.443537
348.773,5.440000000000004,0.443537
351.330,5.480000000000004,0.443442
353.885,5.520000000000004,0.443728
356.455,5.560000000000004,0.443617
359.030,5.600000000000004,0.443744
361.602,5.640000000000004,0.443633
364.160,5.680000000000004,0.444094
366.716,5.720000000000004,0.444285
369.289,5.760000000000004,0.44411
371.881,5.800000000000004,0.443903
374.452,5.840000000000004,0.444015
377.022,5.880000000000004,0.444078
379.578,5.920000000000004,0.444555
382.151,5.960000000000004,0.444269
384.707,6.000000000000004,0.444762
387.295,6.0400000000000045,0.44508
389.868,6.0800000000000045,0.444985
392.424,6.1200000000000045,0.444571
394.981,6.160000000000005,0.444333
397.553,6.200000000000005,0.444046
400.142,6.240000000000005,0.444046
402.698,6.280000000000005,0.443665
405.270,6.320000000000005,0.443696
407.843,6.360000000000005,0.443871
410.415,6.400000000000005,0.443824
412.972,6.440000000000005,0.443903
415.560,6.480000000000005,0.443903
418.132,6.520000000000005,0.44384
420.690,6.560000000000005,0.443696
423.246,6.600000000000005,0.444062
425.818,6.640000000000005,0.443967
428.406,6.680000000000005,0.443808
430.969,6.720000000000005,0.443871
