Time [s],Position [mm],Power [W]
0.003,0,0.4353
2.070,0.04,0.435077
4.627,0.08,0.43514
7.199,0.12,0.435045
9.756,0.16,0.434918
12.345,0.2,0.435077
14.919,0.24000000000000002,0.434934
17.521,0.28,0.43487
20.082,0.32,0.434997
22.666,0.36,0.435013
25.223,0.39999999999999997,0.43495
27.812,0.43999999999999995,0.434934
30.408,0.4799999999999999,0.435172
32.956,0.5199999999999999,0.435061
35.529,0.5599999999999999,0.435077
38.117,0.6,0.435077
40.690,0.64,0.435188
43.247,0.68,0.434997
45.817,0.7200000000000001,0.435284
48.406,0.7600000000000001,0.434981
50.979,0.8000000000000002,0.435125
53.552,0.8400000000000002,0.435268
56.108,0.8800000000000002,0.43522
58.680,0.9200000000000003,0.43522
61.236,0.9600000000000003,0.435109
63.811,1.0000000000000002,0.435188
66.368,1.0400000000000003,0.435268
68.954,1.0800000000000003,0.435125
71.527,1.1200000000000003,0.435252
74.114,1.1600000000000004,0.435045
76.675,1.2000000000000004,0.43522
79.243,1.2400000000000004,0.435093
81.816,1.2800000000000005,0.4353
84.373,1.3200000000000005,0.435268
86.962,1.3600000000000005,0.435172
89.533,1.4000000000000006,0.435077
92.089,1.4400000000000006,0.435125
94.662,1.4800000000000006,0.434981
97.225,1.5200000000000007,0.435268
99.792,1.5600000000000007,0.435172
102.364,1.6000000000000008,0.435474
104.921,1.6400000000000008,0.435156
107.478,1.6800000000000008,0.435188
110.056,1.7200000000000009,0.435379
112.642,1.760000000000001,0.435093
115.194,1.800000000000001,0.435315
117.751,1.840000000000001,0.435379
120.340,1.880000000000001,0.435236
122.928,1.920000000000001,0.435315
125.500,1.960000000000001,0.435363
128.088,2.000000000000001,0.435188
130.660,2.040000000000001,0.435331
133.218,2.080000000000001,0.435125
135.790,2.120000000000001,0.435236
138.347,2.160000000000001,0.435379
140.902,2.200000000000001,0.435188
143.475,2.240000000000001,0.435109
146.047,2.280000000000001,0.43522
148.621,2.320000000000001,0.4353
151.175,2.360000000000001,0.435156
153.764,2.4000000000000012,0.435395
156.345,2.4400000000000013,0.435188
158.914,2.4800000000000013,0.435236
161.496,2.5200000000000014,0.435236
164.054,2.5600000000000014,0.435188
166.628,2.6000000000000014,0.4353
169.200,2.6400000000000015,0.435252
171.759,2.6800000000000015,0.435172
174.346,2.7200000000000015,0.43549
176.900,2.7600000000000016,0.435427
179.457,2.8000000000000016,0.435045
182.013,2.8400000000000016,0.435315
184.570,2.8800000000000017,0.435538
187.126,2.9200000000000017,0.435443
189.683,2.9600000000000017,0.435395
192.238,3.0000000000000018,0.435793
194.794,3.040000000000002,0.435459
197.351,3.080000000000002,0.435395
199.907,3.120000000000002,0.435252
202.464,3.160000000000002,0.435506
205.021,3.200000000000002,0.435586
207.578,3.240000000000002,0.435363
210.133,3.280000000000002,0.435395
212.690,3.320000000000002,0.435315
215.247,3.360000000000002,0.435347
217.804,3.400000000000002,0.435204
220.360,3.440000000000002,0.435331
222.918,3.480000000000002,0.435618
225.506,3.5200000000000022,0.435395
228.062,3.5600000000000023,0.435522
230.651,3.6000000000000023,0.435427
233.224,3.6400000000000023,0.435506
235.781,3.6800000000000024,0.435634
238.353,3.7200000000000024,0.435315
240.923,3.7600000000000025,0.435379
243.481,3.8000000000000025,0.4353
246.045,3.8400000000000025,0.435522
248.594,3.8800000000000026,0.435586
251.167,3.9200000000000026,0.435459
253.741,3.9600000000000026,0.435634
256.294,4.000000000000003,0.435395
258.856,4.040000000000003,0.435538
261.425,4.080000000000003,0.43549
264.013,4.120000000000003,0.435395
266.585,4.160000000000003,0.435427
269.141,4.200000000000003,0.435395
271.714,4.240000000000003,0.43549
274.270,4.280000000000003,0.435634
276.843,4.320000000000003,0.435506
279.432,4.360000000000003,0.435634
282.004,4.400000000000003,0.435506
284.577,4.440000000000003,0.435363
287.150,4.480000000000003,0.435697
289.722,4.520000000000003,0.435665
292.294,4.560000000000003,0.435761
294.851,4.600000000000003,0.435793
297.439,4.640000000000003,0.435808
300.027,4.680000000000003,0.435793
302.598,4.720000000000003,0.435634
305.174,4.760000000000003,0.435793
307.730,4.800000000000003,0.435729
310.303,4.840000000000003,0.435634
312.875,4.8800000000000034,0.43584
315.463,4.9200000000000035,0.435856
318.035,4.9600000000000035,0.435793
320.592,5.0000000000000036,0.435729
323.149,5.040000000000004,0.435665
325.721,5.080000000000004,0.435936
328.276,5.120000000000004,0.435729
330.849,5.160000000000004,0.435634
333.406,5.200000000000004,0.435808
335.978,5.240000000000004,0.435634
338.565,5.280000000000004,0.435729
341.124,5.320000000000004,0.435824
343.680,5.360000000000004,0.435856
346.245,5.400000000000004,0.435745
348.824,5.440000000000004,0.436142
351.396,5.480000000000004,0.435967
353.985,5.520000000000004,0.435649
356.558,5.560000000000004,0.435904
359.146,5.600000000000004,0.436063
361.702,5.640000000000004,0.436206
364.275,5.680000000000004,0.436127
366.847,5.720000000000004,0.43619
369.420,5.760000000000004,0.436429
371.976,5.800000000000004,0.436492
374.566,5.840000000000004,0.43646
377.137,5.880000000000004,0.436731
379.710,5.920000000000004,0.436826
382.268,5.960000000000004,0.436604
384.860,6.000000000000004,0.437335
387.442,6.0400000000000045,0.437351
389.999,6.0800000000000045,0.437224
392.557,6.1200000000000045,0.437017
395.144,6.160000000000005,0.437081
397.726,6.200000000000005,0.436922
400.290,6.240000000000005,0.436953
402.879,6.280000000000005,0.436763
405.472,6.320000000000005,0.436476
408.023,6.360000000000005,0.43654
410.615,6.400000000000005,0.436286
413.168,6.440000000000005,0.436111
415.740,6.480000000000005,0.436619
418.297,6.520000000000005,0.43654
420.853,6.560000000000005,0.436683
423.411,6.600000000000005,0.436683
425.982,6.640000000000005,0.436651
428.555,6.680000000000005,0.43681
431.144,6.720000000000005,0.436747
433.700,6.760000000000005,0.436635
436.273,6.800000000000005,0.43681
438.828,6.840000000000005,0.436985
441.400,6.880000000000005,0.436858
443.974,6.920000000000005,0.436938
446.562,6.960000000000005,0.43716
449.135,7.000000000000005,0.437097
451.728,7.040000000000005,0.437462
454.283,7.080000000000005,0.43751
456.851,7.120000000000005,0.437494
459.425,7.1600000000000055,0.437415
461.997,7.2000000000000055,0.437606
464.558,7.2400000000000055,0.438003
467.125,7.280000000000006,0.438512
469.703,7.320000000000006,0.438576
472.255,7.360000000000006,0.438464
474.829,7.400000000000006,0.438878
477.403,7.440000000000006,0.439196
479.989,7.480000000000006,0.438973
482.560,7.520000000000006,0.439259
485.134,7.560000000000006,0.439244
487.706,7.600000000000006,0.438973
490.278,7.640000000000006,0.439132
492.855,7.680000000000006,0.438941
495.407,7.720000000000006,0.438862
497.996,7.760000000000006,0.438941
500.552,7.800000000000006,0.438925
503.109,7.840000000000006,0.439085
505.696,7.880000000000006,0.439244
508.253,7.920000000000006,0.439418
510.858,7.960000000000006,0.439371
513.415,8.000000000000005,0.439275
515.987,8.040000000000004,0.439275
518.547,8.080000000000004,0.439355
521.117,8.120000000000003,0.439291
523.689,8.160000000000002,0.439355
526.276,8.200000000000001,0.439466
528.848,8.24,0.439244
531.439,8.28,0.439403
534.017,8.319999999999999,0.439307
536.599,8.359999999999998,0.43945
539.218,8.399999999999997,0.439275
541.776,8.439999999999996,0.439196
544.370,8.479999999999995,0.439085
546.921,8.519999999999994,0.439244
549.476,8.559999999999993,0.439355
552.034,8.599999999999993,0.439466
554.593,8.639999999999992,0.439562
557.178,8.67999999999999,0.439116
559.750,8.71999999999999,0.439593
562.308,8.75999999999999,0.438989
564.880,8.799999999999988,0.439021
567.469,8.839999999999987,0.439148
570.040,8.879999999999987,0.438862
572.615,8.919999999999986,0.43883
575.201,8.959999999999985,0.439116
577.774,8.999999999999984,0.438862
580.363,9.039999999999983,0.438671
582.939,9.079999999999982,0.438894
585.508,9.119999999999981,0.438639
588.079,9.15999999999998,0.43821
590.652,9.19999999999998,0.438146
593.225,9.239999999999979,0.438067
595.814,9.279999999999978,0.438003
598.386,9.319999999999977,0.437908
600.974,9.359999999999976,0.437701
603.531,9.399999999999975,0.437637
606.104,9.439999999999975,0.437653
608.677,9.479999999999974,0.437606
611.264,9.519999999999973,0.437653
613.821,9.559999999999972,0.437526
616.386,9.599999999999971,0.43724
618.950,9.63999999999997,0.437065
621.506,9.67999999999997,0.437001
624.080,9.719999999999969,0.436922
626.636,9.759999999999968,0.437033
629.192,9.799999999999967,0.436826
631.764,9.839999999999966,0.436763
634.321,9.879999999999965,0.436683
636.878,9.919999999999964,0.43654
639.434,9.959999999999964,0.436445
642.006,9.999999999999963,0.436651
644.564,10.039999999999962,0.436922
647.135,10.079999999999961,0.436476
649.692,10.11999999999996,0.436381
652.265,10.15999999999996,0.436492
654.836,10.199999999999958,0.43654
657.393,10.239999999999958,0.436476
659.949,10.279999999999957,0.436349
662.511,10.319999999999956,0.436111
665.078,10.359999999999955,0.436238
667.699,10.399999999999954,0.436365
670.256,10.439999999999953,0.436142
672.852,10.479999999999952,0.436254
675.399,10.519999999999952,0.436142
677.989,10.55999999999995,0.436142
680.560,10.59999999999995,0.435808
683.150,10.639999999999949,0.436015
685.705,10.679999999999948,0.435904
688.278,10.719999999999947,0.436158
690.850,10.759999999999946,0.436079
693.440,10.799999999999946,0.436063
695.998,10.839999999999945,0.43592
698.553,10.879999999999944,0.435602
701.123,10.919999999999943,0.435872
703.729,10.959999999999942,0.436063
706.301,10.999999999999941,0.435808
708.858,11.03999999999994,0.43557
711.430,11.07999999999994,0.435888
714.019,11.119999999999939,0.435729
716.576,11.159999999999938,0.435824
719.162,11.199999999999937,0.436095
721.725,11.239999999999936,0.435634
724.293,11.279999999999935,0.43592
726.849,11.319999999999935,0.435952
729.422,11.359999999999934,0.435649
731.996,11.399999999999933,0.435777
734.550,11.439999999999932,0.435761
737.138,11.479999999999931,0.435665
739.712,11.51999999999993,0.435634
742.286,11.55999999999993,0.435761
744.872,11.599999999999929,0.435697
747.444,11.639999999999928,0.435554
750.036,11.679999999999927,0.435411
752.591,11.719999999999926,0.435474
755.178,11.759999999999925,0.435618
757.735,11.799999999999924,0.435649
760.307,11.839999999999923,0.435649
762.895,11.879999999999923,0.435554
765.468,11.919999999999922,0.435522
768.046,11.959999999999921,0.435363
770.628,11.99999999999992,0.435649
773.200,12.03999999999992,0.435808
775.774,12.079999999999918,0.435586
778.329,12.119999999999918,0.435777
780.902,12.159999999999917,0.435602
783.458,12.199999999999916,0.435681
786.047,12.239999999999915,0.435554
788.620,12.279999999999914,0.43557
791.256,12.319999999999913,0.435427
793.813,12.359999999999912,0.435554
796.386,12.399999999999912,0.435713
798.974,12.43999999999991,0.435586
801.546,12.47999999999991,0.435315
804.103,12.519999999999909,0.43549
806.691,12.559999999999908,0.435363
809.264,12.599999999999907,0.435284
811.820,12.639999999999906,0.43522
814.376,12.679999999999906,0.435109
816.932,12.719999999999905,0.435363
819.491,12.759999999999904,0.435411
822.063,12.799999999999903,0.4353
824.651,12.839999999999902,0.435474
827.240,12.879999999999901,0.435395
829.795,12.9199999999999,0.435331
832.368,12.9599999999999,0.435427
834.925,12.999999999999899,0.435236
