Time [s],Position [mm],Power [W]
0.003,0,0.428731
2.047,0.04,0.428811
4.632,0.08,0.4287
7.192,0.12,0.428684
9.750,0.16,0.428493
12.343,0.2,0.428382
14.899,0.24000000000000002,0.428254
17.449,0.28,0.428461
20.007,0.32,0.428286
22.567,0.36,0.428477
25.120,0.39999999999999997,0.428254
27.675,0.43999999999999995,0.428286
30.233,0.4799999999999999,0.428016
32.826,0.5199999999999999,0.42835
35.392,0.5599999999999999,0.428064
37.946,0.6,0.428064
40.502,0.64,0.427984
43.059,0.68,0.427936
45.615,0.7200000000000001,0.428127
48.173,0.7600000000000001,0.428111
50.729,0.8000000000000002,0.427968
53.286,0.8400000000000002,0.427952
55.842,0.8800000000000002,0.427825
58.398,0.9200000000000003,0.427857
60.955,0.9600000000000003,0.427904
63.526,1.0000000000000002,0.427698
66.083,1.0400000000000003,0.427857
68.640,1.0800000000000003,0.427634
71.199,1.1200000000000003,0.427714
73.755,1.1600000000000004,0.427745
76.306,1.2000000000000004,0.427825
78.882,1.2400000000000004,0.427745
81.437,1.2800000000000005,0.42792
83.993,1.3200000000000005,0.427777
86.549,1.3600000000000005,0.427507
89.106,1.4000000000000006,0.427602
91.662,1.4400000000000006,0.427634
94.228,1.4800000000000006,0.427507
96.775,1.5200000000000007,0.427443
99.331,1.5600000000000007,0.427348
101.887,1.6000000000000008,0.427427
104.444,1.6400000000000008,0.427571
107.016,1.6800000000000008,0.427539
109.572,1.7200000000000009,0.427507
112.152,1.760000000000001,0.427396
114.700,1.800000000000001,0.42738
117.268,1.840000000000001,0.427745
119.814,1.880000000000001,0.427539
122.371,1.920000000000001,0.427491
124.926,1.960000000000001,0.427571
127.483,2.000000000000001,0.4273
130.039,2.040000000000001,0.427316
132.594,2.080000000000001,0.427475
135.150,2.120000000000001,0.427459
137.707,2.160000000000001,0.427237
140.263,2.200000000000001,0.427221
142.820,2.240000000000001,0.427411
145.377,2.280000000000001,0.427332
147.933,2.320000000000001,0.427539
150.490,2.360000000000001,0.4273
153.047,2.4000000000000012,0.427221
155.603,2.4400000000000013,0.427189
158.159,2.4800000000000013,0.427046
160.714,2.5200000000000014,0.427014
163.271,2.5600000000000014,0.427205
165.827,2.6000000000000014,0.427078
168.385,2.6400000000000015,0.426934
170.941,2.6800000000000015,0.427173
173.497,2.7200000000000015,0.427284
176.054,2.7600000000000016,0.427014
178.623,2.8000000000000016,0.427348
181.182,2.8400000000000016,0.427141
183.738,2.8800000000000017,0.427173
186.294,2.9200000000000017,0.42695
188.850,2.9600000000000017,0.427046
191.407,3.0000000000000018,0.427221
193.963,3.040000000000002,0.427284
196.520,3.080000000000002,0.427332
199.075,3.120000000000002,0.427316
201.632,3.160000000000002,0.427252
204.188,3.200000000000002,0.427316
206.744,3.240000000000002,0.427539
209.301,3.280000000000002,0.427491
211.857,3.320000000000002,0.427571
214.413,3.360000000000002,0.427555
216.972,3.400000000000002,0.42765
219.526,3.440000000000002,0.427634
222.086,3.480000000000002,0.427634
224.639,3.5200000000000022,0.427523
227.195,3.5600000000000023,0.427841
229.751,3.6000000000000023,0.427984
232.306,3.6400000000000023,0.427952
234.863,3.6800000000000024,0.428095
237.420,3.7200000000000024,0.427952
239.976,3.7600000000000025,0.427857
242.531,3.8000000000000025,0.428223
245.088,3.8400000000000025,0.428159
247.644,3.8800000000000026,0.428095
250.201,3.9200000000000026,0.428191
252.757,3.9600000000000026,0.428286
255.314,4.000000000000003,0.428525
257.870,4.040000000000003,0.428429
260.426,4.080000000000003,0.428747
262.983,4.120000000000003,0.428747
265.539,4.160000000000003,0.428716
268.095,4.200000000000003,0.428906
270.651,4.240000000000003,0.428891
273.207,4.280000000000003,0.428986
275.765,4.320000000000003,0.429018
278.320,4.360000000000003,0.429209
280.877,4.400000000000003,0.429161
283.435,4.440000000000003,0.429034
285.989,4.480000000000003,0.429447
288.545,4.520000000000003,0.429399
291.102,4.560000000000003,0.429352
293.660,4.600000000000003,0.429161
296.215,4.640000000000003,0.429368
298.771,4.680000000000003,0.429495
301.328,4.720000000000003,0.429399
303.883,4.760000000000003,0.429431
306.439,4.800000000000003,0.429336
308.995,4.840000000000003,0.42959
311.551,4.8800000000000034,0.429415
314.108,4.9200000000000035,0.429447
316.666,4.9600000000000035,0.429638
319.221,5.0000000000000036,0.429813
321.778,5.040000000000004,0.429686
324.334,5.080000000000004,0.429638
326.890,5.120000000000004,0.429924
329.447,5.160000000000004,0.430051
332.004,5.200000000000004,0.430163
334.559,5.240000000000004,0.430131
337.115,5.280000000000004,0.430051
339.671,5.320000000000004,0.429606
342.228,5.360000000000004,0.430163
344.784,5.400000000000004,0.430163
