Time [s],Position [mm],Power [W]
0.003,0,0.431181
2.066,0.04,0.430799
4.623,0.08,0.430942
7.179,0.12,0.431022
9.735,0.16,0.431101
12.290,0.2,0.431022
14.848,0.24000000000000002,0.430894
17.404,0.28,0.431037
19.960,0.32,0.431133
22.526,0.36,0.431053
25.071,0.39999999999999997,0.431212
27.627,0.43999999999999995,0.431419
30.183,0.4799999999999999,0.431165
32.740,0.5199999999999999,0.431022
35.296,0.5599999999999999,0.431022
37.852,0.6,0.431022
40.409,0.64,0.430974
42.965,0.68,0.431006
45.521,0.7200000000000001,0.431037
48.076,0.7600000000000001,0.431244
50.631,0.8000000000000002,0.431196
53.189,0.8400000000000002,0.431085
55.745,0.8800000000000002,0.431037
58.301,0.9200000000000003,0.431212
60.889,0.9600000000000003,0.431292
63.444,1.0000000000000002,0.43099
66.001,1.0400000000000003,0.431117
68.556,1.0800000000000003,0.431053
71.113,1.1200000000000003,0.431053
73.670,1.1600000000000004,0.430974
76.226,1.2000000000000004,0.431133
78.781,1.2400000000000004,0.431212
81.338,1.2800000000000005,0.431117
83.894,1.3200000000000005,0.431069
86.450,1.3600000000000005,0.431149
89.006,1.4000000000000006,0.431133
91.564,1.4400000000000006,0.431149
94.119,1.4800000000000006,0.431165
96.676,1.5200000000000007,0.431022
99.232,1.5600000000000007,0.430974
101.790,1.6000000000000008,0.431037
104.342,1.6400000000000008,0.431356
106.898,1.6800000000000008,0.431276
109.455,1.7200000000000009,0.431085
112.011,1.760000000000001,0.431165
114.568,1.800000000000001,0.431101
117.125,1.840000000000001,0.431181
119.681,1.880000000000001,0.43099
122.236,1.920000000000001,0.431212
124.792,1.960000000000001,0.431101
127.348,2.000000000000001,0.430926
129.937,2.040000000000001,0.431053
132.493,2.080000000000001,0.431117
135.050,2.120000000000001,0.431069
137.604,2.160000000000001,0.431149
140.162,2.200000000000001,0.43126
142.717,2.240000000000001,0.431101
145.289,2.280000000000001,0.431149
147.845,2.320000000000001,0.431069
150.403,2.360000000000001,0.43091
152.958,2.4000000000000012,0.431181
155.514,2.4400000000000013,0.431244
158.071,2.4800000000000013,0.431069
160.626,2.5200000000000014,0.431292
163.183,2.5600000000000014,0.431117
165.740,2.6000000000000014,0.431069
168.295,2.6400000000000015,0.431069
170.852,2.6800000000000015,0.431196
173.407,2.7200000000000015,0.431101
175.963,2.7600000000000016,0.431276
178.520,2.8000000000000016,0.431467
181.075,2.8400000000000016,0.43126
183.631,2.8800000000000017,0.431037
186.188,2.9200000000000017,0.431085
188.745,2.9600000000000017,0.431069
191.300,3.0000000000000018,0.431006
193.856,3.040000000000002,0.431276
196.412,3.080000000000002,0.431117
198.969,3.120000000000002,0.431212
201.525,3.160000000000002,0.431181
204.080,3.200000000000002,0.431212
206.638,3.240000000000002,0.431228
209.193,3.280000000000002,0.431101
211.754,3.320000000000002,0.431037
214.306,3.360000000000002,0.43134
216.863,3.400000000000002,0.431244
219.434,3.440000000000002,0.43134
