Time [s],Position [mm],Power [W]
0.002,0,0.420843
2.054,0.04,0.420875
4.626,0.08,0.421002
7.184,0.12,0.421018
9.738,0.16,0.420828
12.293,0.2,0.421002
14.851,0.24000000000000002,0.42113
17.408,0.28,0.421162
19.963,0.32,0.420716
22.519,0.36,0.420812
25.085,0.39999999999999997,0.420637
27.631,0.43999999999999995,0.421098
30.187,0.4799999999999999,0.420875
32.744,0.5199999999999999,0.420859
35.300,0.5599999999999999,0.420939
37.858,0.6,0.421034
40.412,0.64,0.420716
42.971,0.68,0.420875
45.524,0.7200000000000001,0.420621
48.081,0.7600000000000001,0.420748
50.636,0.8000000000000002,0.420573
53.192,0.8400000000000002,0.420843
55.780,0.8800000000000002,0.420668
58.370,0.9200000000000003,0.420573
60.925,0.9600000000000003,0.420557
63.481,1.0000000000000002,0.420573
66.037,1.0400000000000003,0.420398
68.594,1.0800000000000003,0.420382
71.150,1.1200000000000003,0.420589
73.706,1.1600000000000004,0.420557
76.263,1.2000000000000004,0.420255
78.818,1.2400000000000004,0.420271
81.391,1.2800000000000005,0.420207
83.947,1.3200000000000005,0.420398
86.502,1.3600000000000005,0.420128
89.058,1.4000000000000006,0.420223
91.614,1.4400000000000006,0.42035
94.186,1.4800000000000006,0.420175
96.742,1.5200000000000007,0.420048
99.299,1.5600000000000007,0.420096
101.854,1.6000000000000008,0.419873
104.410,1.6400000000000008,0.420112
106.967,1.6800000000000008,0.420255
109.536,1.7200000000000009,0.420112
112.095,1.760000000000001,0.420128
114.651,1.800000000000001,0.420191
117.207,1.840000000000001,0.420048
119.795,1.880000000000001,0.420144
122.352,1.920000000000001,0.420271
124.908,1.960000000000001,0.42016
127.464,2.000000000000001,0.419953
130.020,2.040000000000001,0.420191
132.577,2.080000000000001,0.420144
135.132,2.120000000000001,0.420016
137.690,2.160000000000001,0.420016
140.244,2.200000000000001,0.419969
142.801,2.240000000000001,0.419905
145.356,2.280000000000001,0.419841
147.913,2.320000000000001,0.419873
150.469,2.360000000000001,0.419714
153.025,2.4000000000000012,0.420064
155.598,2.4400000000000013,0.419794
158.154,2.4800000000000013,0.419714
160.710,2.5200000000000014,0.419889
163.266,2.5600000000000014,0.419683
165.822,2.6000000000000014,0.41973
168.378,2.6400000000000015,0.419587
170.934,2.6800000000000015,0.419857
173.496,2.7200000000000015,0.419905
176.048,2.7600000000000016,0.419762
178.603,2.8000000000000016,0.419428
181.159,2.8400000000000016,0.419651
183.733,2.8800000000000017,0.419492
186.288,2.9200000000000017,0.419635
188.856,2.9600000000000017,0.419603
191.415,3.0000000000000018,0.419412
193.970,3.040000000000002,0.419364
196.531,3.080000000000002,0.419412
199.085,3.120000000000002,0.419317
201.640,3.160000000000002,0.419348
204.197,3.200000000000002,0.419285
206.754,3.240000000000002,0.419348
209.310,3.280000000000002,0.419364
211.864,3.320000000000002,0.419174
214.421,3.360000000000002,0.419158
216.976,3.400000000000002,0.419333
219.533,3.440000000000002,0.419142
222.088,3.480000000000002,0.419253
224.644,3.5200000000000022,0.418999
227.201,3.5600000000000023,0.41911
229.758,3.6000000000000023,0.419174
232.314,3.6400000000000023,0.41903
234.870,3.6800000000000024,0.419205
237.425,3.7200000000000024,0.419015
239.983,3.7600000000000025,0.418999
242.539,3.8000000000000025,0.419078
245.097,3.8400000000000025,0.418744
247.650,3.8800000000000026,0.419046
250.210,3.9200000000000026,0.41911
252.765,3.9600000000000026,0.418999
255.321,4.000000000000003,0.41903
257.876,4.040000000000003,0.418553
260.432,4.080000000000003,0.418887
262.988,4.120000000000003,0.418951
