Time [s],Position [mm],Power [W]
0.002,0,0.418537
2.054,0.04,0.418681
4.609,0.08,0.418394
7.167,0.12,0.418856
9.721,0.16,0.418696
12.294,0.2,0.418347
14.849,0.24000000000000002,0.418426
17.406,0.28,0.418458
19.963,0.32,0.418665
22.519,0.36,0.418585
25.107,0.39999999999999997,0.418569
27.663,0.43999999999999995,0.418633
30.219,0.4799999999999999,0.41884
32.777,0.5199999999999999,0.418569
35.335,0.5599999999999999,0.418633
37.890,0.6,0.418665
40.443,0.64,0.418553
43.001,0.68,0.418537
45.557,0.7200000000000001,0.418585
48.112,0.7600000000000001,0.418537
50.668,0.8000000000000002,0.418649
53.225,0.8400000000000002,0.418299
55.780,0.8800000000000002,0.418378
58.336,0.9200000000000003,0.418394
60.911,0.9600000000000003,0.41814
63.465,1.0000000000000002,0.418362
66.022,1.0400000000000003,0.418553
68.577,1.0800000000000003,0.418585
71.135,1.1200000000000003,0.418506
73.691,1.1600000000000004,0.418442
76.246,1.2000000000000004,0.418506
78.801,1.2400000000000004,0.418553
81.357,1.2800000000000005,0.418347
83.915,1.3200000000000005,0.418315
86.470,1.3600000000000005,0.418649
89.026,1.4000000000000006,0.418617
91.585,1.4400000000000006,0.418649
94.139,1.4800000000000006,0.418649
96.698,1.5200000000000007,0.418537
99.252,1.5600000000000007,0.418537
101.807,1.6000000000000008,0.418601
104.362,1.6400000000000008,0.418696
106.920,1.6800000000000008,0.418776
109.476,1.7200000000000009,0.418967
112.032,1.760000000000001,0.418506
114.589,1.800000000000001,0.418601
117.143,1.840000000000001,0.418681
119.700,1.880000000000001,0.418856
122.256,1.920000000000001,0.418649
124.811,1.960000000000001,0.418967
127.367,2.000000000000001,0.418712
129.924,2.040000000000001,0.418728
132.479,2.080000000000001,0.41876
135.035,2.120000000000001,0.41884
137.593,2.160000000000001,0.418935
140.149,2.200000000000001,0.418665
142.705,2.240000000000001,0.418712
145.259,2.280000000000001,0.418999
147.823,2.320000000000001,0.418712
150.372,2.360000000000001,0.418999
152.929,2.4000000000000012,0.419015
155.485,2.4400000000000013,0.419015
158.041,2.4800000000000013,0.419237
160.597,2.5200000000000014,0.419094
163.153,2.5600000000000014,0.419158
165.710,2.6000000000000014,0.419142
168.266,2.6400000000000015,0.419046
170.822,2.6800000000000015,0.419078
173.395,2.7200000000000015,0.418999
175.950,2.7600000000000016,0.419205
178.506,2.8000000000000016,0.419046
181.063,2.8400000000000016,0.419285
183.618,2.8800000000000017,0.419237
186.175,2.9200000000000017,0.419221
188.732,2.9600000000000017,0.419205
191.288,3.0000000000000018,0.419269
193.843,3.040000000000002,0.419603
196.400,3.080000000000002,0.419396
198.971,3.120000000000002,0.419508
201.528,3.160000000000002,0.419492
204.084,3.200000000000002,0.419428
206.653,3.240000000000002,0.419667
209.196,3.280000000000002,0.419603
211.754,3.320000000000002,0.419555
214.349,3.360000000000002,0.419619
216.898,3.400000000000002,0.419857
219.453,3.440000000000002,0.419619
222.010,3.480000000000002,0.419523
224.565,3.5200000000000022,0.419698
227.122,3.5600000000000023,0.41981
229.680,3.6000000000000023,0.419714
232.236,3.6400000000000023,0.41973
