Time [s],Position [mm],Power [W]
0.003,0,0.416979
2.050,0.04,0.416772
4.606,0.08,0.416804
7.162,0.12,0.416979
9.719,0.16,0.41682
12.275,0.2,0.416915
14.831,0.24000000000000002,0.417042
17.403,0.28,0.417042
19.959,0.32,0.417074
22.516,0.36,0.416995
25.072,0.39999999999999997,0.416788
27.628,0.43999999999999995,0.417138
30.185,0.4799999999999999,0.417011
32.740,0.5199999999999999,0.416756
35.296,0.5599999999999999,0.416931
37.853,0.6,0.416931
40.407,0.64,0.416899
42.963,0.68,0.417058
45.504,0.7200000000000001,0.416947
48.062,0.7600000000000001,0.416597
50.617,0.8000000000000002,0.416868
53.172,0.8400000000000002,0.416645
55.731,0.8800000000000002,0.416883
58.286,0.9200000000000003,0.417042
60.843,0.9600000000000003,0.416677
63.398,1.0000000000000002,0.41682
65.955,1.0400000000000003,0.416963
68.545,1.0800000000000003,0.416709
71.101,1.1200000000000003,0.416947
73.686,1.1600000000000004,0.416963
76.243,1.2000000000000004,0.416899
78.800,1.2400000000000004,0.416804
81.356,1.2800000000000005,0.416438
83.912,1.3200000000000005,0.416661
86.468,1.3600000000000005,0.416883
89.024,1.4000000000000006,0.416677
91.581,1.4400000000000006,0.416534
94.137,1.4800000000000006,0.416995
96.692,1.5200000000000007,0.416772
99.248,1.5600000000000007,0.416661
101.805,1.6000000000000008,0.416645
104.360,1.6400000000000008,0.416788
106.917,1.6800000000000008,0.416565
109.471,1.7200000000000009,0.416883
112.029,1.760000000000001,0.417058
114.586,1.800000000000001,0.416852
117.140,1.840000000000001,0.416947
119.696,1.880000000000001,0.416804
122.254,1.920000000000001,0.416868
124.809,1.960000000000001,0.416852
127.365,2.000000000000001,0.416915
129.920,2.040000000000001,0.416931
132.477,2.080000000000001,0.416804
135.034,2.120000000000001,0.416693
137.591,2.160000000000001,0.416915
140.146,2.200000000000001,0.416804
142.703,2.240000000000001,0.416772
145.259,2.280000000000001,0.416756
147.814,2.320000000000001,0.416883
150.371,2.360000000000001,0.417202
152.928,2.4000000000000012,0.417011
155.485,2.4400000000000013,0.416756
158.039,2.4800000000000013,0.417042
160.597,2.5200000000000014,0.416677
163.151,2.5600000000000014,0.416979
165.710,2.6000000000000014,0.416883
168.264,2.6400000000000015,0.41682
170.822,2.6800000000000015,0.416597
173.376,2.7200000000000015,0.416915
175.933,2.7600000000000016,0.416899
178.489,2.8000000000000016,0.41674
181.046,2.8400000000000016,0.416804
183.601,2.8800000000000017,0.416693
186.157,2.9200000000000017,0.416677
188.713,2.9600000000000017,0.416995
191.270,3.0000000000000018,0.416979
193.841,3.040000000000002,0.417058
196.398,3.080000000000002,0.417265
198.955,3.120000000000002,0.417011
201.509,3.160000000000002,0.417027
204.066,3.200000000000002,0.417042
206.624,3.240000000000002,0.417106
209.179,3.280000000000002,0.417138
211.735,3.320000000000002,0.417377
214.291,3.360000000000002,0.417281
216.848,3.400000000000002,0.41744
219.407,3.440000000000002,0.417313
221.975,3.480000000000002,0.417249
224.535,3.5200000000000022,0.41709
227.087,3.5600000000000023,0.417392
229.644,3.6000000000000023,0.417186
232.199,3.6400000000000023,0.417424
234.757,3.6800000000000024,0.417329
237.313,3.7200000000000024,0.417504
239.871,3.7600000000000025,0.417663
242.425,3.8000000000000025,0.417647
244.981,3.8400000000000025,0.417551
247.560,3.8800000000000026,0.41771
250.109,3.9200000000000026,0.417599
252.667,3.9600000000000026,0.417599
255.222,4.000000000000003,0.417679
257.794,4.040000000000003,0.41771
260.350,4.080000000000003,0.417647
262.905,4.120000000000003,0.417233
265.462,4.160000000000003,0.417742
268.019,4.200000000000003,0.417981
270.575,4.240000000000003,0.41806
273.131,4.280000000000003,0.417981
275.686,4.320000000000003,0.418092
278.243,4.360000000000003,0.41849
280.798,4.400000000000003,0.41841
283.355,4.440000000000003,0.418617
285.927,4.480000000000003,0.418919
288.483,4.520000000000003,0.418919
291.038,4.560000000000003,0.418776
293.595,4.600000000000003,0.418871
296.151,4.640000000000003,0.418712
298.707,4.680000000000003,0.418633
301.263,4.720000000000003,0.418665
303.820,4.760000000000003,0.418856
306.392,4.800000000000003,0.418871
308.948,4.840000000000003,0.418983
311.505,4.8800000000000034,0.418824
314.061,4.9200000000000035,0.418696
316.627,4.9600000000000035,0.418903
319.187,5.0000000000000036,0.419062
321.744,5.040000000000004,0.41884
324.301,5.080000000000004,0.419285
326.857,5.120000000000004,0.418983
329.412,5.160000000000004,0.419221
331.969,5.200000000000004,0.419221
334.526,5.240000000000004,0.419205
337.081,5.280000000000004,0.419253
339.637,5.320000000000004,0.419348
342.193,5.360000000000004,0.419539
344.781,5.400000000000004,0.419619
347.339,5.440000000000004,0.419746
349.922,5.480000000000004,0.419651
352.484,5.520000000000004,0.419444
355.054,5.560000000000004,0.419555
357.610,5.600000000000004,0.419428
360.167,5.640000000000004,0.419714
362.737,5.680000000000004,0.419778
365.295,5.720000000000004,0.419555
367.867,5.760000000000004,0.419619
370.439,5.800000000000004,0.419794
372.994,5.840000000000004,0.419746
375.551,5.880000000000004,0.420255
378.109,5.920000000000004,0.420096
380.663,5.960000000000004,0.420048
383.220,6.000000000000004,0.419969
385.777,6.0400000000000045,0.420207
388.332,6.0800000000000045,0.420175
390.888,6.1200000000000045,0.420096
393.444,6.160000000000005,0.420207
395.999,6.200000000000005,0.420303
398.557,6.240000000000005,0.420271
