Time [s],Position [mm],Power [W]
0.002,0,0.443044
2.055,0.04,0.443108
4.610,0.08,0.443188
7.167,0.12,0.443108
9.723,0.16,0.443156
12.280,0.2,0.443124
14.835,0.24000000000000002,0.443203
17.391,0.28,0.442901
19.947,0.32,0.442917
22.503,0.36,0.443315
25.060,0.39999999999999997,0.443347
27.617,0.43999999999999995,0.443251
30.172,0.4799999999999999,0.443013
32.728,0.5199999999999999,0.443092
35.283,0.5599999999999999,0.443092
37.840,0.6,0.443124
40.396,0.64,0.443124
42.953,0.68,0.443108
45.524,0.7200000000000001,0.442965
48.080,0.7600000000000001,0.443283
50.637,0.8000000000000002,0.443172
53.193,0.8400000000000002,0.443203
55.749,0.8800000000000002,0.443076
58.309,0.9200000000000003,0.443235
60.862,0.9600000000000003,0.443331
63.418,1.0000000000000002,0.443267
65.974,1.0400000000000003,0.44314
68.529,1.0800000000000003,0.44306
71.086,1.1200000000000003,0.443267
73.642,1.1600000000000004,0.443044
76.199,1.2000000000000004,0.443092
78.753,1.2400000000000004,0.443124
81.311,1.2800000000000005,0.443092
83.881,1.3200000000000005,0.443267
86.439,1.3600000000000005,0.442933
88.995,1.4000000000000006,0.443315
91.551,1.4400000000000006,0.443188
94.108,1.4800000000000006,0.443235
96.664,1.5200000000000007,0.44314
99.219,1.5600000000000007,0.44314
101.774,1.6000000000000008,0.443299
104.332,1.6400000000000008,0.44341
106.889,1.6800000000000008,0.443378
109.443,1.7200000000000009,0.44314
112.001,1.760000000000001,0.443331
114.556,1.800000000000001,0.443283
117.112,1.840000000000001,0.443347
119.685,1.880000000000001,0.443458
122.241,1.920000000000001,0.44349
124.796,1.960000000000001,0.443363
127.352,2.000000000000001,0.443522
129.926,2.040000000000001,0.44349
132.480,2.080000000000001,0.443522
135.037,2.120000000000001,0.443522
137.608,2.160000000000001,0.44349
140.164,2.200000000000001,0.443203
142.720,2.240000000000001,0.443394
145.276,2.280000000000001,0.443426
147.832,2.320000000000001,0.443363
150.389,2.360000000000001,0.443585
152.945,2.4000000000000012,0.443474
155.500,2.4400000000000013,0.443617
158.073,2.4800000000000013,0.443506
