Time [s],Position [mm],Power [W]
0.003,0,0.432071
2.047,0.04,0.432326
4.603,0.08,0.432071
7.223,0.12,0.432167
9.779,0.16,0.432198
12.336,0.2,0.432182
14.893,0.24000000000000002,0.432103
17.448,0.28,0.432008
20.005,0.32,0.432135
22.562,0.36,0.432135
25.116,0.39999999999999997,0.432055
27.675,0.43999999999999995,0.432167
30.231,0.4799999999999999,0.432246
32.787,0.5199999999999999,0.43223
35.343,0.5599999999999999,0.432198
37.910,0.6,0.431976
40.455,0.64,0.432103
43.013,0.68,0.432135
45.663,0.7200000000000001,0.432039
48.319,0.7600000000000001,0.432151
50.899,0.8000000000000002,0.431849
53.459,0.8400000000000002,0.431976
56.287,0.8800000000000002,0.432103
58.844,0.9200000000000003,0.431849
61.400,0.9600000000000003,0.431785
63.955,1.0000000000000002,0.431737
66.518,1.0400000000000003,0.431817
69.147,1.0800000000000003,0.431896
71.702,1.1200000000000003,0.43196
74.262,1.1600000000000004,0.431801
76.832,1.2000000000000004,0.431992
79.389,1.2400000000000004,0.43196
81.944,1.2800000000000005,0.431976
84.499,1.3200000000000005,0.432023
87.057,1.3600000000000005,0.431562
89.614,1.4000000000000006,0.431896
92.170,1.4400000000000006,0.432039
94.836,1.4800000000000006,0.431642
97.410,1.5200000000000007,0.431817
99.964,1.5600000000000007,0.431849
102.522,1.6000000000000008,0.432167
105.110,1.6400000000000008,0.432008
107.666,1.6800000000000008,0.432087
110.445,1.7200000000000009,0.432262
113.001,1.760000000000001,0.432071
115.558,1.800000000000001,0.431912
118.130,1.840000000000001,0.432008
120.687,1.880000000000001,0.431896
123.243,1.920000000000001,0.431737
126.389,1.960000000000001,0.431705
128.951,2.000000000000001,0.431578
131.502,2.040000000000001,0.432008
134.121,2.080000000000001,0.431944
136.678,2.120000000000001,0.43196
139.234,2.160000000000001,0.431658
141.790,2.200000000000001,0.431976
144.346,2.240000000000001,0.431944
146.904,2.280000000000001,0.431928
149.460,2.320000000000001,0.431944
152.050,2.360000000000001,0.431912
154.605,2.4000000000000012,0.431944
157.178,2.4400000000000013,0.432119
159.751,2.4800000000000013,0.432039
162.304,2.5200000000000014,0.431896
164.863,2.5600000000000014,0.431849
167.419,2.6000000000000014,0.431801
169.974,2.6400000000000015,0.431928
172.529,2.6800000000000015,0.432023
175.086,2.7200000000000015,0.432151
177.677,2.7600000000000016,0.432071
180.232,2.8000000000000016,0.432023
182.867,2.8400000000000016,0.432357
185.440,2.8800000000000017,0.432087
187.994,2.9200000000000017,0.432182
190.552,2.9600000000000017,0.431864
193.139,3.0000000000000018,0.432214
195.695,3.040000000000002,0.431896
198.252,3.080000000000002,0.432151
200.808,3.120000000000002,0.431928
203.366,3.160000000000002,0.432151
205.937,3.200000000000002,0.432246
208.510,3.240000000000002,0.432039
211.066,3.280000000000002,0.431944
213.621,3.320000000000002,0.432008
216.177,3.360000000000002,0.432151
218.733,3.400000000000002,0.432198
221.306,3.440000000000002,0.431976
223.862,3.480000000000002,0.432151
226.417,3.5200000000000022,0.431976
228.973,3.5600000000000023,0.43196
231.530,3.6000000000000023,0.431928
234.297,3.6400000000000023,0.43223
236.850,3.6800000000000024,0.432342
239.407,3.7200000000000024,0.432405
