Time [s],Position [mm],Power [W]
0.002,0,0.441613
2.052,0.04,0.441597
4.607,0.08,0.441709
7.165,0.12,0.441836
9.721,0.16,0.441693
12.276,0.2,0.441677
14.832,0.24000000000000002,0.441645
17.388,0.28,0.44155
19.945,0.32,0.441565
22.500,0.36,0.441502
25.056,0.39999999999999997,0.441693
27.611,0.43999999999999995,0.441915
30.185,0.4799999999999999,0.441756
32.741,0.5199999999999999,0.441756
35.297,0.5599999999999999,0.441422
37.854,0.6,0.441677
40.409,0.64,0.441677
42.965,0.68,0.441629
45.522,0.7200000000000001,0.441772
48.077,0.7600000000000001,0.44155
50.633,0.8000000000000002,0.441788
53.222,0.8400000000000002,0.441613
55.777,0.8800000000000002,0.441756
58.334,0.9200000000000003,0.441804
60.890,0.9600000000000003,0.441661
63.446,1.0000000000000002,0.441899
66.001,1.0400000000000003,0.441677
68.558,1.0800000000000003,0.44182
71.113,1.1200000000000003,0.441581
73.670,1.1600000000000004,0.441756
76.227,1.2000000000000004,0.441597
78.783,1.2400000000000004,0.441931
81.338,1.2800000000000005,0.441677
83.894,1.3200000000000005,0.44182
86.450,1.3600000000000005,0.441661
89.038,1.4000000000000006,0.441899
91.595,1.4400000000000006,0.441677
94.149,1.4800000000000006,0.441518
96.706,1.5200000000000007,0.441836
99.262,1.5600000000000007,0.441804
101.831,1.6000000000000008,0.441693
104.394,1.6400000000000008,0.441947
106.947,1.6800000000000008,0.44174
109.504,1.7200000000000009,0.441884
112.073,1.760000000000001,0.441852
114.632,1.800000000000001,0.441693
117.186,1.840000000000001,0.441804
119.745,1.880000000000001,0.441804
122.298,1.920000000000001,0.441772
124.854,1.960000000000001,0.441947
127.442,2.000000000000001,0.441724
130.014,2.040000000000001,0.44182
132.570,2.080000000000001,0.441931
135.127,2.120000000000001,0.441677
137.683,2.160000000000001,0.441629
140.238,2.200000000000001,0.441518
142.796,2.240000000000001,0.441486
145.352,2.280000000000001,0.44182
147.907,2.320000000000001,0.441613
150.464,2.360000000000001,0.44182
153.020,2.4000000000000012,0.441756
155.575,2.4400000000000013,0.441915
158.162,2.4800000000000013,0.442058
160.726,2.5200000000000014,0.442011
163.275,2.5600000000000014,0.441597
165.832,2.6000000000000014,0.441629
168.388,2.6400000000000015,0.441868
170.944,2.6800000000000015,0.441963
173.499,2.7200000000000015,0.441629
176.056,2.7600000000000016,0.44182
178.612,2.8000000000000016,0.441868
181.168,2.8400000000000016,0.441804
183.724,2.8800000000000017,0.441852
186.281,2.9200000000000017,0.441915
188.836,2.9600000000000017,0.441709
191.393,3.0000000000000018,0.441629
193.948,3.040000000000002,0.441613
196.503,3.080000000000002,0.441804
199.060,3.120000000000002,0.441979
201.632,3.160000000000002,0.441995
204.189,3.200000000000002,0.441868
206.745,3.240000000000002,0.441629
209.317,3.280000000000002,0.441693
211.873,3.320000000000002,0.441661
214.445,3.360000000000002,0.441868
216.999,3.400000000000002,0.442106
219.558,3.440000000000002,0.441756
222.113,3.480000000000002,0.441852
224.670,3.5200000000000022,0.441979
227.256,3.5600000000000023,0.441836
229.814,3.6000000000000023,0.441804
232.369,3.6400000000000023,0.441931
234.925,3.6800000000000024,0.441868
237.481,3.7200000000000024,0.441788
240.038,3.7600000000000025,0.441756
242.594,3.8000000000000025,0.441788
245.150,3.8400000000000025,0.44217
247.706,3.8800000000000026,0.441868
250.261,3.9200000000000026,0.441756
252.819,3.9600000000000026,0.442043
255.373,4.000000000000003,0.441995
257.929,4.040000000000003,0.441836
260.487,4.080000000000003,0.441868
263.041,4.120000000000003,0.441899
265.598,4.160000000000003,0.441931
268.156,4.200000000000003,0.441915
270.712,4.240000000000003,0.441884
273.299,4.280000000000003,0.441915
275.853,4.320000000000003,0.441899
278.426,4.360000000000003,0.44174
280.983,4.400000000000003,0.44182
283.538,4.440000000000003,0.44174
286.093,4.480000000000003,0.441645
288.650,4.520000000000003,0.44182
291.206,4.560000000000003,0.441772
293.762,4.600000000000003,0.441899
296.317,4.640000000000003,0.441947
298.874,4.680000000000003,0.44182
301.430,4.720000000000003,0.441995
303.986,4.760000000000003,0.441947
306.542,4.800000000000003,0.442154
309.100,4.840000000000003,0.441868
311.655,4.8800000000000034,0.441979
314.210,4.9200000000000035,0.441931
316.767,4.9600000000000035,0.44209
319.323,5.0000000000000036,0.441963
321.880,5.040000000000004,0.441836
324.434,5.080000000000004,0.441884
326.991,5.120000000000004,0.441884
329.546,5.160000000000004,0.44182
332.125,5.200000000000004,0.44182
334.676,5.240000000000004,0.441899
337.231,5.280000000000004,0.442011
339.788,5.320000000000004,0.441963
342.343,5.360000000000004,0.441963
344.900,5.400000000000004,0.442249
347.455,5.440000000000004,0.442376
350.013,5.480000000000004,0.442329
352.568,5.520000000000004,0.442424
355.124,5.560000000000004,0.442154
357.681,5.600000000000004,0.442615
360.237,5.640000000000004,0.442456
362.794,5.680000000000004,0.442949
365.361,5.720000000000004,0.442631
367.906,5.760000000000004,0.442726
370.477,5.800000000000004,0.442631
373.034,5.840000000000004,0.442472
375.592,5.880000000000004,0.442472
378.146,5.920000000000004,0.44217
380.700,5.960000000000004,0.441979
383.274,6.000000000000004,0.442154
385.830,6.0400000000000045,0.442043
388.386,6.0800000000000045,0.441756
390.941,6.1200000000000045,0.441852
393.498,6.160000000000005,0.442043
396.055,6.200000000000005,0.441947
398.611,6.240000000000005,0.44209
401.167,6.280000000000005,0.441963
403.722,6.320000000000005,0.44182
406.282,6.360000000000005,0.441947
408.834,6.400000000000005,0.442058
411.390,6.440000000000005,0.442074
413.946,6.480000000000005,0.441915
416.502,6.520000000000005,0.442154
419.059,6.560000000000005,0.442281
421.614,6.600000000000005,0.442058
424.170,6.640000000000005,0.442265
426.726,6.680000000000005,0.44217
429.283,6.720000000000005,0.44217
431.838,6.760000000000005,0.442313
434.395,6.800000000000005,0.442281
436.951,6.840000000000005,0.44252
439.507,6.880000000000005,0.442472
442.062,6.920000000000005,0.442599
444.619,6.960000000000005,0.442663
447.175,7.000000000000005,0.44279
449.731,7.040000000000005,0.442949
452.287,7.080000000000005,0.442981
454.843,7.120000000000005,0.44306
457.399,7.1600000000000055,0.442806
459.955,7.2000000000000055,0.442901
462.512,7.2400000000000055,0.442726
465.068,7.280000000000006,0.442504
467.624,7.320000000000006,0.442551
470.180,7.360000000000006,0.442329
472.736,7.400000000000006,0.442313
475.292,7.440000000000006,0.442297
477.849,7.480000000000006,0.442472
480.405,7.520000000000006,0.442138
482.960,7.560000000000006,0.442424
485.517,7.600000000000006,0.442424
488.073,7.640000000000006,0.442281
490.648,7.680000000000006,0.442202
493.201,7.720000000000006,0.442424
495.756,7.760000000000006,0.442217
498.313,7.800000000000006,0.442265
500.884,7.840000000000006,0.44217
503.441,7.880000000000006,0.442043
505.997,7.920000000000006,0.441931
508.585,7.960000000000006,0.44209
511.141,8.000000000000005,0.442043
513.697,8.040000000000004,0.442361
516.255,8.080000000000004,0.441947
518.810,8.120000000000003,0.441899
521.367,8.160000000000002,0.441979
523.921,8.200000000000001,0.441947
526.479,8.24,0.441979
529.034,8.28,0.44174
531.589,8.319999999999999,0.441995
534.171,8.359999999999998,0.442106
536.717,8.399999999999997,0.442186
539.273,8.439999999999996,0.442138
541.829,8.479999999999995,0.442345
544.386,8.519999999999994,0.442074
546.942,8.559999999999993,0.442202
549.498,8.599999999999993,0.44209
552.054,8.639999999999992,0.442027
554.610,8.67999999999999,0.442122
557.167,8.71999999999999,0.442011
559.723,8.75999999999999,0.441772
562.279,8.799999999999988,0.442058
564.851,8.839999999999987,0.442027
567.424,8.879999999999987,0.441963
569.978,8.919999999999986,0.442074
572.536,8.959999999999985,0.442074
575.090,8.999999999999984,0.442186
577.647,9.039999999999983,0.442297
580.203,9.079999999999982,0.442122
582.759,9.119999999999981,0.44209
585.331,9.15999999999998,0.442154
587.904,9.19999999999998,0.442138
590.476,9.239999999999979,0.442233
593.032,9.279999999999978,0.44209
595.588,9.319999999999977,0.441947
598.160,9.359999999999976,0.441899
600.749,9.399999999999975,0.442106
603.304,9.439999999999975,0.441979
605.876,9.479999999999974,0.441979
608.432,9.519999999999973,0.441963
610.989,9.559999999999972,0.441963
613.544,9.599999999999971,0.441995
616.101,9.63999999999997,0.441963
618.688,9.67999999999997,0.442058
621.267,9.719999999999969,0.441868
623.817,9.759999999999968,0.441884
626.373,9.799999999999967,0.441979
628.929,9.839999999999966,0.441931
631.484,9.879999999999965,0.44182
634.044,9.919999999999964,0.44174
636.597,9.959999999999964,0.441772
639.157,9.999999999999963,0.441931
641.709,10.039999999999962,0.442011
644.270,10.079999999999961,0.441963
646.824,10.11999999999996,0.442138
649.394,10.15999999999996,0.441836
651.951,10.199999999999958,0.441899
654.504,10.239999999999958,0.441947
657.061,10.279999999999957,0.441884
659.617,10.319999999999956,0.441836
662.173,10.359999999999955,0.441899
664.729,10.399999999999954,0.441629
667.285,10.439999999999953,0.441788
669.873,10.479999999999952,0.442027
672.431,10.519999999999952,0.442154
674.985,10.55999999999995,0.441724
677.542,10.59999999999995,0.441915
680.098,10.639999999999949,0.441629
682.670,10.679999999999948,0.441836
685.226,10.719999999999947,0.442122
687.782,10.759999999999946,0.441868
690.337,10.799999999999946,0.441915
692.909,10.839999999999945,0.441788
695.465,10.879999999999944,0.441868
698.022,10.919999999999943,0.441788
700.578,10.959999999999942,0.441772
703.134,10.999999999999941,0.441724
705.690,11.03999999999994,0.441852
708.262,11.07999999999994,0.441899
710.874,11.119999999999939,0.441947
713.422,11.159999999999938,0.441995
715.978,11.199999999999937,0.441724
718.533,11.239999999999936,0.441677
721.088,11.279999999999935,0.441724
723.646,11.319999999999935,0.441899
726.201,11.359999999999934,0.441852
728.757,11.399999999999933,0.44174
731.313,11.439999999999932,0.441756
733.885,11.479999999999931,0.441868
736.442,11.51999999999993,0.441836
738.999,11.55999999999993,0.441931
741.555,11.599999999999929,0.441756
744.109,11.639999999999928,0.441852
746.667,11.679999999999927,0.441868
749.222,11.719999999999926,0.441661
751.778,11.759999999999925,0.441597
754.334,11.799999999999924,0.442138
756.888,11.839999999999923,0.441693
759.446,11.879999999999923,0.441884
762.004,11.919999999999922,0.441772
764.558,11.959999999999921,0.441724
767.116,11.99999999999992,0.441677
769.671,12.03999999999992,0.44174
772.227,12.079999999999918,0.44182
774.782,12.119999999999918,0.441756
777.338,12.159999999999917,0.44174
779.894,12.199999999999916,0.441899
782.450,12.239999999999915,0.441915
785.006,12.279999999999914,0.441629
787.562,12.319999999999913,0.442043
790.119,12.359999999999912,0.441486
792.676,12.399999999999912,0.441518
795.231,12.43999999999991,0.441677
797.787,12.47999999999991,0.44155
800.360,12.519999999999909,0.441724
802.916,12.559999999999908,0.441693
805.472,12.599999999999907,0.44182
808.044,12.639999999999906,0.441804
810.599,12.679999999999906,0.441756
813.155,12.719999999999905,0.44155
815.712,12.759999999999904,0.441788
818.296,12.799999999999903,0.441756
820.857,12.839999999999902,0.441693
823.412,12.879999999999901,0.441629
825.969,12.9199999999999,0.441963
828.525,12.9599999999999,0.441931
831.097,12.999999999999899,0.44174
