Time [s],Position [mm],Power [W]
0.003,0,0.38328
2.056,0.04,0.38355
4.677,0.08,0.383836
7.232,0.12,0.383534
9.789,0.16,0.383312
12.352,0.2,0.383598
14.901,0.24000000000000002,0.383375
17.585,0.28,0.383248
20.140,0.32,0.383741
22.697,0.36,0.383248
25.254,0.39999999999999997,0.383105
27.810,0.43999999999999995,0.383455
30.367,0.4799999999999999,0.383232
32.925,0.5199999999999999,0.383566
35.542,0.5599999999999999,0.383566
38.114,0.6,0.383566
40.672,0.64,0.383693
43.227,0.68,0.383502
45.782,0.7200000000000001,0.383486
48.340,0.7600000000000001,0.383168
50.896,0.8000000000000002,0.383343
53.451,0.8400000000000002,0.383105
56.009,0.8800000000000002,0.383407
58.563,0.9200000000000003,0.383089
61.121,0.9600000000000003,0.383423
63.677,1.0000000000000002,0.383502
66.297,1.0400000000000003,0.383566
68.852,1.0800000000000003,0.383184
71.410,1.1200000000000003,0.383423
73.965,1.1600000000000004,0.383502
76.538,1.2000000000000004,0.383518
79.092,1.2400000000000004,0.383566
81.650,1.2800000000000005,0.383534
84.207,1.3200000000000005,0.383486
86.761,1.3600000000000005,0.383343
89.492,1.4000000000000006,0.383439
92.049,1.4400000000000006,0.383423
94.606,1.4800000000000006,0.383502
97.162,1.5200000000000007,0.383407
99.719,1.5600000000000007,0.383312
102.275,1.6000000000000008,0.383566
104.832,1.6400000000000008,0.383614
107.403,1.6800000000000008,0.383248
110.038,1.7200000000000009,0.383439
112.594,1.760000000000001,0.383439
115.152,1.800000000000001,0.383486
117.707,1.840000000000001,0.383598
120.503,1.880000000000001,0.383216
123.064,1.920000000000001,0.383407
125.614,1.960000000000001,0.383391
128.172,2.000000000000001,0.383502
130.726,2.040000000000001,0.3832
133.284,2.080000000000001,0.383502
135.888,2.120000000000001,0.383502
138.443,2.160000000000001,0.38328
140.999,2.200000000000001,0.383598
143.667,2.240000000000001,0.383566
146.224,2.280000000000001,0.383264
148.795,2.320000000000001,0.383296
151.368,2.360000000000001,0.383057
153.924,2.4000000000000012,0.383184
156.481,2.4400000000000013,0.3832
159.120,2.4800000000000013,0.383232
161.689,2.5200000000000014,0.383248
164.246,2.5600000000000014,0.383375
166.833,2.6000000000000014,0.38328
169.421,2.6400000000000015,0.383359
171.978,2.6800000000000015,0.383407
174.588,2.7200000000000015,0.383312
177.137,2.7600000000000016,0.383041
179.695,2.8000000000000016,0.383232
182.251,2.8400000000000016,0.3832
184.805,2.8800000000000017,0.383407
187.376,2.9200000000000017,0.382612
189.934,2.9600000000000017,0.383073
192.492,3.0000000000000018,0.383184
195.047,3.040000000000002,0.382962
197.603,3.080000000000002,0.383073
200.161,3.120000000000002,0.382819
202.715,3.160000000000002,0.38285
205.273,3.200000000000002,0.383073
207.828,3.240000000000002,0.382898
210.385,3.280000000000002,0.382803
212.941,3.320000000000002,0.383057
215.497,3.360000000000002,0.382819
