Time [s],Position [mm],Power [W]
0.002,0,0.438846
2.067,0.04,0.438957
5.584,0.08,0.438989
8.140,0.12,0.439244
10.698,0.16,0.439212
13.269,0.2,0.439116
15.836,0.24000000000000002,0.439148
18.398,0.28,0.439228
20.953,0.32,0.439212
23.510,0.36,0.438846
26.209,0.39999999999999997,0.438751
28.766,0.43999999999999995,0.439228
31.322,0.4799999999999999,0.4391
33.879,0.5199999999999999,0.438957
36.434,0.5599999999999999,0.438989
38.992,0.6,0.439339
41.549,0.64,0.439355
44.104,0.68,0.438989
46.661,0.7200000000000001,0.4391
49.218,0.7600000000000001,0.439275
51.789,0.8000000000000002,0.439307
54.345,0.8400000000000002,0.439212
56.901,0.8800000000000002,0.439403
59.472,0.9200000000000003,0.439116
62.237,0.9600000000000003,0.439355
64.794,1.0000000000000002,0.439116
67.350,1.0400000000000003,0.438798
69.906,1.0800000000000003,0.439021
72.464,1.1200000000000003,0.439244
75.019,1.1600000000000004,0.439546
77.606,1.2000000000000004,0.439371
80.193,1.2400000000000004,0.439053
82.750,1.2800000000000005,0.43918
85.307,1.3200000000000005,0.439085
87.879,1.3600000000000005,0.43945
90.436,1.4000000000000006,0.439005
92.991,1.4400000000000006,0.439212
95.547,1.4800000000000006,0.439323
98.104,1.5200000000000007,0.439355
100.660,1.5600000000000007,0.439657
103.215,1.6000000000000008,0.439387
105.772,1.6400000000000008,0.439275
108.360,1.6800000000000008,0.439578
110.917,1.7200000000000009,0.43918
113.471,1.760000000000001,0.439291
116.028,1.800000000000001,0.43945
118.585,1.840000000000001,0.439387
121.140,1.880000000000001,0.439593
123.696,1.920000000000001,0.439196
126.251,1.960000000000001,0.439403
128.810,2.000000000000001,0.439434
131.366,2.040000000000001,0.439562
133.923,2.080000000000001,0.439641
136.478,2.120000000000001,0.439562
139.050,2.160000000000001,0.439466
141.606,2.200000000000001,0.439562
144.162,2.240000000000001,0.43945
146.721,2.280000000000001,0.439498
149.275,2.320000000000001,0.439466
151.830,2.360000000000001,0.43918
154.388,2.4000000000000012,0.439403
156.958,2.4400000000000013,0.439355
