Time [s],Position [mm],Power [W]
0.003,0,0.38363
2.054,0.04,0.383359
4.611,0.08,0.383566
7.199,0.12,0.383566
9.771,0.16,0.383646
12.329,0.2,0.38363
14.885,0.24000000000000002,0.383455
17.456,0.28,0.383471
20.020,0.32,0.382978
22.569,0.36,0.383661
25.125,0.39999999999999997,0.38355
27.681,0.43999999999999995,0.38363
30.270,0.4799999999999999,0.38355
32.826,0.5199999999999999,0.383312
35.384,0.5599999999999999,0.383423
37.938,0.6,0.383375
40.496,0.64,0.383614
43.055,0.68,0.383439
45.608,0.7200000000000001,0.383455
48.164,0.7600000000000001,0.383741
50.740,0.8000000000000002,0.383646
53.293,0.8400000000000002,0.383773
55.849,0.8800000000000002,0.383677
58.407,0.9200000000000003,0.383789
60.964,0.9600000000000003,0.38363
63.535,1.0000000000000002,0.383566
66.091,1.0400000000000003,0.383773
68.650,1.0800000000000003,0.383693
71.204,1.1200000000000003,0.383646
73.759,1.1600000000000004,0.383471
76.316,1.2000000000000004,0.383423
78.872,1.2400000000000004,0.383534
81.430,1.2800000000000005,0.383646
83.987,1.3200000000000005,0.383518
86.541,1.3600000000000005,0.383614
89.100,1.4000000000000006,0.383646
91.654,1.4400000000000006,0.383646
94.226,1.4800000000000006,0.38382
96.785,1.5200000000000007,0.383805
99.339,1.5600000000000007,0.383566
101.896,1.6000000000000008,0.383391
104.612,1.6400000000000008,0.383614
107.167,1.6800000000000008,0.383709
109.725,1.7200000000000009,0.38382
112.281,1.760000000000001,0.38363
114.836,1.800000000000001,0.383677
117.411,1.840000000000001,0.38363
119.966,1.880000000000001,0.383741
122.526,1.920000000000001,0.383741
125.157,1.960000000000001,0.38363
127.714,2.000000000000001,0.383677
130.270,2.040000000000001,0.383789
132.842,2.080000000000001,0.383598
135.399,2.120000000000001,0.383725
137.956,2.160000000000001,0.383836
140.528,2.200000000000001,0.383725
143.084,2.240000000000001,0.38382
145.640,2.280000000000001,0.383677
148.196,2.320000000000001,0.383773
150.752,2.360000000000001,0.383773
153.324,2.4000000000000012,0.383741
155.881,2.4400000000000013,0.383725
158.438,2.4800000000000013,0.383741
160.992,2.5200000000000014,0.383884
163.550,2.5600000000000014,0.384043
166.107,2.6000000000000014,0.383884
168.663,2.6400000000000015,0.383868
171.235,2.6800000000000015,0.38382
173.792,2.7200000000000015,0.3839
176.347,2.7600000000000016,0.383709
178.903,2.8000000000000016,0.383836
181.460,2.8400000000000016,0.384043
184.017,2.8800000000000017,0.383725
186.573,2.9200000000000017,0.383884
189.131,2.9600000000000017,0.383741
191.688,3.0000000000000018,0.383852
194.241,3.040000000000002,0.383677
196.799,3.080000000000002,0.383836
199.354,3.120000000000002,0.38382
201.911,3.160000000000002,0.383836
204.485,3.200000000000002,0.384011
207.055,3.240000000000002,0.383916
209.613,3.280000000000002,0.383932
212.169,3.320000000000002,0.383932
214.726,3.360000000000002,0.383932
217.283,3.400000000000002,0.383709
219.837,3.440000000000002,0.384011
222.392,3.480000000000002,0.383884
224.949,3.5200000000000022,0.384043
227.507,3.5600000000000023,0.383948
230.064,3.6000000000000023,0.384075
232.618,3.6400000000000023,0.3839
235.176,3.6800000000000024,0.384123
237.732,3.7200000000000024,0.383852
240.289,3.7600000000000025,0.384059
242.845,3.8000000000000025,0.383995
245.400,3.8400000000000025,0.384011
247.957,3.8800000000000026,0.3839
250.515,3.9200000000000026,0.3839
253.069,3.9600000000000026,0.383948
255.628,4.000000000000003,0.384011
258.182,4.040000000000003,0.383757
260.737,4.080000000000003,0.3839
263.297,4.120000000000003,0.384107
265.851,4.160000000000003,0.384218
268.407,4.200000000000003,0.383932
270.964,4.240000000000003,0.38425
273.520,4.280000000000003,0.384107
276.076,4.320000000000003,0.384027
278.634,4.360000000000003,0.384107
281.190,4.400000000000003,0.384138
283.745,4.440000000000003,0.38417
286.300,4.480000000000003,0.384107
288.857,4.520000000000003,0.384027
291.414,4.560000000000003,0.384011
293.971,4.600000000000003,0.384313
296.526,4.640000000000003,0.384043
299.099,4.680000000000003,0.384266
301.655,4.720000000000003,0.384202
304.212,4.760000000000003,0.384027
306.769,4.800000000000003,0.384218
309.333,4.840000000000003,0.38417
311.882,4.8800000000000034,0.384186
314.517,4.9200000000000035,0.384409
317.074,4.9600000000000035,0.384138
319.871,5.0000000000000036,0.384202
322.426,5.040000000000004,0.384202
324.982,5.080000000000004,0.384393
327.571,5.120000000000004,0.384329
330.128,5.160000000000004,0.384234
332.684,5.200000000000004,0.384234
335.239,5.240000000000004,0.384377
337.796,5.280000000000004,0.384329
340.351,5.320000000000004,0.384361
342.988,5.360000000000004,0.384393
345.546,5.400000000000004,0.384313
348.101,5.440000000000004,0.384441
350.658,5.480000000000004,0.384409
353.215,5.520000000000004,0.384504
355.787,5.560000000000004,0.38452
358.345,5.600000000000004,0.384568
360.900,5.640000000000004,0.384345
363.469,5.680000000000004,0.384361
366.028,5.720000000000004,0.384361
368.584,5.760000000000004,0.384409
371.141,5.800000000000004,0.384711
373.697,5.840000000000004,0.384743
376.268,5.880000000000004,0.384775
378.826,5.920000000000004,0.385013
381.382,5.960000000000004,0.384934
383.938,6.000000000000004,0.385061
386.495,6.0400000000000045,0.384902
389.051,6.0800000000000045,0.384854
391.607,6.1200000000000045,0.385156
394.164,6.160000000000005,0.385029
396.720,6.200000000000005,0.384838
399.277,6.240000000000005,0.384965
401.834,6.280000000000005,0.38495
404.405,6.320000000000005,0.384584
406.962,6.360000000000005,0.38487
409.521,6.400000000000005,0.384981
412.074,6.440000000000005,0.385061
414.630,6.480000000000005,0.38487
417.185,6.520000000000005,0.38495
419.743,6.560000000000005,0.385268
422.299,6.600000000000005,0.385252
424.857,6.640000000000005,0.385252
427.413,6.680000000000005,0.385681
429.969,6.720000000000005,0.385792
432.540,6.760000000000005,0.38584
435.114,6.800000000000005,0.385936
437.668,6.840000000000005,0.386142
440.226,6.880000000000005,0.385792
442.781,6.920000000000005,0.386047
445.337,6.960000000000005,0.385872
447.896,7.000000000000005,0.385777
450.450,7.040000000000005,0.385618
453.022,7.080000000000005,0.385443
455.604,7.120000000000005,0.385236
458.151,7.1600000000000055,0.385649
460.708,7.2000000000000055,0.38557
463.264,7.2400000000000055,0.385538
465.933,7.280000000000006,0.385538
468.488,7.320000000000006,0.385745
471.046,7.360000000000006,0.386015
473.601,7.400000000000006,0.386142
476.159,7.440000000000006,0.38619
478.730,7.480000000000006,0.386508
481.287,7.520000000000006,0.386794
483.859,7.560000000000006,0.386953
486.416,7.600000000000006,0.38716
488.975,7.640000000000006,0.387287
491.527,7.680000000000006,0.387446
494.085,7.720000000000006,0.387749
496.641,7.760000000000006,0.387717
499.197,7.800000000000006,0.387844
501.770,7.840000000000006,0.388114
504.328,7.880000000000006,0.388448
506.915,7.920000000000006,0.38848
509.472,7.960000000000006,0.388432
512.027,8.000000000000005,0.388576
514.999,8.040000000000004,0.38875
517.557,8.080000000000004,0.38875
520.112,8.120000000000003,0.388703
522.668,8.160000000000002,0.38875
525.224,8.200000000000001,0.388703
527.781,8.24,0.388846
530.337,8.28,0.38891
532.893,8.319999999999999,0.388814
535.451,8.359999999999998,0.388687
538.166,8.399999999999997,0.38875
540.723,8.439999999999996,0.388766
543.279,8.479999999999995,0.388576
545.836,8.519999999999994,0.388432
548.392,8.559999999999993,0.388321
550.948,8.599999999999993,0.388512
553.506,8.639999999999992,0.388194
