Time [s],Position [mm],Power [W]
0.004,0,0.433089
2.055,0.04,0.433216
4.611,0.08,0.432978
7.183,0.12,0.433009
9.739,0.16,0.433121
12.296,0.2,0.433105
14.901,0.24000000000000002,0.432866
17.455,0.28,0.433359
20.013,0.32,0.433328
22.569,0.36,0.433168
25.126,0.39999999999999997,0.433359
27.681,0.43999999999999995,0.433312
30.280,0.4799999999999999,0.433423
32.826,0.5199999999999999,0.433248
35.383,0.5599999999999999,0.433153
37.939,0.6,0.4332
40.495,0.64,0.433312
43.052,0.68,0.433137
45.610,0.7200000000000001,0.433105
48.164,0.7600000000000001,0.433009
50.722,0.8000000000000002,0.43293
53.278,0.8400000000000002,0.4332
55.880,0.8800000000000002,0.433184
58.438,0.9200000000000003,0.433073
60.996,0.9600000000000003,0.433153
63.567,1.0000000000000002,0.43328
66.124,1.0400000000000003,0.433375
68.680,1.0800000000000003,0.433391
71.251,1.1200000000000003,0.433296
73.809,1.1600000000000004,0.433598
76.366,1.2000000000000004,0.43328
78.922,1.2400000000000004,0.433471
81.492,1.2800000000000005,0.433359
84.514,1.3200000000000005,0.433487
87.075,1.3600000000000005,0.433455
89.627,1.4000000000000006,0.433439
92.279,1.4400000000000006,0.433487
94.834,1.4800000000000006,0.433725
97.391,1.5200000000000007,0.433582
99.947,1.5600000000000007,0.433693
102.507,1.6000000000000008,0.433646
105.059,1.6400000000000008,0.433296
107.617,1.6800000000000008,0.43363
110.173,1.7200000000000009,0.433821
112.729,1.760000000000001,0.433757
115.285,1.800000000000001,0.433598
117.845,1.840000000000001,0.433423
120.398,1.880000000000001,0.43363
122.956,1.920000000000001,0.433677
125.512,1.960000000000001,0.433502
128.069,2.000000000000001,0.433693
130.625,2.040000000000001,0.433661
133.212,2.080000000000001,0.433439
135.770,2.120000000000001,0.433598
138.341,2.160000000000001,0.433646
141.170,2.200000000000001,0.433582
143.728,2.240000000000001,0.433852
146.282,2.280000000000001,0.433836
148.840,2.320000000000001,0.433725
151.396,2.360000000000001,0.433487
153.952,2.4000000000000012,0.433725
156.509,2.4400000000000013,0.433677
159.065,2.4800000000000013,0.433439
161.620,2.5200000000000014,0.433359
164.186,2.5600000000000014,0.433805
166.734,2.6000000000000014,0.434043
169.291,2.6400000000000015,0.433916
171.847,2.6800000000000015,0.433598
174.403,2.7200000000000015,0.433884
176.974,2.7600000000000016,0.433741
179.535,2.8000000000000016,0.433693
182.089,2.8400000000000016,0.433757
184.644,2.8800000000000017,0.433868
187.235,2.9200000000000017,0.433852
190.030,2.9600000000000017,0.433646
192.585,3.0000000000000018,0.433693
195.142,3.040000000000002,0.433677
197.697,3.080000000000002,0.433773
200.351,3.120000000000002,0.433661
202.907,3.160000000000002,0.433868
205.477,3.200000000000002,0.433757
208.035,3.240000000000002,0.433487
210.593,3.280000000000002,0.433407
213.148,3.320000000000002,0.433614
215.703,3.360000000000002,0.433598
218.260,3.400000000000002,0.433614
220.815,3.440000000000002,0.433455
223.374,3.480000000000002,0.433741
225.930,3.5200000000000022,0.433884
228.486,3.5600000000000023,0.4339
231.040,3.6000000000000023,0.433566
233.598,3.6400000000000023,0.433693
236.154,3.6800000000000024,0.433725
238.710,3.7200000000000024,0.433821
241.267,3.7600000000000025,0.43398
