Time [s],Position [mm],Power [W]
0.003,0,0.431912
2.056,0.04,0.432262
4.613,0.08,0.432023
7.166,0.12,0.431435
9.725,0.16,0.431499
12.281,0.2,0.431705
14.837,0.24000000000000002,0.431403
17.425,0.28,0.432055
19.982,0.32,0.431928
22.537,0.36,0.431642
25.094,0.39999999999999997,0.431817
27.651,0.43999999999999995,0.431896
30.208,0.4799999999999999,0.431753
32.764,0.5199999999999999,0.432008
35.320,0.5599999999999999,0.431896
37.876,0.6,0.431785
40.481,0.64,0.431801
43.036,0.68,0.432119
45.595,0.7200000000000001,0.431976
48.150,0.7600000000000001,0.43196
50.707,0.8000000000000002,0.431849
53.262,0.8400000000000002,0.431737
55.818,0.8800000000000002,0.431833
58.376,0.9200000000000003,0.431912
60.931,0.9600000000000003,0.431817
63.488,1.0000000000000002,0.432135
66.060,1.0400000000000003,0.432151
68.617,1.0800000000000003,0.431721
71.174,1.1200000000000003,0.43196
73.730,1.1600000000000004,0.43188
76.286,1.2000000000000004,0.431896
78.843,1.2400000000000004,0.431769
81.399,1.2800000000000005,0.43196
83.956,1.3200000000000005,0.431992
86.527,1.3600000000000005,0.431626
89.085,1.4000000000000006,0.43188
91.641,1.4400000000000006,0.431944
94.228,1.4800000000000006,0.431833
96.784,1.5200000000000007,0.431912
99.341,1.5600000000000007,0.432008
101.899,1.6000000000000008,0.431976
104.453,1.6400000000000008,0.431801
107.009,1.6800000000000008,0.431912
109.568,1.7200000000000009,0.431912
112.122,1.760000000000001,0.431896
114.680,1.800000000000001,0.431721
117.268,1.840000000000001,0.431594
119.823,1.880000000000001,0.431705
122.380,1.920000000000001,0.431864
124.935,1.960000000000001,0.43196
127.492,2.000000000000001,0.431578
130.051,2.040000000000001,0.431896
132.653,2.080000000000001,0.431737
135.210,2.120000000000001,0.432008
137.766,2.160000000000001,0.431833
140.322,2.200000000000001,0.432055
142.880,2.240000000000001,0.431849
145.437,2.280000000000001,0.431944
147.991,2.320000000000001,0.431912
150.563,2.360000000000001,0.431944
153.120,2.4000000000000012,0.431912
155.677,2.4400000000000013,0.43188
158.233,2.4800000000000013,0.431689
160.790,2.5200000000000014,0.431769
163.346,2.5600000000000014,0.432023
165.919,2.6000000000000014,0.432055
168.476,2.6400000000000015,0.432039
171.032,2.6800000000000015,0.432023
173.587,2.7200000000000015,0.431626
176.146,2.7600000000000016,0.431864
178.699,2.8000000000000016,0.431912
181.257,2.8400000000000016,0.432023
183.814,2.8800000000000017,0.431817
186.368,2.9200000000000017,0.431785
188.925,2.9600000000000017,0.431896
191.481,3.0000000000000018,0.432087
194.040,3.040000000000002,0.431976
196.596,3.080000000000002,0.431753
199.214,3.120000000000002,0.431976
201.771,3.160000000000002,0.43161
204.327,3.200000000000002,0.431753
206.884,3.240000000000002,0.431674
209.456,3.280000000000002,0.432023
