Time [s],Position [mm],Power [W]
0.002,0,0.427841
2.056,0.04,0.427889
4.612,0.08,0.42773
7.200,0.12,0.427857
9.756,0.16,0.427714
12.312,0.2,0.427539
14.869,0.24000000000000002,0.427857
17.426,0.28,0.427777
19.981,0.32,0.427745
22.539,0.36,0.427555
25.094,0.39999999999999997,0.427761
27.650,0.43999999999999995,0.428048
30.209,0.4799999999999999,0.428048
32.907,0.5199999999999999,0.427793
35.511,0.5599999999999999,0.427745
38.068,0.6,0.42765
40.626,0.64,0.427586
43.390,0.68,0.427571
45.945,0.7200000000000001,0.427777
48.501,0.7600000000000001,0.427698
51.057,0.8000000000000002,0.427666
53.614,0.8400000000000002,0.427793
56.202,0.8800000000000002,0.42773
58.759,0.9200000000000003,0.427936
61.315,0.9600000000000003,0.427714
63.872,1.0000000000000002,0.428016
66.429,1.0400000000000003,0.428016
68.984,1.0800000000000003,0.428238
71.542,1.1200000000000003,0.428032
74.102,1.1600000000000004,0.428127
76.654,1.2000000000000004,0.428095
79.209,1.2400000000000004,0.427602
81.767,1.2800000000000005,0.427904
84.323,1.3200000000000005,0.427586
86.884,1.3600000000000005,0.427873
89.435,1.4000000000000006,0.427777
92.008,1.4400000000000006,0.427793
94.565,1.4800000000000006,0.427491
97.120,1.5200000000000007,0.427777
99.679,1.5600000000000007,0.427952
102.235,1.6000000000000008,0.428032
104.794,1.6400000000000008,0.427714
107.350,1.6800000000000008,0.427682
109.903,1.7200000000000009,0.42792
112.462,1.760000000000001,0.427809
115.015,1.800000000000001,0.428079
117.573,1.840000000000001,0.428111
120.132,1.880000000000001,0.427809
122.695,1.920000000000001,0.428016
125.258,1.960000000000001,0.427904
127.814,2.000000000000001,0.427825
130.370,2.040000000000001,0.428048
132.927,2.080000000000001,0.42773
135.484,2.120000000000001,0.427825
138.041,2.160000000000001,0.427825
140.613,2.200000000000001,0.428207
143.168,2.240000000000001,0.428
145.734,2.280000000000001,0.428032
148.280,2.320000000000001,0.427984
150.837,2.360000000000001,0.427841
153.392,2.4000000000000012,0.427873
155.949,2.4400000000000013,0.428366
158.505,2.4800000000000013,0.427857
161.062,2.5200000000000014,0.428
163.618,2.5600000000000014,0.427539
166.286,2.6000000000000014,0.428095
168.841,2.6400000000000015,0.427618
171.400,2.6800000000000015,0.427841
173.956,2.7200000000000015,0.427825
176.512,2.7600000000000016,0.428032
179.071,2.8000000000000016,0.427984
181.630,2.8400000000000016,0.428079
184.181,2.8800000000000017,0.428095
186.737,2.9200000000000017,0.427857
189.295,2.9600000000000017,0.427825
191.853,3.0000000000000018,0.427745
194.631,3.040000000000002,0.427634
197.188,3.080000000000002,0.427904
199.761,3.120000000000002,0.42765
202.316,3.160000000000002,0.427825
204.873,3.200000000000002,0.428016
207.429,3.240000000000002,0.428064
209.985,3.280000000000002,0.428016
212.559,3.320000000000002,0.428127
215.116,3.360000000000002,0.428095
217.670,3.400000000000002,0.42792
220.227,3.440000000000002,0.427793
222.800,3.480000000000002,0.427889
225.358,3.5200000000000022,0.427793
227.912,3.5600000000000023,0.428032
230.470,3.6000000000000023,0.427793
233.026,3.6400000000000023,0.427777
235.625,3.6800000000000024,0.427571
238.266,3.7200000000000024,0.427523
240.822,3.7600000000000025,0.428016
