Time [s],Position [mm],Power [W]
0.002,0,0.433375
2.098,0.04,0.433391
4.652,0.08,0.433137
7.211,0.12,0.433121
9.767,0.16,0.433168
12.323,0.2,0.433312
14.879,0.24000000000000002,0.433105
17.436,0.28,0.433328
19.993,0.32,0.433296
22.565,0.36,0.433407
25.169,0.39999999999999997,0.433423
27.742,0.43999999999999995,0.433296
30.333,0.4799999999999999,0.433328
32.886,0.5199999999999999,0.433391
35.444,0.5599999999999999,0.433471
38.016,0.6,0.433471
40.571,0.64,0.433614
43.129,0.68,0.433328
45.685,0.7200000000000001,0.433264
48.242,0.7600000000000001,0.433455
50.798,0.8000000000000002,0.433073
53.352,0.8400000000000002,0.433391
55.908,0.8800000000000002,0.433534
58.465,0.9200000000000003,0.433646
61.024,0.9600000000000003,0.433137
63.594,1.0000000000000002,0.43355
66.152,1.0400000000000003,0.433359
68.707,1.0800000000000003,0.433312
71.263,1.1200000000000003,0.433487
74.220,1.1600000000000004,0.433375
76.776,1.2000000000000004,0.433312
79.332,1.2400000000000004,0.433423
81.889,1.2800000000000005,0.433518
84.447,1.3200000000000005,0.4332
87.067,1.3600000000000005,0.433487
89.621,1.4000000000000006,0.433677
92.180,1.4400000000000006,0.433566
94.736,1.4800000000000006,0.433534
97.610,1.5200000000000007,0.433646
100.167,1.5600000000000007,0.433391
102.725,1.6000000000000008,0.433646
105.278,1.6400000000000008,0.433455
107.836,1.6800000000000008,0.433391
110.408,1.7200000000000009,0.433328
112.966,1.760000000000001,0.433232
115.521,1.800000000000001,0.433232
118.078,1.840000000000001,0.433407
120.952,1.880000000000001,0.433502
123.509,1.920000000000001,0.433312
126.067,1.960000000000001,0.433487
128.622,2.000000000000001,0.433375
131.179,2.040000000000001,0.433582
133.735,2.080000000000001,0.433264
136.291,2.120000000000001,0.433328
138.847,2.160000000000001,0.433312
141.404,2.200000000000001,0.433534
143.961,2.240000000000001,0.433487
146.515,2.280000000000001,0.433391
149.072,2.320000000000001,0.433471
151.628,2.360000000000001,0.433359
154.186,2.4000000000000012,0.433359
156.742,2.4400000000000013,0.433359
159.346,2.4800000000000013,0.433661
161.904,2.5200000000000014,0.433614
164.461,2.5600000000000014,0.43363
167.015,2.6000000000000014,0.433773
169.572,2.6400000000000015,0.433534
172.143,2.6800000000000015,0.433646
174.703,2.7200000000000015,0.433566
177.258,2.7600000000000016,0.433407
179.814,2.8000000000000016,0.433582
182.371,2.8400000000000016,0.433566
184.927,2.8800000000000017,0.433868
187.482,2.9200000000000017,0.433916
190.135,2.9600000000000017,0.433502
192.689,3.0000000000000018,0.433614
195.248,3.040000000000002,0.433502
197.805,3.080000000000002,0.433566
200.359,3.120000000000002,0.433487
202.917,3.160000000000002,0.433646
205.792,3.200000000000002,0.433328
208.350,3.240000000000002,0.433614
210.905,3.280000000000002,0.433757
213.464,3.320000000000002,0.433582
216.018,3.360000000000002,0.433789
218.574,3.400000000000002,0.433773
221.132,3.440000000000002,0.433471
223.688,3.480000000000002,0.43355
226.245,3.5200000000000022,0.433677
228.818,3.5600000000000023,0.433646
231.372,3.6000000000000023,0.433773
233.928,3.6400000000000023,0.433582
236.485,3.6800000000000024,0.4332
239.041,3.7200000000000024,0.433582
242.029,3.7600000000000025,0.433709
244.586,3.8000000000000025,0.433439
247.158,3.8400000000000025,0.433677
249.714,3.8800000000000026,0.433455
252.272,3.9200000000000026,0.433789
254.826,3.9600000000000026,0.433471
257.391,4.000000000000003,0.433153
259.940,4.040000000000003,0.433264
262.496,4.080000000000003,0.433423
265.052,4.120000000000003,0.433677
267.625,4.160000000000003,0.433041
270.180,4.200000000000003,0.433312
272.736,4.240000000000003,0.433709
275.294,4.280000000000003,0.433566
