Time [s],Position [mm],Power [W]
0.002,0,0.429209
2.069,0.04,0.428906
4.631,0.08,0.428906
7.182,0.12,0.428986
9.755,0.16,0.428891
12.358,0.2,0.429129
14.916,0.24000000000000002,0.429097
17.471,0.28,0.429177
20.030,0.32,0.429209
22.585,0.36,0.429304
25.159,0.39999999999999997,0.429479
27.715,0.43999999999999995,0.429256
30.271,0.4799999999999999,0.429209
32.827,0.5199999999999999,0.429177
35.383,0.5599999999999999,0.428986
37.940,0.6,0.429288
40.496,0.64,0.429209
43.052,0.68,0.429304
45.610,0.7200000000000001,0.429113
48.166,0.7600000000000001,0.429145
50.737,0.8000000000000002,0.42905
53.294,0.8400000000000002,0.42905
55.850,0.8800000000000002,0.429288
58.415,0.9200000000000003,0.429224
60.963,0.9600000000000003,0.429272
63.584,1.0000000000000002,0.429304
66.140,1.0400000000000003,0.429145
68.873,1.0800000000000003,0.429383
71.429,1.1200000000000003,0.429415
74.257,1.1600000000000004,0.429527
76.814,1.2000000000000004,0.429352
79.369,1.2400000000000004,0.429415
81.926,1.2800000000000005,0.429558
84.483,1.3200000000000005,0.429511
87.038,1.3600000000000005,0.429558
89.594,1.4000000000000006,0.429479
92.152,1.4400000000000006,0.429527
94.709,1.4800000000000006,0.429383
97.296,1.5200000000000007,0.429368
99.853,1.5600000000000007,0.429527
102.408,1.6000000000000008,0.429717
104.969,1.6400000000000008,0.429654
107.521,1.6800000000000008,0.429638
110.079,1.7200000000000009,0.429336
112.635,1.760000000000001,0.429622
115.193,1.800000000000001,0.429781
117.747,1.840000000000001,0.429638
120.304,1.880000000000001,0.429733
122.863,1.920000000000001,0.429717
125.417,1.960000000000001,0.430051
127.973,2.000000000000001,0.429574
130.531,2.040000000000001,0.429352
133.087,2.080000000000001,0.429654
135.644,2.120000000000001,0.429352
138.215,2.160000000000001,0.429606
140.787,2.200000000000001,0.42967
143.344,2.240000000000001,0.429638
145.900,2.280000000000001,0.429383
148.456,2.320000000000001,0.429463
151.014,2.360000000000001,0.429654
153.569,2.4000000000000012,0.429749
156.126,2.4400000000000013,0.42959
158.682,2.4800000000000013,0.429892
161.239,2.5200000000000014,0.429558
163.826,2.5600000000000014,0.429622
166.382,2.6000000000000014,0.429702
168.938,2.6400000000000015,0.429415
171.496,2.6800000000000015,0.429797
174.052,2.7200000000000015,0.429527
176.661,2.7600000000000016,0.429558
179.212,2.8000000000000016,0.429733
181.770,2.8400000000000016,0.429924
184.325,2.8800000000000017,0.429606
186.882,2.9200000000000017,0.429511
189.438,2.9600000000000017,0.429686
191.996,3.0000000000000018,0.429845
194.551,3.040000000000002,0.429511
197.107,3.080000000000002,0.429813
199.666,3.120000000000002,0.429813
202.350,3.160000000000002,0.429574
204.906,3.200000000000002,0.429717
207.462,3.240000000000002,0.429877
210.019,3.280000000000002,0.430322
212.574,3.320000000000002,0.429829
215.132,3.360000000000002,0.430099
217.768,3.400000000000002,0.429972
220.323,3.440000000000002,0.430067
222.881,3.480000000000002,0.429845
225.435,3.5200000000000022,0.430083
227.993,3.5600000000000023,0.430195
230.549,3.6000000000000023,0.430115
233.107,3.6400000000000023,0.42994
235.663,3.6800000000000024,0.430083
238.234,3.7200000000000024,0.43021
240.793,3.7600000000000025,0.430083
243.348,3.8000000000000025,0.430067
245.905,3.8400000000000025,0.43002
248.460,3.8800000000000026,0.430051
251.020,3.9200000000000026,0.430036
253.638,3.9600000000000026,0.429892
256.193,4.000000000000003,0.430226
258.751,4.040000000000003,0.430226
261.307,4.080000000000003,0.430179
263.863,4.120000000000003,0.430115
266.419,4.160000000000003,0.430258
268.975,4.200000000000003,0.43029
271.534,4.240000000000003,0.430163
274.088,4.280000000000003,0.430226
276.661,4.320000000000003,0.430179
279.233,4.360000000000003,0.430179
281.789,4.400000000000003,0.430306
284.377,4.440000000000003,0.430401
286.933,4.480000000000003,0.430179
289.617,4.520000000000003,0.430195
292.189,4.560000000000003,0.430179
294.747,4.600000000000003,0.430417
297.304,4.640000000000003,0.430338
299.861,4.680000000000003,0.430385
302.416,4.720000000000003,0.430306
305.276,4.760000000000003,0.430242
307.833,4.800000000000003,0.430274
310.408,4.840000000000003,0.430306
312.960,4.8800000000000034,0.43029
315.521,4.9200000000000035,0.430195
318.074,4.9600000000000035,0.430354
320.632,5.0000000000000036,0.430513
323.186,5.040000000000004,0.43064
325.744,5.080000000000004,0.430354
328.301,5.120000000000004,0.430242
330.856,5.160000000000004,0.430354
333.414,5.200000000000004,0.430449
335.969,5.240000000000004,0.43064
338.525,5.280000000000004,0.430481
341.081,5.320000000000004,0.430592
343.637,5.360000000000004,0.430385
346.204,5.400000000000004,0.430688
348.767,5.440000000000004,0.430815
351.323,5.480000000000004,0.430497
353.880,5.520000000000004,0.430688
356.436,5.560000000000004,0.430688
358.998,5.600000000000004,0.430576
361.549,5.640000000000004,0.430688
364.104,5.680000000000004,0.430544
366.662,5.720000000000004,0.430608
