Time [s],Position [mm],Power [W]
0.003,10,0.440378
2.071,10.5,0.43968
4.630,11.0,0.439235
7.199,11.5,0.438569
9.768,12.0,0.437934
12.339,12.5,0.436886
14.899,13.0,0.435823
17.458,13.5,0.43514
20.015,14.0,0.4336
22.592,14.5,0.43241
25.166,15.0,0.430727
27.742,15.5,0.42914
30.317,16.0,0.427568
32.877,16.5,0.425441
35.451,17.0,0.422981
38.010,17.5,0.420568
40.586,18.0,0.418044
43.146,18.5,0.416282
45.720,19.0,0.41479
48.281,19.5,0.416647
50.855,20.0,0.425235
53.413,20.5,0.438839
55.972,21.0,0.44595
58.532,21.5,0.448347
61.107,22.0,0.449887
63.691,22.5,0.455426
66.257,23.0,0.46003
68.817,23.5,0.464474
71.392,24.0,0.463062
73.949,24.5,0.458427
76.510,25.0,0.454252
79.071,25.5,0.451791
81.644,26.0,0.449902
84.202,26.5,0.448839
86.761,27.0,0.447902
89.321,27.5,0.446982
91.880,28.0,0.446267
94.444,28.5,0.446045
97.015,29.0,0.445839
99.607,29.5,0.445855
102.165,30.0,0.445648
104.724,30.5,0.445505
107.283,31.0,0.445204
109.858,31.5,0.445283
112.418,32.0,0.445172
114.993,32.5,0.445251
117.567,33.0,0.445156
120.127,33.5,0.445156
122.687,34.0,0.445172
125.247,34.5,0.44522
127.804,35.0,0.445251
130.363,35.5,0.445109
132.921,36.0,0.445124
135.496,36.5,0.444807
138.059,37.0,0.445109
140.634,37.5,0.445093
143.191,38.0,0.445378
145.751,38.5,0.445664
148.314,39.0,0.445569
150.884,39.5,0.445886
153.492,40.0,0.445886
156.067,40.5,0.445744
158.627,41.0,0.445997
161.184,41.5,0.446029
163.745,42.0,0.44614
166.302,42.5,0.44614
168.865,43.0,0.44622
171.440,43.5,0.446093
174.028,44.0,0.446363
176.604,44.5,0.446426
179.183,45.0,0.44622
181.753,45.5,0.445918
184.315,46.0,0.446045
186.891,46.5,0.44614
189.465,47.0,0.446299
192.023,47.5,0.446315
194.584,48.0,0.446172
197.142,48.5,0.44622
199.699,49.0,0.446172
202.260,49.5,0.446378
204.818,50.0,0.446426
207.380,50.5,0.446315
209.936,51.0,0.446505
212.498,51.5,0.446283
215.056,52.0,0.446077
217.619,52.5,0.446394
220.222,53.0,0.446093
222.781,53.5,0.44614
225.339,54.0,0.446156
227.900,54.5,0.446093
230.458,55.0,0.445855
233.016,55.5,0.445982
235.576,56.0,0.446236
238.135,56.5,0.44614
240.721,57.0,0.446061
243.287,57.5,0.445982
245.865,58.0,0.445918
248.440,58.5,0.445855
251.012,59.0,0.446029
253.587,59.5,0.445966
256.145,60.0,0.445886
