Time [s],Position [mm],Power [W]
0.003,0,0.425568
2.070,0.5,0.425663
4.644,1.0,0.425727
7.278,1.5,0.426076
9.868,2.0,0.426584
12.440,2.5,0.426695
15.032,3.0,0.426933
17.599,3.5,0.427314
20.188,4.0,0.427568
22.745,4.5,0.427473
25.349,5.0,0.427997
27.921,5.5,0.427886
30.510,6.0,0.428092
33.084,6.5,0.427997
35.671,7.0,0.427902
38.245,7.5,0.428124
40.817,8.0,0.427981
43.387,8.5,0.428124
45.943,9.0,0.42814
48.517,9.5,0.428219
51.088,10.0,0.427838
53.659,10.5,0.427949
56.264,11.0,0.427743
58.821,11.5,0.427473
61.425,12.0,0.427632
63.999,12.5,0.428044
66.585,13.0,0.428632
69.160,13.5,0.429584
71.745,14.0,0.429997
74.319,14.5,0.4306
76.892,15.0,0.430108
79.465,15.5,0.428362
82.052,16.0,0.426743
84.624,16.5,0.425298
87.198,17.0,0.424679
89.784,17.5,0.424727
92.339,18.0,0.425521
94.897,18.5,0.425933
97.470,19.0,0.426298
100.042,19.5,0.426568
102.630,20.0,0.426552
105.189,20.5,0.426632
107.759,21.0,0.426917
110.331,21.5,0.426902
112.919,22.0,0.42714
115.523,22.5,0.427124
118.111,23.0,0.426917
120.715,23.5,0.427251
123.304,24.0,0.427505
125.876,24.5,0.427521
128.465,25.0,0.427457
131.037,25.5,0.427616
133.625,26.0,0.427457
136.197,26.5,0.427536
138.786,27.0,0.427759
141.358,27.5,0.427886
143.930,28.0,0.427616
146.487,28.5,0.427791
149.059,29.0,0.427711
151.647,29.5,0.427457
154.233,30.0,0.427616
156.807,30.5,0.4276
159.393,31.0,0.427298
161.968,31.5,0.427362
164.541,32.0,0.427536
167.129,32.5,0.427457
169.703,33.0,0.427489
172.290,33.5,0.427727
174.862,34.0,0.427441
177.452,34.5,0.42706
180.087,35.0,0.427394
182.660,35.5,0.427505
185.231,36.0,0.427489
187.820,36.5,0.427029
190.392,37.0,0.427394
192.965,37.5,0.427298
195.538,38.0,0.42706
198.126,38.5,0.427076
200.703,39.0,0.42706
203.271,39.5,0.426775
205.842,40.0,0.426902
