Time [s],Position [mm],Power [W]
0.004,0,0.203519
2.073,0.5,0.203379
4.645,1.0,0.203392
7.219,1.5,0.203532
9.790,2.0,0.203424
12.378,2.5,0.203443
14.966,3.0,0.203252
17.537,3.5,0.203157
20.093,4.0,0.203316
22.698,4.5,0.203068
25.270,5.0,0.20291
27.842,5.5,0.20296
30.445,6.0,0.202935
33.019,6.5,0.202827
35.590,7.0,0.202897
38.163,7.5,0.202954
40.736,8.0,0.202948
43.306,8.5,0.202833
45.882,9.0,0.202891
48.451,9.5,0.202656
51.025,10.0,0.202554
53.595,10.5,0.202694
56.168,11.0,0.202383
58.755,11.5,0.202268
61.343,12.0,0.202173
63.916,12.5,0.202173
66.487,13.0,0.201945
69.044,13.5,0.201932
71.633,14.0,0.201767
74.213,14.5,0.201805
76.776,15.0,0.201665
79.349,15.5,0.201431
81.953,16.0,0.201285
84.557,16.5,0.201189
87.155,17.0,0.201005
89.734,17.5,0.200866
92.305,18.0,0.200859
94.878,18.5,0.20051
97.434,19.0,0.200104
100.021,19.5,0.199704
102.595,20.0,0.199304
105.213,20.5,0.198745
107.786,21.0,0.198288
110.359,21.5,0.198085
112.930,22.0,0.19853
115.523,22.5,0.199742
118.091,23.0,0.202053
120.677,23.5,0.205525
123.250,24.0,0.208978
125.824,24.5,0.211226
128.396,25.0,0.212057
130.967,25.5,0.212248
133.556,26.0,0.211924
136.127,26.5,0.211359
138.717,27.0,0.210762
141.288,27.5,0.210203
143.860,28.0,0.209696
146.432,28.5,0.209067
149.004,29.0,0.208724
151.578,29.5,0.208337
154.163,30.0,0.208077
156.736,30.5,0.207817
159.325,31.0,0.207455
161.897,31.5,0.207315
164.485,32.0,0.207233
167.056,32.5,0.207195
169.708,33.0,0.206877
172.280,33.5,0.206699
174.853,34.0,0.206477
177.441,34.5,0.206699
180.020,35.0,0.206547
182.585,35.5,0.206414
185.160,36.0,0.206109
187.729,36.5,0.20602
190.300,37.0,0.206001
192.890,37.5,0.205957
195.462,38.0,0.206001
198.049,38.5,0.206001
200.623,39.0,0.205988
203.215,39.5,0.205912
205.814,40.0,0.206033
