Time [s],Position [mm],Power [W]
0.003,0,0.467062
2.063,0.5,0.467046
4.651,1.0,0.466824
7.223,1.5,0.466998
9.811,2.0,0.46676
12.388,2.5,0.466903
14.973,3.0,0.466951
17.556,3.5,0.467284
20.131,4.0,0.467332
22.705,4.5,0.467681
25.292,5.0,0.467205
27.848,5.5,0.467474
30.427,6.0,0.467078
32.992,6.5,0.466633
35.564,7.0,0.46703
38.139,7.5,0.466744
40.744,8.0,0.466871
43.313,8.5,0.466681
45.900,9.0,0.466887
48.455,9.5,0.466919
51.012,10.0,0.467014
53.569,10.5,0.467062
56.140,11.0,0.46703
58.695,11.5,0.46703
61.252,12.0,0.467157
63.813,12.5,0.467443
66.381,13.0,0.467157
68.946,13.5,0.466998
71.509,14.0,0.467046
74.066,14.5,0.466792
76.685,15.0,0.466808
79.293,15.5,0.466411
81.862,16.0,0.466125
84.435,16.5,0.465125
87.007,17.0,0.464427
89.578,17.5,0.46457
92.135,18.0,0.466078
94.787,18.5,0.467744
97.358,19.0,0.468713
99.931,19.5,0.469014
102.505,20.0,0.469316
105.095,20.5,0.469379
107.665,21.0,0.46984
110.251,21.5,0.46949
112.839,22.0,0.469522
115.412,22.5,0.46976
118.015,23.0,0.469284
120.602,23.5,0.468998
123.194,24.0,0.469141
125.767,24.5,0.468967
128.415,25.0,0.468649
131.019,25.5,0.468205
133.592,26.0,0.468109
136.175,26.5,0.467808
138.752,27.0,0.467586
141.324,27.5,0.467586
143.912,28.0,0.467443
146.485,28.5,0.467157
149.072,29.0,0.466998
151.644,29.5,0.467141
154.217,30.0,0.466792
156.806,30.5,0.46676
159.393,31.0,0.466347
161.981,31.5,0.465903
164.553,32.0,0.465887
167.119,32.5,0.465697
169.682,33.0,0.46557
172.265,33.5,0.46557
174.843,34.0,0.465347
177.416,34.5,0.465474
180.003,35.0,0.465459
182.607,35.5,0.465205
185.197,36.0,0.46549
187.783,36.5,0.46503
190.372,37.0,0.465538
192.945,37.5,0.465649
195.517,38.0,0.465824
198.089,38.5,0.465713
200.661,39.0,0.465586
203.249,39.5,0.465871
205.821,40.0,0.465411
