Time [s],Position [mm],Power [W]
0.002,0,0.395472
2.078,0.5,0.395821
4.706,1.0,0.395964
7.277,1.5,0.396043
9.839,2.0,0.396012
12.505,2.5,0.395885
15.081,3.0,0.396027
17.656,3.5,0.396218
20.215,4.0,0.395916
22.776,4.5,0.396266
25.340,5.0,0.39625
27.925,5.5,0.396139
30.501,6.0,0.395837
33.155,6.5,0.39598
35.714,7.0,0.396154
38.274,7.5,0.396202
40.907,8.0,0.396139
43.506,8.5,0.396123
46.063,9.0,0.39625
48.623,9.5,0.396329
51.184,10.0,0.396361
53.757,10.5,0.396266
56.316,11.0,0.396234
58.907,11.5,0.396202
61.483,12.0,0.396266
64.053,12.5,0.396218
66.617,13.0,0.39625
69.192,13.5,0.396424
71.751,14.0,0.396202
74.311,14.5,0.396234
76.884,15.0,0.396202
79.447,15.5,0.396615
82.036,16.0,0.396996
84.596,16.5,0.397139
87.207,17.0,0.397408
89.777,17.5,0.397281
92.337,18.0,0.397297
94.912,18.5,0.397488
97.471,19.0,0.3979
100.062,19.5,0.398059
102.653,20.0,0.398281
105.229,20.5,0.398139
107.787,20.6,0.39844
110.347,20.700000000000003,0.398599
112.906,20.800000000000004,0.398567
115.480,20.900000000000006,0.399028
118.039,21.000000000000007,0.398869
120.615,21.10000000000001,0.398472
123.205,21.20000000000001,0.398742
125.764,21.30000000000001,0.398916
128.388,21.400000000000013,0.399377
130.963,21.500000000000014,0.399599
133.516,21.600000000000016,0.399758
136.098,21.700000000000017,0.399361
138.656,21.80000000000002,0.399853
141.233,21.90000000000002,0.400186
143.792,22.00000000000002,0.400123
146.351,22.100000000000023,0.400885
148.909,22.200000000000024,0.401631
151.494,22.300000000000026,0.402282
154.044,22.400000000000027,0.403774
156.620,22.50000000000003,0.404774
159.193,22.60000000000003,0.405774
161.737,22.70000000000003,0.406123
164.297,22.800000000000033,0.407329
166.870,22.900000000000034,0.408345
169.447,23.000000000000036,0.409615
172.006,23.100000000000037,0.411298
174.581,23.20000000000004,0.413234
177.141,23.30000000000004,0.415171
179.714,23.40000000000004,0.416346
182.257,23.500000000000043,0.416996
184.823,23.600000000000044,0.417044
187.394,23.700000000000045,0.417552
189.985,23.800000000000047,0.417917
192.560,23.90000000000005,0.41752
195.133,24.00000000000005,0.417457
197.693,24.10000000000005,0.417219
200.235,24.200000000000053,0.416536
202.793,24.300000000000054,0.415488
205.366,24.400000000000055,0.41398
207.929,24.500000000000057,0.412885
210.504,24.60000000000006,0.411536
213.068,24.70000000000006,0.409996
215.655,24.80000000000006,0.409393
218.230,24.900000000000063,0.408345
220.792,25.000000000000064,0.407441
223.350,25.100000000000065,0.406679
225.909,25.200000000000067,0.405917
228.467,25.300000000000068,0.405044
231.042,25.40000000000007,0.404631
233.586,25.50000000000007,0.404456
236.257,25.600000000000072,0.404139
238.815,25.700000000000074,0.403663
241.359,25.800000000000075,0.403234
243.920,25.900000000000077,0.403044
246.477,26.000000000000078,0.402885
249.020,26.10000000000008,0.402424
251.563,26.20000000000008,0.402409
254.106,26.300000000000082,0.402091
256.649,26.400000000000084,0.401488
259.192,26.500000000000085,0.40152
261.736,26.600000000000087,0.401202
264.296,26.700000000000088,0.401043
266.853,26.80000000000009,0.400837
269.413,26.90000000000009,0.400662
272.005,27.000000000000092,0.40044
274.581,27.100000000000094,0.400123
277.156,27.200000000000095,0.400313
279.718,27.300000000000097,0.399535
282.274,27.400000000000098,0.399472
284.833,27.5000000000001,0.399583
287.392,27.6000000000001,0.399123
290.016,27.700000000000102,0.399472
292.575,27.800000000000104,0.399361
295.135,27.900000000000105,0.399313
297.755,28.000000000000107,0.39917
300.318,28.500000000000107,0.398472
302.893,29.000000000000107,0.398329
305.466,29.500000000000107,0.397996
308.025,30.000000000000107,0.397758
310.584,30.500000000000107,0.397694
313.146,31.000000000000107,0.397551
315.798,31.500000000000107,0.397313
318.357,32.00000000000011,0.397091
320.916,32.50000000000011,0.397361
323.556,33.00000000000011,0.397266
326.115,33.50000000000011,0.396583
328.689,34.00000000000011,0.396885
331.250,34.50000000000011,0.396472
333.809,35.00000000000011,0.39644
336.370,35.50000000000011,0.396646
338.926,36.00000000000011,0.396694
341.487,36.50000000000011,0.396551
344.077,37.00000000000011,0.396535
346.636,37.50000000000011,0.39652
349.196,38.00000000000011,0.396313
351.772,38.50000000000011,0.396218
354.331,39.00000000000011,0.39625
356.906,39.50000000000011,0.396377
359.491,40.00000000000011,0.396313
362.056,40.50000000000011,0.396408
364.616,41.00000000000011,0.396139
367.270,41.50000000000011,0.396202
369.829,42.00000000000011,0.396329
372.423,42.50000000000011,0.396186
375.094,43.00000000000011,0.396297
377.714,43.50000000000011,0.39644
380.306,44.00000000000011,0.396361
382.880,44.50000000000011,0.396091
385.440,45.00000000000011,0.39644
388.015,45.50000000000011,0.39644
390.574,46.00000000000011,0.396615
393.133,46.50000000000011,0.396408
