Time [s],Position [mm],Power [W]
0.002,0,0.413853
2.070,0.5,0.413599
4.642,1.0,0.414139
7.214,1.5,0.413996
9.803,2.0,0.414139
12.376,2.5,0.414361
14.947,3.0,0.414107
17.521,3.5,0.414298
20.092,4.0,0.414441
22.745,4.5,0.414727
25.332,5.0,0.414615
27.922,5.5,0.414314
30.492,6.0,0.414266
33.084,6.5,0.414695
35.652,7.0,0.414584
38.228,7.5,0.414806
40.797,8.0,0.414647
43.370,8.5,0.414965
45.957,9.0,0.415282
48.529,9.5,0.415473
51.117,10.0,0.415219
53.689,10.5,0.415346
56.341,11.0,0.415742
58.944,11.5,0.415981
61.517,12.0,0.415838
64.134,12.5,0.416108
66.710,13.0,0.416203
69.280,13.5,0.41652
71.853,14.0,0.416552
74.454,14.5,0.416949
77.031,15.0,0.417044
79.681,15.5,0.417425
82.253,16.0,0.417536
84.839,16.5,0.41752
87.398,17.0,0.417806
89.985,17.5,0.417298
92.558,18.0,0.417409
95.145,18.5,0.417806
97.702,19.0,0.418298
100.274,19.5,0.418536
102.847,20.0,0.4186
105.421,20.5,0.419012
107.992,21.0,0.419187
110.573,21.5,0.419155
113.149,22.0,0.419457
115.724,22.5,0.419552
118.311,23.0,0.419425
120.884,23.5,0.418663
123.456,24.0,0.418631
126.028,24.5,0.417885
128.599,25.0,0.417441
131.172,25.5,0.417139
133.769,26.0,0.416631
136.375,26.5,0.416393
138.953,27.0,0.416361
141.525,27.5,0.415981
144.113,28.0,0.415615
146.717,28.5,0.415647
149.306,29.0,0.415409
151.877,29.5,0.415742
154.466,30.0,0.415727
157.038,30.5,0.415584
159.612,31.0,0.415806
162.206,31.5,0.415457
164.786,32.0,0.415425
167.359,32.5,0.415679
169.960,33.0,0.415679
172.597,33.5,0.415647
175.153,34.0,0.415457
177.711,34.5,0.415361
180.265,35.0,0.415234
182.874,35.5,0.41552
185.444,36.0,0.41506
188.035,36.5,0.414869
190.603,37.0,0.415361
193.191,37.5,0.415441
195.764,38.0,0.415377
198.335,38.5,0.415552
200.909,39.0,0.41525
203.485,39.5,0.415314
206.052,40.0,0.415028
