Time [s],Position [mm],Power [W]
0.003,0,0.228365
2.159,0.5,0.228378
4.734,1.0,0.22834
7.319,1.5,0.228321
9.892,2.0,0.228517
12.480,2.5,0.22834
15.052,3.0,0.228346
17.625,3.5,0.228378
20.212,4.0,0.228397
22.785,4.5,0.22853
25.372,5.0,0.228568
27.944,5.5,0.228841
30.532,6.0,0.228886
33.128,6.5,0.229076
35.693,7.0,0.229235
38.282,7.5,0.229241
40.853,8.0,0.229438
43.441,8.5,0.229387
46.012,9.0,0.229317
48.602,9.5,0.229393
51.180,10.0,0.229425
53.826,10.5,0.229374
56.401,11.0,0.229476
58.979,11.5,0.229425
61.541,12.0,0.229533
64.113,12.5,0.229368
66.692,13.0,0.229406
69.258,13.5,0.229451
71.830,14.0,0.22933
74.403,14.5,0.229711
76.974,15.0,0.2298
79.562,15.5,0.23006
82.201,16.0,0.229965
84.770,16.5,0.230174
87.328,17.0,0.230003
89.899,17.5,0.229908
92.487,18.0,0.229787
95.060,18.5,0.230162
97.632,19.0,0.230174
100.206,19.5,0.230765
102.777,20.0,0.231234
105.390,20.5,0.231336
108.016,21.0,0.231272
110.588,21.5,0.231418
113.176,22.0,0.231336
115.733,22.5,0.231634
118.325,23.0,0.231837
120.893,23.5,0.231895
123.465,24.0,0.231895
126.053,24.5,0.23152
128.625,25.0,0.230758
131.212,25.5,0.230339
133.801,26.0,0.229539
136.375,26.5,0.228835
138.946,27.0,0.228219
141.522,27.5,0.227991
144.090,28.0,0.227914
146.664,28.5,0.227635
149.249,29.0,0.227553
151.854,29.5,0.227318
154.426,30.0,0.227178
156.997,30.5,0.227083
159.571,31.0,0.226956
162.144,31.5,0.226696
164.731,32.0,0.226765
167.303,32.5,0.226575
169.875,33.0,0.226734
172.447,33.5,0.226664
175.019,34.0,0.22655
177.591,34.5,0.226803
180.179,35.0,0.226835
182.753,35.5,0.227057
185.340,36.0,0.227311
187.912,36.5,0.227597
190.501,37.0,0.227895
193.080,37.5,0.228238
195.661,38.0,0.228543
198.233,38.5,0.228676
200.820,39.0,0.228746
203.392,39.5,0.228816
205.964,40.0,0.228886
