Time [s],Position [mm],Power1 [W],Power2 [W]
0.000,0,0.329613,0.0245444
2.291,0.5,0.329692,0.0245297
5.087,1.0,0.329629,0.0245539
7.883,1.5,0.329629,0.0245746
10.677,2.0,0.329565,0.0245947
13.495,2.5,0.329613,0.0245876
16.302,3.0,0.329835,0.0245373
19.099,3.5,0.329613,0.0246491
21.910,4.0,0.329851,0.0246462
24.717,4.5,0.329804,0.0245711
27.567,5.0,0.32974,0.0246042
30.361,5.5,0.329756,0.0245539
33.158,6.0,0.3292,0.0245391
35.986,6.5,0.329406,0.0244788
38.782,7.0,0.329136,0.0244267
41.578,7.5,0.329184,0.0244427
44.373,8.0,0.329136,0.0244664
47.185,8.5,0.329279,0.0244782
49.990,9.0,0.329295,0.0244805
52.777,9.5,0.329343,0.02449
55.572,10.0,0.329263,0.0244876
58.369,10.5,0.329295,0.0244835
61.164,11.0,0.329215,0.0244912
63.960,11.5,0.329295,0.0245379
66.771,12.0,0.329327,0.0245728
69.568,12.5,0.329502,0.0246066
72.380,13.0,0.329486,0.0245995
75.208,13.5,0.329406,0.0245983
78.004,14.0,0.329502,0.0246006
80.803,14.5,0.329756,0.0246202
83.612,15.0,0.330058,0.0246367
86.409,15.5,0.330201,0.0246681
89.205,16.0,0.330058,0.0247119
92.032,16.5,0.329915,0.0247604
94.860,17.0,0.330106,0.0247982
97.671,17.5,0.330646,0.0248154
100.483,18.0,0.331282,0.0248118
103.279,18.5,0.331091,0.024855
106.075,19.0,0.33063,0.0249615
108.871,19.5,0.330455,0.0250875
111.682,20.0,0.331107,0.0252034
114.480,20.5,0.333015,0.0251756
117.258,20.6,0.333253,0.0251301
120.070,20.700000000000003,0.33338,0.0251118
122.850,20.800000000000004,0.333412,0.0250467
125.630,20.900000000000006,0.333539,0.0250124
128.411,21.000000000000007,0.333444,0.0249633
131.222,21.10000000000001,0.333635,0.0249627
134.019,21.20000000000001,0.333714,0.0249414
136.798,21.30000000000001,0.333889,0.024923
139.609,21.400000000000013,0.333952,0.0249035
142.421,21.500000000000014,0.334191,0.024881
145.201,21.600000000000016,0.334493,0.0249017
147.982,21.700000000000017,0.334906,0.0249301
150.841,21.80000000000002,0.335383,0.0249538
153.652,21.90000000000002,0.335796,0.0249355
156.450,22.00000000000002,0.336464,0.0249497
159.262,22.100000000000023,0.336973,0.0250053
162.040,22.200000000000024,0.337942,0.0250798
164.820,22.300000000000026,0.338626,0.0251354
167.632,22.400000000000027,0.339484,0.0252354
170.444,22.50000000000003,0.340263,0.0253082
173.260,22.60000000000003,0.34128,0.0253738
176.052,22.70000000000003,0.341996,0.0253732
178.852,22.800000000000033,0.342616,0.0253655
181.659,22.900000000000034,0.342981,0.0253709
184.456,23.000000000000036,0.343299,0.0253626
187.236,23.100000000000037,0.343379,0.0254211
190.031,23.20000000000004,0.343522,0.0254265
192.828,23.30000000000004,0.343601,0.025443
195.607,23.40000000000004,0.343379,0.0254472
198.387,23.500000000000043,0.343077,0.0253939
201.167,23.600000000000044,0.342663,0.0253868
203.947,23.700000000000045,0.342218,0.0253324
206.727,23.800000000000047,0.341582,0.0252987
209.523,23.90000000000005,0.34074,0.0252354
212.336,24.00000000000005,0.33977,0.0252117
215.163,24.10000000000005,0.339039,0.0251762
217.975,24.200000000000053,0.338149,0.0251283
220.759,24.300000000000054,0.337481,0.0250934
223.567,24.400000000000055,0.336877,0.0250692
226.379,24.500000000000057,0.33621,0.0250514
229.160,24.60000000000006,0.335606,0.0250443
231.938,24.70000000000006,0.33524,0.0250165
234.734,24.80000000000006,0.334715,0.0249982
237.530,24.900000000000063,0.334382,0.0249988
240.343,25.000000000000064,0.333921,0.0249721
243.123,25.100000000000065,0.333523,0.024965
245.950,25.200000000000067,0.333301,0.0249402
248.731,25.300000000000068,0.332697,0.0248875
251.526,25.40000000000007,0.332776,0.0249112
254.321,25.50000000000007,0.332665,0.0249224
257.103,25.600000000000072,0.332363,0.0249154
259.914,25.700000000000074,0.332124,0.0248651
262.761,25.800000000000075,0.331902,0.024839
265.537,25.900000000000077,0.331822,0.0248035
268.319,26.000000000000078,0.3316,0.024784
